filename,reentrancy,status,duration_s,solc_version
18430.sol,1,OK,0.78,0.4.26
18438.sol,1,OK,0.87,0.4.26
18510.sol,1,OK,0.98,0.4.26
18771.sol,0,OK,0.88,0.4.26
19128.sol,0,OK,1.16,0.4.26
19129.sol,0,OK,1.33,0.4.26
19925.sol,0,OK,1.04,0.4.26
21241.sol,0,OK,0.75,0.4.26
21697.sol,0,OK,0.88,0.4.26
21886.sol,0,OK,0.93,0.4.26
22075.sol,0,OK,1.18,0.4.26
22635.sol,1,OK,0.98,0.4.26
22636.sol,1,OK,0.75,0.4.26
23792.sol,0,OK,0.76,0.4.26
23793.sol,0,OK,0.82,0.4.26
24196.sol,0,OK,0.84,0.4.26
24369.sol,0,OK,0.59,0.4.26
24648.sol,1,OK,0.48,0.4.26
24649.sol,1,OK,0.49,0.4.26
25808.sol,0,OK,0.32,0.4.26
26188.sol,0,OK,0.31,0.4.26
26743.sol,1,OK,0.4,0.4.26
27121.sol,1,OK,0.36,0.4.26
27159.sol,0,OK,0.38,0.4.26
27164.sol,0,OK,0.48,0.4.26
27263.sol,0,OK,0.38,0.4.26
27327.sol,0,OK,0.24,0.4.26
27334.sol,1,OK,0.33,0.4.26
27603.sol,0,OK,0.3,0.4.26
28974.sol,1,OK,0.39,0.4.26
29090.sol,1,OK,0.48,0.4.26
29130.sol,0,OK,0.3,0.4.26
29154.sol,0,OK,0.32,0.4.26
29590.sol,0,OK,0.37,0.4.26
29948.sol,1,OK,0.42,0.4.26
29983.sol,0,OK,0.34,0.4.26
3.sol,0,OK,0.49,0.4.26
30046.sol,1,OK,0.41,0.4.26
30101.sol,1,OK,0.32,0.4.26
30102.sol,1,OK,0.28,0.4.26
30254.sol,0,OK,0.37,0.4.26
30255.sol,0,OK,0.36,0.4.26
30337.sol,1,OK,0.32,0.4.26
30338.sol,1,OK,0.47,0.4.26
30460.sol,1,OK,0.34,0.4.26
31237.sol,0,OK,0.35,0.4.26
31238.sol,0,OK,0.36,0.4.26
31497.sol,0,OK,0.33,0.4.26
31565.sol,1,OK,0.35,0.4.26
31759.sol,0,OK,0.4,0.4.26
32522.sol,0,OK,0.72,0.4.26
33450.sol,0,OK,0.61,0.4.26
33512.sol,0,OK,0.36,0.4.26
34432.sol,1,OK,0.34,0.4.26
34526.sol,1,OK,0.31,0.4.26
34668.sol,0,OK,0.3,0.4.26
34904.sol,0,OK,0.52,0.4.26
35208.sol,0,OK,0.31,0.4.26
35661.sol,1,OK,0.29,0.4.26
35662.sol,1,OK,0.32,0.4.26
35713.sol,1,OK,0.38,0.4.26
35714.sol,1,OK,0.37,0.4.26
35806.sol,1,OK,0.5,0.4.26
35807.sol,1,OK,0.37,0.4.26
35878.sol,0,OK,0.38,0.4.26
35951.sol,1,OK,0.4,0.4.26
36456.sol,0,OK,0.39,0.4.26
36481.sol,1,OK,0.4,0.4.26
36563.sol,0,OK,0.38,0.4.26
36668.sol,0,OK,0.36,0.4.26
36836.sol,1,OK,0.3,0.4.26
