filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
18430.sol,0.4.26,OK,0.78,1,-1,-1,-1
18438.sol,0.4.26,OK,0.87,1,-1,-1,-1
18509.sol,0.4.26,OK,0.7,1,-1,-1,-1
18510.sol,0.4.26,OK,0.98,1,-1,-1,-1
18771.sol,0.4.26,OK,0.88,0,-1,-1,-1
19128.sol,0.4.26,OK,1.16,0,-1,-1,-1
19129.sol,0.4.26,OK,1.33,0,-1,-1,-1
19925.sol,0.4.26,OK,1.04,0,-1,-1,-1
21241.sol,0.4.26,OK,0.75,0,-1,-1,-1
21697.sol,0.4.26,OK,0.88,0,-1,-1,-1
21886.sol,0.4.26,OK,0.93,0,-1,-1,-1
22074.sol,0.4.26,OK,0.56,0,-1,-1,-1
22075.sol,0.4.26,OK,1.18,0,-1,-1,-1
22247.sol,0.4.26,OK,0.51,1,-1,-1,-1
22416.sol,0.4.26,OK,0.36,1,-1,-1,-1
22635.sol,0.4.26,OK,0.98,1,-1,-1,-1
22636.sol,0.4.26,OK,0.75,1,-1,-1,-1
23792.sol,0.4.26,OK,0.76,0,-1,-1,-1
23793.sol,0.4.26,OK,0.82,0,-1,-1,-1
24161.sol,0.4.26,OK,0.39,1,-1,-1,-1
24196.sol,0.4.26,OK,0.84,0,-1,-1,-1
24369.sol,0.4.26,OK,0.59,0,-1,-1,-1
24648.sol,0.4.26,OK,0.48,1,-1,-1,-1
24649.sol,0.4.26,OK,0.49,1,-1,-1,-1
25808.sol,0.4.26,OK,0.32,0,-1,-1,-1
26188.sol,0.4.26,OK,0.31,0,-1,-1,-1
26523.sol,0.4.26,OK,0.46,1,-1,-1,-1
26742.sol,0.4.26,OK,0.38,1,-1,-1,-1
26743.sol,0.4.26,OK,0.4,1,-1,-1,-1
27121.sol,0.4.26,OK,0.36,1,-1,-1,-1
27159.sol,0.4.26,OK,0.38,0,-1,-1,-1
27164.sol,0.4.26,OK,0.48,0,-1,-1,-1
27263.sol,0.4.26,OK,0.38,0,-1,-1,-1
27327.sol,0.4.26,OK,0.24,0,-1,-1,-1
27334.sol,0.4.26,OK,0.33,1,-1,-1,-1
27603.sol,0.4.26,OK,0.3,0,-1,-1,-1
28974.sol,0.4.26,OK,0.39,1,-1,-1,-1
29089.sol,0.4.26,OK,0.31,1,-1,-1,-1
29090.sol,0.4.26,OK,0.48,1,-1,-1,-1
29130.sol,0.4.26,OK,0.3,0,-1,-1,-1
29154.sol,0.4.26,OK,0.32,0,-1,-1,-1
29590.sol,0.4.26,OK,0.37,0,-1,-1,-1
29948.sol,0.4.26,OK,0.42,1,-1,-1,-1
29983.sol,0.4.26,OK,0.34,0,-1,-1,-1
3.sol,0.4.26,OK,0.49,0,-1,-1,-1
30046.sol,0.4.26,OK,0.41,1,-1,-1,-1
30101.sol,0.4.26,OK,0.32,1,-1,-1,-1
30102.sol,0.4.26,OK,0.28,1,-1,-1,-1
30254.sol,0.4.26,OK,0.37,0,-1,-1,-1
30255.sol,0.4.26,OK,0.36,0,-1,-1,-1
30337.sol,0.4.26,OK,0.32,1,-1,-1,-1
30338.sol,0.4.26,OK,0.47,1,-1,-1,-1
30460.sol,0.4.26,OK,0.34,1,-1,-1,-1
31237.sol,0.4.26,OK,0.35,0,-1,-1,-1
31238.sol,0.4.26,OK,0.36,0,-1,-1,-1
31497.sol,0.4.26,OK,0.33,0,-1,-1,-1
31565.sol,0.4.26,OK,0.35,1,-1,-1,-1
31759.sol,0.4.26,OK,0.4,0,-1,-1,-1
32522.sol,0.4.26,OK,0.72,0,-1,-1,-1
33450.sol,0.4.26,OK,0.61,0,-1,-1,-1
33512.sol,0.4.26,OK,0.36,0,-1,-1,-1
34432.sol,0.4.26,OK,0.34,1,-1,-1,-1
34526.sol,0.4.26,OK,0.31,1,-1,-1,-1
34668.sol,0.4.26,OK,0.3,0,-1,-1,-1
34904.sol,0.4.26,OK,0.52,0,-1,-1,-1
35208.sol,0.4.26,OK,0.31,0,-1,-1,-1
35661.sol,0.4.26,OK,0.29,1,-1,-1,-1
35662.sol,0.4.26,OK,0.32,1,-1,-1,-1
35713.sol,0.4.26,OK,0.38,1,-1,-1,-1
35714.sol,0.4.26,OK,0.37,1,-1,-1,-1
35806.sol,0.4.26,OK,0.5,1,-1,-1,-1
35807.sol,0.4.26,OK,0.37,1,-1,-1,-1
35878.sol,0.4.26,OK,0.38,0,-1,-1,-1
35951.sol,0.4.26,OK,0.4,1,-1,-1,-1
36456.sol,0.4.26,OK,0.39,0,-1,-1,-1
36481.sol,0.4.26,OK,0.4,1,-1,-1,-1
36563.sol,0.4.26,OK,0.38,0,-1,-1,-1
36668.sol,0.4.26,OK,0.36,0,-1,-1,-1
36836.sol,0.4.26,OK,0.3,1,-1,-1,-1
37474.sol,0.4.26,OK,0.31,0,-1,-1,-1
37499.sol,0.4.26,OK,0.36,0,-1,-1,-1
37645.sol,0.4.26,OK,0.29,1,-1,-1,-1
37646.sol,0.4.26,OK,0.45,1,-1,-1,-1
37676.sol,0.4.26,OK,0.37,0,-1,-1,-1
37707.sol,0.4.26,OK,0.27,1,-1,-1,-1
37708.sol,0.4.26,OK,0.32,1,-1,-1,-1
37836.sol,0.4.26,OK,0.28,1,-1,-1,-1
37891.sol,0.4.26,OK,0.38,1,-1,-1,-1
38057.sol,0.4.26,OK,0.34,1,-1,-1,-1
38250.sol,0.4.26,OK,0.39,1,-1,-1,-1
38420.sol,0.4.26,OK,0.34,1,-1,-1,-1
38543.sol,0.4.26,OK,0.3,0,-1,-1,-1
38651.sol,0.4.26,OK,0.33,1,-1,-1,-1
38828.sol,0.4.26,OK,0.4,1,-1,-1,-1
38876.sol,0.4.26,OK,0.34,1,-1,-1,-1
38888.sol,0.4.26,OK,0.37,1,-1,-1,-1
39019.sol,0.4.26,OK,0.27,1,-1,-1,-1
39032.sol,0.4.26,OK,0.32,0,-1,-1,-1
39151.sol,0.4.26,OK,0.33,0,-1,-1,-1
39199.sol,0.4.26,OK,0.3,0,-1,-1,-1
39248.sol,0.4.26,OK,0.29,0,-1,-1,-1
39268.sol,0.4.26,OK,0.39,1,-1,-1,-1
39269.sol,0.4.26,OK,0.32,1,-1,-1,-1
39327.sol,0.4.26,OK,0.49,1,-1,-1,-1
39341.sol,0.4.26,OK,0.33,0,-1,-1,-1
39644.sol,0.4.26,OK,0.27,1,-1,-1,-1
39664.sol,0.4.26,OK,0.31,1,-1,-1,-1
39684.sol,0.4.26,OK,0.27,0,-1,-1,-1
39705.sol,0.4.26,OK,0.35,1,-1,-1,-1
39749.sol,0.4.26,OK,0.41,0,-1,-1,-1
39750.sol,0.4.26,OK,0.27,0,-1,-1,-1
39777.sol,0.4.26,OK,0.31,1,-1,-1,-1
39778.sol,0.4.26,OK,0.34,1,-1,-1,-1
39817.sol,0.4.26,OK,0.3,0,-1,-1,-1
39866.sol,0.4.26,OK,0.39,1,-1,-1,-1
39867.sol,0.4.26,OK,0.32,1,-1,-1,-1
39912.sol,0.4.26,OK,0.35,1,-1,-1,-1
39934.sol,0.4.26,OK,0.36,1,-1,-1,-1
4.sol,0.4.26,OK,0.32,0,-1,-1,-1
40089.sol,0.4.26,OK,0.44,1,-1,-1,-1
40090.sol,0.4.26,OK,0.4,0,-1,-1,-1
40092.sol,0.4.26,OK,0.47,1,-1,-1,-1
40203.sol,0.4.26,OK,0.46,0,-1,-1,-1
40242.sol,0.4.26,OK,0.48,0,-1,-1,-1
40249.sol,0.4.26,OK,0.45,1,-1,-1,-1
40299.sol,0.4.26,OK,0.4,0,-1,-1,-1
40336.sol,0.4.26,OK,0.37,1,-1,-1,-1
40340.sol,0.4.26,OK,0.33,1,-1,-1,-1
40342.sol,0.4.26,OK,0.34,1,-1,-1,-1
40353.sol,0.4.26,OK,0.41,1,-1,-1,-1
40357.sol,0.4.26,OK,0.24,0,-1,-1,-1
40366.sol,0.4.26,OK,0.28,0,-1,-1,-1
40413.sol,0.4.26,OK,0.26,0,-1,-1,-1
40415.sol,0.4.26,OK,0.3,1,-1,-1,-1
40425.sol,0.4.26,OK,0.35,1,-1,-1,-1
40499.sol,0.4.26,OK,0.34,1,-1,-1,-1
40500.sol,0.4.26,OK,0.35,0,-1,-1,-1
40720.sol,0.4.26,OK,0.37,0,-1,-1,-1
40732.sol,0.4.26,OK,0.31,1,-1,-1,-1
40733.sol,0.4.26,OK,0.32,1,-1,-1,-1
40734.sol,0.4.26,OK,0.38,1,-1,-1,-1
40735.sol,0.4.26,OK,0.38,1,-1,-1,-1
40736.sol,0.4.26,OK,0.41,1,-1,-1,-1
40737.sol,0.4.26,OK,0.37,1,-1,-1,-1
40741.sol,0.4.26,OK,0.31,1,-1,-1,-1
40742.sol,0.4.26,OK,0.27,1,-1,-1,-1
40745.sol,0.4.26,OK,0.3,1,-1,-1,-1
40746.sol,0.4.26,OK,0.32,1,-1,-1,-1
40747.sol,0.4.26,OK,0.38,1,-1,-1,-1
40748.sol,0.4.26,OK,0.31,1,-1,-1,-1
40749.sol,0.4.26,OK,0.36,1,-1,-1,-1
40750.sol,0.4.26,OK,0.41,1,-1,-1,-1
40751.sol,0.4.26,OK,0.29,1,-1,-1,-1
40752.sol,0.4.26,OK,0.37,1,-1,-1,-1
40753.sol,0.4.26,OK,0.46,1,-1,-1,-1
40754.sol,0.4.26,OK,0.29,1,-1,-1,-1
40755.sol,0.4.26,OK,0.34,1,-1,-1,-1
40756.sol,0.4.26,OK,0.3,1,-1,-1,-1
