filename,reentrancy,status,duration_s,solc_version
00_BasicConst_safe1.sol,0,OK,0.3,0.8.26
00_BasicEmit_safe1.sol,0,OK,0.38,0.8.26
00_BasicError_safe1.sol,0,OK,0.34,0.8.26
00_BasicFold_safe1.sol,0,OK,0.39,0.8.26
00_BasicFold_safe2.sol,0,OK,0.43,0.8.26
00_BasicInline_safe1.sol,0,OK,0.34,0.8.26
00_BasicNoCall_safe1.sol,0,OK,0.3,0.8.26
00_BasicNoChecks_safe1.sol,0,OK,0.38,0.8.26
00_BasicStaticcall_safe1.sol,0,OK,0.3,0.8.26
00_BasicUnchecked_safe1.sol,0,OK,0.29,0.8.26
00_Basic_safe1.sol,0,OK,0.38,0.8.26
01_SingleMutexFoldUnderflow_safe1.sol,0,OK,0.41,0.8.26
01_SingleMutexFold_safe1.sol,0,OK,0.39,0.8.26
01_SingleMutex_safe1.sol,0,OK,0.4,0.8.26
01_SingleMutex_safe2.sol,0,OK,0.42,0.8.26
02_CrossMutexUnchecked_safe1.sol,0,OK,0.44,0.8.26
02_CrossMutexUnderflow_safe1.sol,0,OK,0.4,0.8.26
02_CrossMutex_safe1.sol,0,OK,0.4,0.8.26
02_CrossMutex_safe2.sol,0,OK,0.37,0.8.26
03_SingleModFoldUnderflow_safe1.sol,0,OK,0.36,0.8.26
03_SingleModFold_safe1.sol,0,OK,0.35,0.8.26
03_SingleModUnderflow_safe1.sol,0,OK,0.45,0.8.26
03_SingleMod_safe1.sol,0,OK,0.3,0.8.26
03_SingleMod_safe2.sol,0,OK,0.33,0.8.26
04_CrossModFoldUnderflow_safe1.sol,0,OK,0.37,0.8.26
04_CrossModFold_safe1.sol,0,OK,0.34,0.8.26
04_CrossMod_safe1.sol,0,OK,0.33,0.8.26
04_CrossMod_safe2.sol,0,OK,0.46,0.8.26
04_CrossMod_safe3.sol,0,OK,0.35,0.8.26
05_SendEmitUnchecked_safe1.sol,0,OK,0.35,0.8.26
05_SendEmit_safe1.sol,0,OK,0.39,0.8.26
05_SendUnchecked_safe1.sol,0,OK,0.44,0.8.26
05_Send_safe1.sol,0,OK,0.36,0.8.26
05_Send_safe2.sol,0,OK,0.38,0.8.26
05_Send_safe3.sol,0,OK,0.27,0.8.26
06_TransferUnchecked_safe1.sol,0,OK,0.28,0.8.26
06_TransferUnchecked_safe2.sol,0,OK,0.4,0.8.26
06_Transfer_safe1.sol,0,OK,0.39,0.8.26
06_Transfer_safe2.sol,0,OK,0.39,0.8.26
07_MixedSendFoldEmit_safe1.sol,0,OK,0.34,0.8.26
07_MixedSendFold_safe1.sol,0,OK,0.32,0.8.26
07_MixedSend_safe1.sol,0,OK,0.35,0.8.26
