filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,0.4.25,OK,8.48,0,0,0,0
1014.sol,0.4.25,OK,3.63,0,0,0,0
10146.sol,0.4.25,OK,3.58,0,0,0,0
1015.sol,0.4.25,OK,29.65,0,0,0,0
10233.sol,0.4.25,OK,7.43,0,0,1,1
10295.sol,0.4.25,OK,4.67,0,0,0,0
10342.sol,0.4.25,OK,6.69,0,0,1,0
10369.sol,0.4.25,OK,4.64,0,0,1,0
10547.sol,0.4.25,OK,6.53,0,0,1,0
1057.sol,0.4.25,OK,3.46,0,0,0,0
10736.sol,0.4.25,OK,4.94,0,0,0,0
10855.sol,0.4.25,OK,5.61,0,0,1,0
10971.sol,0.4.25,OK,7.24,0,0,0,0
11064.sol,0.4.25,OK,3.8,0,0,0,0
1115.sol,0.4.25,OK,5.12,0,0,0,0
11159.sol,0.4.25,OK,3.91,0,0,0,0
11243.sol,0.4.25,OK,4.1,0,0,0,0
11323.sol,0.4.25,OK,3.79,0,0,0,0
11330.sol,0.4.25,OK,6.4,0,0,0,0
11346.sol,0.4.25,OK,5.37,0,0,0,0
11457.sol,0.4.25,OK,5.89,0,0,1,0
11798.sol,0.4.25,OK,5.29,0,0,0,0
1181.sol,0.4.25,OK,4.08,0,0,1,0
1182.sol,0.4.25,OK,4.62,0,0,0,0
1183.sol,0.4.25,OK,6.32,0,0,0,0
11931.sol,0.4.25,OK,4.97,0,0,0,0
11964.sol,0.4.25,OK,7.9,0,0,1,0
12044.sol,0.4.25,OK,12.51,0,0,1,0
12115.sol,0.4.25,OK,6.01,0,0,1,0
1226.sol,0.4.25,OK,4.54,0,0,0,0
12292.sol,0.4.25,OK,3.62,0,0,0,0
12321.sol,0.4.25,OK,7.88,0,1,0,0
12393.sol,0.4.25,OK,3.88,0,0,0,0
124.sol,0.4.25,OK,3.71,0,0,0,0
1246.sol,0.4.25,OK,5.79,0,0,1,0
12460.sol,0.4.25,OK,4.32,0,0,1,0
