filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,swc_107_count,swc_101_count,swc_116_count,swc_114_count,raw_json_path
1.sol,0,0,0,0,8.48,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1.json
1014.sol,0,0,0,0,3.63,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1014.json
10146.sol,0,0,0,0,3.58,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/10146.json
1015.sol,0,0,0,0,29.65,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1015.json
10233.sol,0,0,1,1,7.43,OK,0.4.25,0,0,1,1,results/mythril/qian/raw_json/10233.json
10295.sol,0,0,0,0,4.67,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/10295.json
10342.sol,0,0,1,0,6.69,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/10342.json
10369.sol,0,0,1,0,4.64,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/10369.json
10547.sol,0,0,1,0,6.53,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/10547.json
1057.sol,0,0,0,0,3.46,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1057.json
10736.sol,0,0,0,0,4.94,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/10736.json
10855.sol,0,0,1,0,5.61,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/10855.json
10971.sol,0,0,0,0,7.24,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/10971.json
11064.sol,0,0,0,0,3.8,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11064.json
1115.sol,0,0,0,0,5.12,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1115.json
11159.sol,0,0,0,0,3.91,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11159.json
11243.sol,0,0,0,0,4.1,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11243.json
11323.sol,0,0,0,0,3.79,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11323.json
11330.sol,0,0,0,0,6.4,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11330.json
11346.sol,0,0,0,0,5.37,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11346.json
11457.sol,0,0,1,0,5.89,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/11457.json
11798.sol,0,0,0,0,5.29,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11798.json
1181.sol,0,0,1,0,4.08,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1181.json
1182.sol,0,0,0,0,4.62,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1182.json
1183.sol,0,0,0,0,6.32,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1183.json
11931.sol,0,0,0,0,4.97,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/11931.json
11964.sol,0,0,1,0,7.9,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/11964.json
12044.sol,0,0,1,0,12.51,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12044.json
12115.sol,0,0,1,0,6.01,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12115.json
1226.sol,0,0,0,0,4.54,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1226.json
12292.sol,0,0,0,0,3.62,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12292.json
12321.sol,0,1,0,0,7.88,OK,0.4.25,0,1,0,0,results/mythril/qian/raw_json/12321.json
12393.sol,0,0,0,0,3.88,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12393.json
124.sol,0,0,0,0,3.71,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/124.json
1246.sol,0,0,1,0,5.79,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1246.json
12460.sol,0,0,1,0,4.32,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12460.json
12465.sol,0,0,1,0,5.92,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12465.json
12466.sol,0,0,0,0,5.82,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12466.json
1256.sol,0,0,0,0,5.61,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1256.json
12688.sol,0,0,0,0,4.67,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12688.json
12689.sol,0,0,1,0,6.08,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12689.json
12715.sol,0,0,1,0,4.0,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/12715.json
1284.sol,0,0,0,0,3.28,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1284.json
12841.sol,0,0,0,0,3.61,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12841.json
12856.sol,0,0,0,0,4.11,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12856.json
1288.sol,0,0,1,0,4.1,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1288.json
12894.sol,0,1,0,0,3.95,OK,0.4.25,0,1,0,0,results/mythril/qian/raw_json/12894.json
12898.sol,0,0,0,0,6.52,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12898.json
12919.sol,0,0,0,0,3.35,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/12919.json
12998.sol,0,1,0,0,14.85,OK,0.4.25,0,3,0,0,results/mythril/qian/raw_json/12998.json
13069.sol,0,0,1,0,6.21,OK,0.4.25,0,0,2,0,results/mythril/qian/raw_json/13069.json
1313.sol,0,0,1,0,4.11,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1313.json
1318.sol,0,0,0,0,4.15,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1318.json
1319.sol,0,0,0,0,3.48,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/1319.json
13283.sol,0,0,0,0,14.97,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13283.json
13293.sol,0,0,1,0,4.27,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/13293.json
13371.sol,0,0,0,0,4.08,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13371.json
134.sol,0,0,0,0,5.34,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/134.json
13413.sol,0,1,0,0,15.8,OK,0.4.25,0,2,0,0,results/mythril/qian/raw_json/13413.json
135.sol,0,0,0,0,7.15,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/135.json
136.sol,0,0,1,0,4.32,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/136.json
13657.sol,0,0,0,0,6.69,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13657.json
137.sol,0,0,1,0,4.2,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/137.json
13723.sol,0,0,0,0,3.34,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13723.json
13780.sol,0,0,0,0,3.68,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13780.json
13993.sol,0,0,0,0,4.06,OK,0.4.25,0,0,0,0,results/mythril/qian/raw_json/13993.json
1404.sol,0,0,1,0,13.02,OK,0.4.25,0,0,1,0,results/mythril/qian/raw_json/1404.json
