filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
00_BasicConst_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_BasicConst_safe1.sol,0.8.28,TN,304,0,-1,-1,-1
00_BasicCross_ree1.sol,0.8.28,FLAGGED_TP,304,1,-1,-1,-1
00_BasicEmit_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_BasicEmit_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
00_BasicError_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_BasicError_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
00_BasicFold_ree1.sol,0.8.28,FLAGGED_TP,304,1,-1,-1,-1
00_BasicFold_ree2.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_BasicFold_safe1.sol,0.8.28,FP,304,1,-1,-1,-1
00_BasicFold_safe2.sol,0.8.28,FP,305,1,-1,-1,-1
00_BasicInline_safe1.sol,0.8.28,FP,101,1,-1,-1,-1
00_BasicNoCall_safe1.sol,0.8.28,TN,79,0,-1,-1,-1
00_BasicNoChecks_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_BasicNoChecks_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
00_BasicStaticcall_safe1.sol,0.8.28,TN,305,0,-1,-1,-1
00_BasicUnchecked_ree1.sol,0.8.28,FLAGGED_TP,309,1,-1,-1,-1
00_BasicUnchecked_safe1.sol,0.8.28,FP,309,1,-1,-1,-1
00_Basic_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
00_Basic_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
01_SingleMutexFoldUnderflow_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
01_SingleMutexFoldUnderflow_safe1.sol,0.8.28,FP,306,1,-1,-1,-1
01_SingleMutexFold_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
01_SingleMutexFold_ree2.sol,0.8.28,FLAGGED_TP,304,1,-1,-1,-1
01_SingleMutexFold_ree3.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
01_SingleMutexFold_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
01_SingleMutex_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
01_SingleMutex_ree2.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
01_SingleMutex_safe1.sol,0.8.28,FP,305,1,-1,-1,-1
01_SingleMutex_safe2.sol,0.8.28,TN,23858,0,-1,-1,-1
02_CrossMutexUnchecked_ree1.sol,0.8.28,FLAGGED_TP,312,1,-1,-1,-1
02_CrossMutexUnchecked_safe1.sol,0.8.28,FP,314,1,-1,-1,-1
02_CrossMutexUnderflow_ree1.sol,0.8.28,FLAGGED_TP,305,1,-1,-1,-1
02_CrossMutexUnderflow_safe1.sol,0.8.28,FP,307,1,-1,-1,-1
