"filename","ground_truth","mythril_flagged","swc107_count","exit_code","status","duration_s"
"00_BasicConst_ree1.sol",1,1,1,1,FLAGGED_TP,305
"00_BasicCross_ree1.sol",1,1,2,1,FLAGGED_TP,304
"00_BasicEmit_ree1.sol",1,1,3,1,FLAGGED_TP,305
"00_BasicError_ree1.sol",1,1,2,1,FLAGGED_TP,305
"00_BasicFold_ree1.sol",1,1,2,1,FLAGGED_TP,304
"00_BasicFold_ree2.sol",1,1,2,1,FLAGGED_TP,305
"00_BasicInline_ree1.sol",1,1,3,1,FLAGGED_TP,97
"00_BasicNoChecks_ree1.sol",1,1,2,1,FLAGGED_TP,305
"00_Basic_ree1.sol",1,1,2,1,FLAGGED_TP,305
"00_BasicUnchecked_ree1.sol",1,1,3,1,FLAGGED_TP,309
"01_SingleMutexFold_ree1.sol",1,1,5,1,FLAGGED_TP,305
"01_SingleMutexFold_ree2.sol",1,1,5,1,FLAGGED_TP,304
"01_SingleMutexFold_ree3.sol",1,1,5,1,FLAGGED_TP,305
"01_SingleMutexFoldUnderflow_ree1.sol",1,1,5,1,FLAGGED_TP,305
"01_SingleMutex_ree1.sol",1,1,4,1,FLAGGED_TP,305
"01_SingleMutex_ree2.sol",1,1,4,1,FLAGGED_TP,305
"02_CrossMutex_ree1.sol",1,1,4,1,FLAGGED_TP,305
"02_CrossMutex_ree2.sol",1,1,4,1,FLAGGED_TP,306
"02_CrossMutexUnchecked_ree1.sol",1,1,5,1,FLAGGED_TP,312
"02_CrossMutexUnderflow_ree1.sol",1,1,4,1,FLAGGED_TP,305
"03_SingleModFold_ree1.sol",1,1,4,1,FLAGGED_TP,305
"03_SingleModFold_ree2.sol",1,1,2,1,FLAGGED_TP,303
"03_SingleModFold_ree3.sol",1,1,2,1,FLAGGED_TP,305
"03_SingleModFoldUnderflow_ree1.sol",1,1,4,1,FLAGGED_TP,305
"03_SingleMod_ree1.sol",1,1,4,1,FLAGGED_TP,306
"03_SingleMod_ree2.sol",1,1,2,1,FLAGGED_TP,304
"03_SingleMod_ree3.sol",1,1,4,1,FLAGGED_TP,304
"03_SingleModUnderflow_ree1.sol",1,1,4,1,FLAGGED_TP,305
"04_CrossModFold_ree1.sol",1,0,0,0,NO_FINDING,306
"04_CrossModFold_ree2.sol",1,0,0,0,NO_FINDING,305
"04_CrossModFold_ree3.sol",1,0,0,0,NO_FINDING,305
"04_CrossMod_ree1.sol",1,1,4,1,FLAGGED_TP,306
"04_CrossMod_ree2.sol",1,1,2,1,FLAGGED_TP,305
"04_CrossMod_ree3.sol",1,1,2,1,FLAGGED_TP,305
"04_CrossMod_ree4.sol",1,1,4,1,FLAGGED_TP,305
"04_CrossMod_ree5.sol",1,1,4,1,FLAGGED_TP,305
"07_MixedSendFoldEmit_ree1.sol",1,1,2,1,FLAGGED_TP,304
"07_MixedSendFold_ree1.sol",1,1,2,1,FLAGGED_TP,304
"07_MixedSend_ree1.sol",1,1,2,1,FLAGGED_TP,305
"08_MixedTransferEmit_ree1.sol",1,1,3,1,FLAGGED_TP,304
"08_MixedTransfer_ree1.sol",1,1,2,1,FLAGGED_TP,305
"09_ERC20InheritMod_ree1.sol",1,1,3,1,FLAGGED_TP,393
"09_ERC20InheritMod_ree2.sol",1,1,5,1,FLAGGED_TP,404
"09_ERC20InheritMod_ree3.sol",1,1,5,1,FLAGGED_TP,396
"09_ERC20Inherit_ree1.sol",1,1,3,1,FLAGGED_TP,395
"09_ERC20Mod_ree1.sol",1,1,3,1,FLAGGED_TP,89
"09_ERC20Mod_ree2.sol",1,1,5,1,FLAGGED_TP,101
"09_ERC20Mod_ree3.sol",1,1,5,1,FLAGGED_TP,96
"09_ERC20OnlyOnce_ree1.sol",1,0,0,0,NO_FINDING,32
"09_ERC20_ree1.sol",1,0,0,0,NO_FINDING,33
"09_ERC20_ree2.sol",1,1,3,1,FLAGGED_TP,89
"09_ERC20StakingPullMod_ree1.sol",1,1,5,1,FLAGGED_TP,308
"09_ERC20StakingPullMod_ree2.sol",1,1,3,1,FLAGGED_TP,350
"09_ERC20StakingPull_ree1.sol",1,1,3,1,FLAGGED_TP,306
"09_ERC20Staking_ree1.sol",1,1,6,1,FLAGGED_TP,304
"09_ERC20Staking_ree2.sol",1,1,6,1,FLAGGED_TP,303
"09_ERC20Staking_ree3.sol",1,1,4,1,FLAGGED_TP,306
"09_ERC20Staticcall_ree1.sol",1,0,0,0,NO_FINDING,43
"12_OnlyOwner_ree1.sol",1,1,7,1,FLAGGED_TP,306
"13_LoopCrossMod_ree1.sol",1,0,0,0,NO_FINDING,309
"13_LoopCrossMod_ree2.sol",1,0,0,0,NO_FINDING,305
"13_LoopCrossMod_ree3.sol",1,0,0,0,NO_FINDING,305
"13_LoopCrossMutex_ree1.sol",1,0,0,0,NO_FINDING,306
"13_Loop_ree1.sol",1,1,2,1,FLAGGED_TP,305
"14_DelegateCall_ree1.sol",1,0,0,1,NO_FINDING,141
"14_DelegateCall_ree2.sol",1,1,2,1,FLAGGED_TP,305
"14_DelegateCall_ree3.sol",1,1,2,1,FLAGGED_TP,304
"14_DelegateCall_ree4.sol",1,1,2,1,FLAGGED_TP,305
"15_ReadOnly_ree1.sol",1,1,3,1,FLAGGED_TP,144
"15_ReadOnly_ree2.sol",1,1,3,1,FLAGGED_TP,171
"15_ReadOnlyStaticcall_ree1.sol",1,1,3,1,FLAGGED_TP,155
