"filename","ground_truth","mythril_flagged","swc107_count","exit_code","status","duration_s"
"00_BasicConst_safe1.sol",0,0,0,1,TN,304
"00_BasicEmit_safe1.sol",0,1,2,1,FP,305
"00_BasicError_safe1.sol",0,1,1,1,FP,305
"00_BasicFold_safe1.sol",0,1,1,1,FP,304
"00_BasicFold_safe2.sol",0,1,1,1,FP,305
"00_BasicInline_safe1.sol",0,1,5,1,FP,101
"00_BasicNoCall_safe1.sol",0,0,0,0,TN,79
"00_BasicNoChecks_safe1.sol",0,1,1,1,FP,305
"00_Basic_safe1.sol",0,1,1,1,FP,305
"00_BasicStaticcall_safe1.sol",0,0,0,0,TN,305
"00_BasicUnchecked_safe1.sol",0,1,1,1,FP,309
"01_SingleMutexFold_safe1.sol",0,1,5,1,FP,305
"01_SingleMutexFoldUnderflow_safe1.sol",0,1,6,1,FP,306
"01_SingleMutex_safe1.sol",0,1,4,1,FP,305
"01_SingleMutex_safe2.sol",0,0,0,0,TN,23858
"02_CrossMutex_safe1.sol",0,1,5,1,FP,306
"02_CrossMutex_safe2.sol",0,1,3,1,FP,306
"02_CrossMutexUnchecked_safe1.sol",0,1,3,1,FP,314
"02_CrossMutexUnderflow_safe1.sol",0,1,5,1,FP,307
"03_SingleModFold_safe1.sol",0,1,4,1,FP,304
"03_SingleModFoldUnderflow_safe1.sol",0,1,5,1,FP,305
"03_SingleMod_safe1.sol",0,0,0,124,TIMEOUT,-19292
"03_SingleMod_safe2.sol",0,1,3,1,FP,305
"03_SingleModUnderflow_safe1.sol",0,1,4,1,FP,305
"04_CrossModFold_safe1.sol",0,0,0,0,TN,306
"04_CrossModFoldUnderflow_safe1.sol",0,1,6,1,FP,306
"04_CrossMod_safe1.sol",0,1,3,1,FP,305
"04_CrossMod_safe2.sol",0,1,4,1,FP,305
"04_CrossMod_safe3.sol",0,0,0,0,TN,305
"05_SendEmit_safe1.sol",0,0,0,1,TN,304
"05_SendEmitUnchecked_safe1.sol",0,0,0,1,TN,307
"05_Send_safe1.sol",0,0,0,1,TN,304
"05_Send_safe2.sol",0,0,0,1,TN,305
"05_Send_safe3.sol",0,0,0,1,TN,304
"05_SendUnchecked_safe1.sol",0,0,0,1,TN,13180
"06_Transfer_safe1.sol",0,0,0,1,TN,303
"06_Transfer_safe2.sol",0,0,0,1,TN,305
"06_TransferUnchecked_safe1.sol",0,0,0,1,TN,308
"06_TransferUnchecked_safe2.sol",0,0,0,1,TN,307
"07_MixedSendFoldEmit_safe1.sol",0,1,1,1,FP,305
"07_MixedSendFold_safe1.sol",0,1,1,1,FP,305
"07_MixedSend_safe1.sol",0,1,1,1,FP,305
"08_MixedTransferEmit_safe1.sol",0,1,2,1,FP,305
"08_MixedTransfer_safe1.sol",0,1,1,1,FP,304
"09_ERC20InheritMod_safe1.sol",0,1,5,1,FP,420
"09_ERC20Inherit_safe1.sol",0,1,1,1,FP,19842
"09_ERC20Mod_safe1.sol",0,1,5,1,FP,110
"09_ERC20OnlyOnce_safe1.sol",0,0,0,0,TN,50
"09_ERC20OnlyOnce_safe2.sol",0,0,0,0,TN,44
"09_ERC20_safe1.sol",0,0,0,0,TN,313
"09_ERC20_safe2.sol",0,0,0,0,TN,313
"09_ERC20_safe3.sol",0,1,1,1,FP,260
"09_ERC20_safe4.sol",0,1,1,1,FP,92
"09_ERC20StakingPullMod_safe1.sol",0,1,7,1,FP,306
"09_ERC20StakingPull_safe1.sol",0,1,2,1,FP,318
"09_ERC20StakingPull_safe2.sol",0,0,0,124,TIMEOUT,-19291
"09_ERC20Staking_safe1.sol",0,0,0,0,TN,308
"09_ERC20Staking_safe2.sol",0,0,0,0,TN,308
"09_ERC20Staking_safe3.sol",0,1,2,1,FP,306
"10_OnlyOnce_safe1.sol",0,1,3,1,FP,305
"10_OnlyOnce_safe2.sol",0,1,4,1,FP,304
"11_Proxy_safe1.sol",0,1,3,1,FP,103
"11_Proxy_safe2.sol",0,1,3,1,FP,109
"11_ProxyStaticcall_safe1.sol",0,0,0,0,TN,7
"12_OnlyOwner_safe1.sol",0,1,9,1,FP,306
"13_LoopCrossMod_safe1.sol",0,0,0,0,TN,304
"13_LoopCrossMutex_safe1.sol",0,0,0,0,TN,305
"13_LoopCrossMutex_safe2.sol",0,0,0,0,TN,306
"13_Loop_safe1.sol",0,1,5,1,FP,305
"14_ReadOnly_safe1.sol",0,1,1,1,FP,170
"15_ReadOnly_safe2.sol",0,1,5,1,FP,325
"15_ReadOnlyStaticcall_safe1.sol",0,1,1,1,FP,167
