filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,swc_107_count,swc_101_count,swc_116_count,swc_114_count,raw_json_path
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,1,0,0,0,0,OK,0.4.19,1,0,0,0,results/mythril/sbc/raw_json_verify/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.json
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,1,0,0,0,316.19,OK,0.4.24,5,0,0,0,results/mythril/sbc/raw_json/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.json
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,1,0,0,0,8.46,OK,0.4.26,1,0,0,0,results/mythril/sbc/raw_json/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.json
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,0,0,0,0,660.23,TIMEOUT,0.4.11,0,0,0,0,results/mythril/sbc/raw_json/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.json
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,1,0,0,0,0,OK,0.4.19,1,0,0,0,results/mythril/sbc/raw_json_verify/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.json
0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,1,1,0,0,116.7,OK,0.4.25,1,1,0,0,results/mythril/sbc/raw_json/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.json
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,1,0,0,0,352.67,OK,0.4.18,2,0,0,0,results/mythril/sbc/raw_json/0x39cfd754c85023648bf003bea2dd498c5612abfa.json
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,1,0,0,0,353.89,OK,0.4.18,2,0,0,0,results/mythril/sbc/raw_json/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.json
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,1,0,0,1,304.95,OK,0.4.18,1,0,0,1,results/mythril/sbc/raw_json/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.json
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,1,0,0,1,307.73,OK,0.4.19,1,0,0,2,results/mythril/sbc/raw_json/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.json
0x4051334adc52057aca763453820cb0e045076ef3.sol,1,0,0,0,66.91,OK,0.4.24,1,0,0,0,results/mythril/sbc/raw_json/0x4051334adc52057aca763453820cb0e045076ef3.json
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,1,0,0,0,0,OK,0.4.19,1,0,0,0,results/mythril/sbc/raw_json_verify/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.json
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,0,0,0,0,14.0,OK,0.4.18,0,0,0,0,results/mythril/sbc/raw_json/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.json
0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,1,0,0,0,73.1,OK,0.4.24,1,0,0,0,results/mythril/sbc/raw_json/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.json
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,1,0,0,0,0,OK,0.4.19,2,0,0,0,results/mythril/sbc/raw_json_verify/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.json
0x524960d55174d912768678d8c606b4d50b79d7b1.sol,0,0,0,0,17.93,OK,0.4.13,0,0,0,0,results/mythril/sbc/raw_json/0x524960d55174d912768678d8c606b4d50b79d7b1.json
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,1,0,0,1,52.99,OK,0.4.19,3,0,0,1,results/mythril/sbc/raw_json/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.json
