filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,0.5.17,OK,320.05,0,0,0,0
10.sol,0.5.17,OK,337.03,0,0,0,0
11.sol,0.5.17,OK,359.12,1,0,0,0
12.sol,0.5.17,OK,335.28,0,0,0,0
13.sol,0.5.17,OK,319.46,0,0,0,0
14.sol,0.5.17,OK,12.17,0,0,0,0
15.sol,0.5.17,OK,317.25,0,0,0,0
16.sol,0.5.17,OK,330.66,1,0,0,0
17.sol,0.5.17,OK,9.09,0,0,0,0
18.sol,0.5.17,OK,329.34,1,0,0,0
19.sol,0.5.17,OK,85.6,0,0,0,0
2.sol,0.5.17,OK,340.11,0,0,0,0
20.sol,0.5.17,OK,335.02,0,0,0,0
21.sol,0.5.17,OK,310.95,0,0,0,0
22.sol,0.5.17,OK,349.26,0,0,0,0
23.sol,0.5.17,OK,30.29,0,0,0,0
24.sol,0.5.17,OK,69.41,0,0,0,0
25.sol,0.5.17,OK,321.95,0,0,0,0
26.sol,0.5.17,OK,316.52,0,0,0,0
27.sol,0.5.17,OK,335.16,0,0,0,0
28.sol,0.5.17,OK,318.14,0,0,0,0
29.sol,0.5.17,OK,311.32,0,0,0,0
3.sol,0.5.17,OK,337.99,0,0,0,0
30.sol,0.5.17,OK,7.14,0,0,0,0
31.sol,0.5.17,OK,59.71,0,0,0,0
32.sol,0.5.17,OK,27.22,0,0,0,0
33.sol,0.5.17,OK,321.41,0,0,0,0
34.sol,0.5.17,OK,331.48,0,1,1,0
35.sol,0.5.17,OK,341.36,1,0,0,0
36.sol,0.5.17,OK,344.66,0,0,0,0
37.sol,0.5.17,OK,36.82,0,0,0,0
38.sol,0.5.17,OK,316.83,0,0,0,0
39.sol,0.5.17,OK,314.2,0,0,0,0
4.sol,0.5.17,OK,6.37,0,0,0,0
40.sol,0.5.17,OK,18.06,0,0,0,0
41.sol,0.5.17,OK,319.1,0,0,0,0
42.sol,0.5.17,OK,319.64,0,0,0,0
43.sol,0.5.17,OK,67.71,0,0,0,0
44.sol,0.5.17,OK,106.76,0,0,0,0
45.sol,0.5.17,OK,50.91,0,1,0,0
46.sol,0.5.17,OK,45.49,0,0,0,0
47.sol,0.5.17,OK,25.0,0,0,0,0
48.sol,0.5.17,OK,151.77,0,0,0,0
49.sol,0.5.17,OK,246.65,0,0,0,0
5.sol,0.5.17,OK,11.43,0,0,0,0
50.sol,0.5.17,OK,312.53,0,0,0,0
6.sol,0.5.17,OK,311.94,0,0,0,0
7.sol,0.5.17,OK,317.03,0,0,0,0
8.sol,0.5.17,OK,12.07,0,0,0,0
9.sol,0.5.17,OK,619.17,0,0,0,0
buggy_1.sol,0.5.17,OK,331.8,0,0,0,1
buggy_10.sol,0.5.17,OK,341.75,0,0,0,1
buggy_11.sol,0.5.17,OK,437.1,0,0,0,0
buggy_12.sol,0.5.17,OK,99.41,0,0,0,0
buggy_13.sol,0.5.17,OK,339.71,0,0,0,0
buggy_14.sol,0.5.17,OK,127.98,0,0,0,0
buggy_15.sol,0.5.17,OK,336.9,0,0,0,0
buggy_16.sol,0.5.17,OK,234.3,0,0,0,0
buggy_17.sol,0.5.17,OK,258.62,0,0,0,1
buggy_18.sol,0.5.17,OK,617.81,0,0,0,1
buggy_19.sol,0.5.17,OK,276.57,0,0,0,0
buggy_2.sol,0.5.17,OK,345.06,0,0,0,0
buggy_20.sol,0.5.17,OK,59.32,0,0,0,0
buggy_21.sol,0.5.17,OK,324.32,0,0,0,0
buggy_22.sol,0.5.17,OK,304.84,0,0,0,0
buggy_23.sol,0.5.17,OK,136.02,0,0,0,0
buggy_24.sol,0.5.17,OK,653.23,0,1,0,1
buggy_25.sol,0.5.17,OK,352.73,0,0,0,1
buggy_26.sol,0.5.17,OK,338.19,0,0,0,1
buggy_27.sol,0.5.17,OK,134.33,0,0,0,0
buggy_28.sol,0.5.17,OK,352.14,0,0,0,1
buggy_29.sol,0.5.17,OK,330.56,0,0,0,1
buggy_3.sol,0.5.17,OK,345.29,0,0,0,0
buggy_30.sol,0.5.17,OK,9.32,0,0,0,0
buggy_31.sol,0.5.17,OK,323.3,0,0,0,0
buggy_32.sol,0.5.17,OK,430.04,0,0,0,0
buggy_33.sol,0.5.17,OK,92.32,0,0,0,0
buggy_34.sol,0.5.17,OK,141.59,0,0,0,0
buggy_35.sol,0.5.17,OK,431.71,0,0,0,0
buggy_36.sol,0.5.17,OK,369.0,0,0,0,0
buggy_37.sol,0.5.17,OK,332.31,0,0,0,0
buggy_38.sol,0.5.17,OK,356.21,0,0,0,1
buggy_39.sol,0.5.17,OK,318.32,0,0,0,1
buggy_4.sol,0.5.17,OK,6.82,0,0,0,0
buggy_40.sol,0.5.17,OK,153.96,0,0,0,0
buggy_41.sol,0.5.17,OK,332.01,0,0,0,0
buggy_42.sol,0.5.17,OK,123.92,0,0,0,0
buggy_43.sol,0.5.17,OK,758.88,0,0,0,1
buggy_44.sol,0.5.17,OK,652.89,0,0,0,1
