filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,swc_107_count,swc_101_count,swc_116_count,swc_114_count,raw_json_path
1.sol,0,0,0,0,320.05,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/1.json
10.sol,0,0,0,0,337.03,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/10.json
11.sol,1,0,0,0,359.12,OK,0.5.17,2,0,0,0,results/mythril/solidifi/raw_json/11.json
12.sol,0,0,0,0,335.28,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/12.json
13.sol,0,0,0,0,319.46,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/13.json
14.sol,0,0,0,0,12.17,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/14.json
15.sol,0,0,0,0,317.25,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/15.json
16.sol,1,0,0,0,330.66,OK,0.5.17,1,0,0,0,results/mythril/solidifi/raw_json/16.json
17.sol,0,0,0,0,9.09,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/17.json
18.sol,1,0,0,0,329.34,OK,0.5.17,2,0,0,0,results/mythril/solidifi/raw_json/18.json
19.sol,0,0,0,0,85.6,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/19.json
2.sol,0,0,0,0,340.11,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/2.json
20.sol,0,0,0,0,335.02,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/20.json
21.sol,0,0,0,0,310.95,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/21.json
22.sol,0,0,0,0,349.26,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/22.json
23.sol,0,0,0,0,30.29,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/23.json
24.sol,0,0,0,0,69.41,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/24.json
25.sol,0,0,0,0,321.95,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/25.json
26.sol,0,0,0,0,316.52,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/26.json
27.sol,0,0,0,0,335.16,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/27.json
28.sol,0,0,0,0,318.14,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/28.json
29.sol,0,0,0,0,311.32,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/29.json
3.sol,0,0,0,0,337.99,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/3.json
30.sol,0,0,0,0,7.14,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/30.json
31.sol,0,0,0,0,59.71,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/31.json
32.sol,0,0,0,0,27.22,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/32.json
33.sol,0,0,0,0,321.41,OK,0.5.17,0,0,0,0,results/mythril/solidifi/raw_json/33.json
34.sol,0,1,1,0,331.48,OK,0.5.17,0,3,7,0,results/mythril/solidifi/raw_json/34.json
35.sol,1,0,0,0,341.36,OK,0.5.17,6,0,0,0,results/mythril/solidifi/raw_json/35.json
