filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
18430.sol,reentrancy,0,1,0.4.21,0,FP,2.35
18438.sol,reentrancy,0,1,0.4.21,0,FP,0.34
18771.sol,reentrancy,0,1,0.4.21,0,FP,0.27
19128.sol,reentrancy,0,0,0.4.21,0,TN,0.25
19129.sol,reentrancy,0,0,0.4.21,0,TN,0.26
19925.sol,reentrancy,0,1,0.4.21,0,FP,17.74
21241.sol,reentrancy,0,1,0.4.21,0,FP,0.5
21697.sol,reentrancy,0,0,0.4.21,0,TN,0.24
21886.sol,reentrancy,0,1,0.4.21,0,FP,0.37
22075.sol,reentrancy,0,0,0.4.21,0,TN,0.36
22635.sol,reentrancy,0,1,0.4.21,0,FP,0.26
22636.sol,reentrancy,0,1,0.4.21,0,FP,0.28
23792.sol,reentrancy,0,0,0.4.21,0,TN,0.33
23793.sol,reentrancy,0,0,0.4.21,0,TN,0.33
24196.sol,reentrancy,0,1,0.4.21,0,FP,14.54
24369.sol,reentrancy,0,1,0.4.21,0,FP,15.4
24648.sol,reentrancy,0,1,0.4.21,0,FP,0.37
24649.sol,reentrancy,0,1,0.4.21,0,FP,0.39
25808.sol,reentrancy,0,0,0.4.21,0,TN,0.33
26188.sol,reentrancy,0,0,0.4.21,0,TN,0.26
27121.sol,reentrancy,0,1,0.4.21,0,FP,44.26
27159.sol,reentrancy,0,1,0.4.21,0,FP,16.8
27164.sol,reentrancy,0,1,0.4.21,0,FP,0.27
27263.sol,reentrancy,0,1,0.4.21,0,FP,0.27
27327.sol,reentrancy,0,1,0.4.21,0,FP,0.27
27334.sol,reentrancy,0,1,0.4.21,0,FP,0.29
27603.sol,reentrancy,0,1,0.4.21,0,FP,15.19
28974.sol,reentrancy,0,1,0.4.21,0,FP,13.8
29090.sol,reentrancy,0,1,0.4.21,0,FP,0.33
29130.sol,reentrancy,0,1,0.4.21,0,FP,0.26
29154.sol,reentrancy,0,1,0.4.21,0,FP,15.8
29590.sol,reentrancy,0,1,0.4.21,0,FP,38.63
29948.sol,reentrancy,0,1,0.4.21,0,FP,43.91
29983.sol,reentrancy,0,1,0.4.21,0,FP,15.1
3.sol,reentrancy,0,1,0.4.21,0,FP,16.9
30046.sol,reentrancy,0,1,0.4.21,0,FP,50.36
30101.sol,reentrancy,0,1,0.4.21,0,FP,0.28
30102.sol,reentrancy,0,1,0.4.21,0,FP,0.3
30254.sol,reentrancy,0,1,0.4.21,0,FP,15.18
30255.sol,reentrancy,0,1,0.4.21,0,FP,15.46
30337.sol,reentrancy,0,1,0.4.21,0,FP,0.27
30338.sol,reentrancy,0,1,0.4.21,0,FP,0.28
30460.sol,reentrancy,0,1,0.4.21,0,FP,0.27
31237.sol,reentrancy,0,1,0.4.21,0,FP,15.08
31238.sol,reentrancy,0,1,0.4.21,0,FP,15.06
31497.sol,reentrancy,0,1,0.4.21,0,FP,14.58
