filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
10.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
11.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
12.sol,0.4.21,COMPILE_ERROR,0.14,-1,-1,-1,0
13.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
14.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
15.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
16.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
17.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
18.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
19.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
2.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
20.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
21.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
22.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
23.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
24.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
25.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
26.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
27.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
28.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
29.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
3.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
30.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
31.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
32.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
33.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
34.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
35.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
36.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
37.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
38.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
39.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
4.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
40.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
41.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
42.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
43.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
44.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
45.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
46.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
47.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
48.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
49.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
5.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
50.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
6.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
7.sol,0.4.21,COMPILE_ERROR,0.15,-1,-1,-1,0
8.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
9.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_1.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_10.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_11.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_12.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_13.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_14.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
buggy_15.sol,0.4.21,COMPILE_ERROR,0.16,-1,-1,-1,0
