filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
1.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
10.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
11.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
12.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.14
13.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
14.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
15.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
16.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
17.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
18.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
19.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
2.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
20.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
21.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
22.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
23.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
24.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
25.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
26.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
27.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
28.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
29.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
3.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
30.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
31.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
32.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
33.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
34.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
35.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
36.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
37.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
38.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
39.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
4.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
40.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
41.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
42.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
43.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
44.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
45.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
46.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
47.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
48.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
49.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
5.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
50.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
6.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
7.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.15
8.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
9.sol,tod,0,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_1.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_10.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_11.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_12.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_13.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_14.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_15.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_16.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_17.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_18.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_19.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_2.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_20.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.17
buggy_21.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_22.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_23.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_24.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_25.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_26.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_27.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_28.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_29.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_3.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_30.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_31.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.17
buggy_32.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_33.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_34.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_35.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_36.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_37.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_38.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_39.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_4.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_40.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_41.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_42.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_43.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_44.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_45.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_46.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_47.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_48.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_49.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_5.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_50.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_6.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_7.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.16
buggy_8.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
buggy_9.sol,tod,1,0,0.4.21,0,COMPILE_ERROR,0.15
