
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[-Infinity,Infinity]]
ENTRY 1 IfStatement_0 [[-Infinity,Infinity]]
EXIT 1 IfStatement_0 [[1.0,-1.0]]
ENTRY 1 Throw_0 [[1.0,-1.0]]
EXIT 1 Throw_0 [[1.0,-1.0]]
ENTRY 1 IfConditionJoin_0 [[-Infinity,Infinity]]
EXIT 1 IfConditionJoin_0 [[-Infinity,Infinity]]
ENTRY 1 FunctionExit_0 [[-Infinity,Infinity]]
EXIT 1 FunctionExit_0 [[-Infinity,Infinity]]
ENTRY 2 SourceEntry_0 [[0.0,0.0]]
EXIT 2 SourceEntry_0 [[0.0,0.0]]
ENTRY 2 SourceUnit_0 [[0.0,0.0]]
EXIT 2 SourceUnit_0 [[0.0,0.0]]
ENTRY 2 PragmaDirective_0 [[0.0,0.0]]
EXIT 2 PragmaDirective_0 [[0.0,0.0]]
ENTRY 2 SourceExit_0 [[-Infinity,Infinity]]
EXIT 2 SourceExit_0 [[-Infinity,Infinity]]
ENTRY 2 ContractDefinition_0 [[0.0,0.0]]
EXIT 2 ContractDefinition_0 [[0.0,0.0]]
ENTRY 2 FunctionDefinition_0 [[0.0,0.0]]
EXIT 2 FunctionDefinition_0 [[0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[0.0,0.0]]
EXIT 2 FunctionEntry_0 [[0.0,0.0]]
ENTRY 2 VariableDeclarationStatement_0 [[0.0,0.0]]
EXIT 2 VariableDeclarationStatement_0 [[-Infinity,Infinity]]
ENTRY 2 IfStatement_0 [[-Infinity,Infinity]]
EXIT 2 IfStatement_0 [[1.0,-1.0]]
ENTRY 2 Throw_0 [[1.0,-1.0]]
EXIT 2 Throw_0 [[1.0,-1.0]]
ENTRY 2 IfConditionJoin_0 [[-Infinity,Infinity]]
EXIT 2 IfConditionJoin_0 [[-Infinity,Infinity]]
ENTRY 2 FunctionExit_0 [[-Infinity,Infinity]]
EXIT 2 FunctionExit_0 [[-Infinity,Infinity]]
ENTRY 3 SourceEntry_0 [[0.0,0.0]]
EXIT 3 SourceEntry_0 [[0.0,0.0]]
ENTRY 3 SourceUnit_0 [[0.0,0.0]]
EXIT 3 SourceUnit_0 [[0.0,0.0]]
ENTRY 3 PragmaDirective_0 [[0.0,0.0]]
EXIT 3 PragmaDirective_0 [[0.0,0.0]]
ENTRY 3 SourceExit_0 [[-Infinity,Infinity]]
EXIT 3 SourceExit_0 [[-Infinity,Infinity]]
ENTRY 3 ContractDefinition_0 [[0.0,0.0]]
EXIT 3 ContractDefinition_0 [[0.0,0.0]]
ENTRY 3 FunctionDefinition_0 [[0.0,0.0]]
EXIT 3 FunctionDefinition_0 [[0.0,0.0]]
ENTRY 3 FunctionEntry_0 [[0.0,0.0]]
EXIT 3 FunctionEntry_0 [[0.0,0.0]]
ENTRY 3 VariableDeclarationStatement_0 [[0.0,0.0]]
EXIT 3 VariableDeclarationStatement_0 [[-Infinity,Infinity]]
ENTRY 3 IfStatement_0 [[-Infinity,Infinity]]
EXIT 3 IfStatement_0 [[1.0,-1.0]]
ENTRY 3 Throw_0 [[1.0,-1.0]]
EXIT 3 Throw_0 [[1.0,-1.0]]
ENTRY 3 IfConditionJoin_0 [[-Infinity,Infinity]]
EXIT 3 IfConditionJoin_0 [[-Infinity,Infinity]]
ENTRY 3 FunctionExit_0 [[-Infinity,Infinity]]
EXIT 3 FunctionExit_0 [[-Infinity,Infinity]]
