filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_output_path
00_BasicConst_ree1.sol,1,0,0,0,11.3,OK,auto,results/ours/rsd/raw_output/00_BasicConst_ree1.txt
00_BasicConst_safe1.sol,0,0,0,0,1.3,OK,auto,results/ours/rsd/raw_output/00_BasicConst_safe1.txt
00_BasicCross_ree1.sol,1,0,0,1,11.3,OK,auto,results/ours/rsd/raw_output/00_BasicCross_ree1.txt
00_BasicEmit_ree1.sol,1,0,0,1,11.3,OK,auto,results/ours/rsd/raw_output/00_BasicEmit_ree1.txt
00_BasicEmit_safe1.sol,0,0,0,1,2.2,OK,auto,results/ours/rsd/raw_output/00_BasicEmit_safe1.txt
00_BasicError_ree1.sol,1,0,0,0,11.4,OK,auto,results/ours/rsd/raw_output/00_BasicError_ree1.txt
00_BasicError_safe1.sol,0,0,0,0,1.9,OK,auto,results/ours/rsd/raw_output/00_BasicError_safe1.txt
00_BasicFold_ree1.sol,1,0,0,0,1.7,OK,auto,results/ours/rsd/raw_output/00_BasicFold_ree1.txt
00_BasicFold_ree2.sol,1,0,0,0,1.8,OK,auto,results/ours/rsd/raw_output/00_BasicFold_ree2.txt
00_BasicFold_safe1.sol,1,0,0,0,2.0,OK,auto,results/ours/rsd/raw_output/00_BasicFold_safe1.txt
00_BasicFold_safe2.sol,1,0,0,0,1.9,OK,auto,results/ours/rsd/raw_output/00_BasicFold_safe2.txt
00_BasicInline_safe1.sol,0,0,0,0,1.2,OK,auto,results/ours/rsd/raw_output/00_BasicInline_safe1.txt
00_BasicNoCall_safe1.sol,0,0,0,0,1.2,OK,auto,results/ours/rsd/raw_output/00_BasicNoCall_safe1.txt
00_BasicNoChecks_ree1.sol,1,0,0,0,11.3,OK,auto,results/ours/rsd/raw_output/00_BasicNoChecks_ree1.txt
00_BasicNoChecks_safe1.sol,0,0,0,0,11.3,OK,auto,results/ours/rsd/raw_output/00_BasicNoChecks_safe1.txt
00_BasicStaticcall_safe1.sol,0,0,0,0,1.1,OK,auto,results/ours/rsd/raw_output/00_BasicStaticcall_safe1.txt
00_BasicUnchecked_ree1.sol,1,0,0,0,1.9,OK,auto,results/ours/rsd/raw_output/00_BasicUnchecked_ree1.txt
00_BasicUnchecked_safe1.sol,0,0,0,0,2.0,OK,auto,results/ours/rsd/raw_output/00_BasicUnchecked_safe1.txt
