
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_4 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_4 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_4 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_4 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_5 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_5 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_5 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_5 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 EventDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 EventDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 EventDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 EventDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_1 [[0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ModifierDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ModifierDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 1 FunctionExit_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 1 FunctionExit_6 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceUnit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 SourceUnit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 PragmaDirective_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 PragmaDirective_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 2 SourceExit_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 2 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 ContractDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_0 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_1 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_2 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionDefinition_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 2 FunctionEntry_3 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 2 FunctionDefinition_4 [[-Infinity,Infinity], [-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
