
===== REENTRANCY (Box domain, transformed source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_0 [[100.0,100.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_1 [[0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_3 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfStatement_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [10.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_0 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ModifierDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ModifierDefinition_0 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_1 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_4 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_4 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_5 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_5 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_6 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_6 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_2 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_2 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_7 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_7 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_8 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_8 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_9 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_9 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_10 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_10 [[100.0,100.0], [10.0,10.0], [0.0,0.0], [-Infinity,Infinity], [0.0,0.0], [40.0,40.0]]
ENTRY 1 FunctionDefinition_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [0.0,10.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionExit_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionExit_3 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionEntry_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionExit_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionExit_4 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 FunctionEntry_5 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
ENTRY 1 IfStatement_1 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
EXIT 1 IfStatement_1 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_6 [[0.0,0.0], [0.0,0.0], [10.0,10.0], [-Infinity,Infinity], [1.0,1.0], [0.0,0.0]]
