
===== OVERFLOW / UNDERFLOW (Box domain, original source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_3 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 1 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 1 ExpressionStatement_1 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 1 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
EXIT 1 FunctionExit_3 [[-Infinity,Infinity], [-Infinity,Infinity], [0.0,0.0]]
ENTRY 1 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_4 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_2 [[-Infinity,Infinity], [0.0,0.0], [0.0,0.0]]
