
===== REENTRANCY (Box domain, transformed source) =====
ENTRY 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceUnit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 PragmaDirective_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 SourceExit_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ContractDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_0 [[100.0,100.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_1 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_1 [[0.0,0.0], [10.0,10.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclaration_2 [[0.0,0.0], [0.0,0.0], [40.0,40.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfStatement_0 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_0 [[0.0,0.0], [0.0,0.0], [20.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [20.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 ExpressionStatement_1 [[0.0,0.0], [0.0,0.0], [20.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 IfConditionJoin_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 IfConditionJoin_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionExit_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionExit_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionDefinition_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 FunctionEntry_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,0.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_0 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,0.0]]
ENTRY 1 VariableDeclarationStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,0.0]]
EXIT 1 VariableDeclarationStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 IfStatement_1 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 IfStatement_1 [[1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0], [1.0,-1.0]]
ENTRY 1 ExpressionStatement_2 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_2 [[-20.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 ExpressionStatement_3 [[-20.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_3 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 ExpressionStatement_4 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_4 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 ExpressionStatement_5 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_5 [[0.0,0.0], [0.0,0.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 IfConditionJoin_1 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 IfConditionJoin_1 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
ENTRY 1 ExpressionStatement_6 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
EXIT 1 ExpressionStatement_6 [[-20.0,0.0], [0.0,20.0], [0.0,20.0], [0.0,20.0], [-Infinity,Infinity]]
