filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_output_path
1.sol,0,1,0,1,1.2,OK,auto,results/ours/solidifi/raw_output/1.txt
10.sol,-1,0,-1,0,1.0,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/10.txt
11.sol,0,0,0,1,2.1,OK,auto,results/ours/solidifi/raw_output/11.txt
12.sol,0,1,0,1,2.0,OK,auto,results/ours/solidifi/raw_output/12.txt
13.sol,0,1,0,1,2.1,OK,auto,results/ours/solidifi/raw_output/13.txt
14.sol,0,1,0,0,1.6,OK,auto,results/ours/solidifi/raw_output/14.txt
15.sol,0,1,0,1,2.1,OK,auto,results/ours/solidifi/raw_output/15.txt
16.sol,0,0,0,1,1.8,OK,auto,results/ours/solidifi/raw_output/16.txt
17.sol,-1,0,1,1,2.0,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/17.txt
18.sol,-1,0,-1,1,0.6,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/18.txt
19.sol,0,0,0,0,2.3,OK,auto,results/ours/solidifi/raw_output/19.txt
2.sol,0,1,0,1,1.5,OK,auto,results/ours/solidifi/raw_output/2.txt
20.sol,0,0,0,0,2.6,OK,auto,results/ours/solidifi/raw_output/20.txt
21.sol,-1,1,-1,0,25.5,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/21.txt
22.sol,-1,0,1,0,0.8,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/22.txt
23.sol,0,0,0,0,2.7,OK,auto,results/ours/solidifi/raw_output/23.txt
24.sol,-1,1,1,0,17.0,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/24.txt
25.sol,-1,1,-1,0,1.0,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/25.txt
26.sol,0,0,0,0,2.3,OK,auto,results/ours/solidifi/raw_output/26.txt
27.sol,0,1,0,1,9.2,OK,auto,results/ours/solidifi/raw_output/27.txt
28.sol,0,1,0,1,2.7,OK,auto,results/ours/solidifi/raw_output/28.txt
29.sol,-1,0,-1,0,0.8,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/29.txt
3.sol,0,1,0,1,1.8,OK,auto,results/ours/solidifi/raw_output/3.txt
30.sol,-1,1,-1,0,1.9,PARTIAL(some_skipped),auto,results/ours/solidifi/raw_output/30.txt
