dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
qian,18430,Box,1,0.19,0.0215,True,OK
qian,18430,Box,2,0.2,0.0166,True,OK
qian,18430,Box,3,0.21,0.0234,True,OK
qian,18430,Octagon,1,0.21,0.0,True,OK
qian,18430,Octagon,2,0.21,0.0,True,OK
qian,18430,Octagon,3,0.21,0.0,True,OK
qian,18430,Polka,1,0.2,0.0,True,OK
qian,18430,Polka,2,0.18,0.0,True,OK
qian,18430,Polka,3,0.2,0.0,True,OK
qian,18438,Box,1,0.57,0.0,False,OK
qian,18510,Box,1,10.95,10.163,True,OK
qian,18510,Box,2,10.95,10.1746,True,OK
qian,18510,Box,3,10.93,10.1658,True,OK
qian,18510,Octagon,1,11.39,10.5523,True,OK
qian,18510,Octagon,2,11.41,10.5529,True,OK
qian,18510,Octagon,3,11.35,10.5016,True,OK
qian,18510,Polka,1,11.11,10.3097,True,OK
qian,18510,Polka,2,11.15,10.3475,True,OK
qian,18510,Polka,3,11.13,10.3245,True,OK
qian,18771,Box,1,10.5,10.1434,True,OK
qian,18771,Box,2,10.51,10.1493,True,OK
qian,18771,Box,3,10.51,10.1528,True,OK
qian,18771,Octagon,1,10.69,10.3187,True,OK
qian,18771,Octagon,2,10.68,10.3012,True,OK
qian,18771,Octagon,3,10.71,10.3045,True,OK
qian,18771,Polka,1,10.59,10.2219,True,OK
qian,18771,Polka,2,10.63,10.243,True,OK
qian,18771,Polka,3,10.6,10.2169,True,OK
qian,19128,Box,1,0.18,0.0138,True,OK
qian,19128,Box,2,0.17,0.0134,True,OK
qian,19128,Box,3,0.19,0.0132,True,OK
qian,19128,Octagon,1,0.17,0.0125,True,OK
qian,19128,Octagon,2,0.18,0.024,True,OK
qian,19128,Octagon,3,0.18,0.0142,True,OK
qian,19128,Polka,1,0.17,0.0127,True,OK
qian,19128,Polka,2,0.17,0.0123,True,OK
qian,19128,Polka,3,0.17,0.0127,True,OK
qian,19129,Box,1,0.17,0.0139,True,OK
qian,19129,Box,2,0.17,0.0137,True,OK
qian,19129,Box,3,0.18,0.0104,True,OK
qian,19129,Octagon,1,0.18,0.0131,True,OK
qian,19129,Octagon,2,0.17,0.0146,True,OK
qian,19129,Octagon,3,0.2,0.0126,True,OK
qian,19129,Polka,1,0.17,0.0125,True,OK
qian,19129,Polka,2,0.19,0.0139,True,OK
qian,19129,Polka,3,0.16,0.0127,True,OK
qian,19925,Box,1,0.68,0.0,False,ERR
qian,21241,Box,1,0.77,0.0,False,OK
qian,21697,Box,1,1.19,0.833,True,OK
qian,21697,Box,2,1.17,0.8247,True,OK
qian,21697,Box,3,1.17,0.8242,True,OK
qian,21697,Octagon,1,1.18,0.0,True,OK
qian,21697,Octagon,2,1.19,0.0,True,OK
qian,21697,Octagon,3,1.18,0.0,True,OK
qian,21697,Polka,1,1.17,0.0,True,OK
qian,21697,Polka,2,1.19,0.0,True,OK
qian,21697,Polka,3,1.17,0.0,True,OK
qian,21886,Box,1,0.99,0.6253,True,OK
qian,21886,Box,2,0.99,0.635,True,OK
qian,21886,Box,3,1.0,0.6367,True,OK
qian,21886,Octagon,1,1.0,0.6405,True,OK
qian,21886,Octagon,2,0.99,0.6338,True,OK
qian,21886,Octagon,3,0.99,0.6309,True,OK
qian,21886,Polka,1,1.0,0.6383,True,OK
qian,21886,Polka,2,0.99,0.6311,True,OK
qian,21886,Polka,3,0.99,0.6372,True,OK
qian,22075,Box,1,1.81,0.8386,True,OK
qian,22075,Box,2,1.83,0.8459,True,OK
qian,22075,Box,3,1.8,0.8379,True,OK
qian,22075,Octagon,1,1.89,0.875,True,OK
qian,22075,Octagon,2,1.89,0.8645,True,OK
qian,22075,Octagon,3,1.9,0.8699,True,OK
qian,22075,Polka,1,1.82,0.8467,True,OK
qian,22075,Polka,2,1.82,0.8381,True,OK
qian,22075,Polka,3,1.82,0.847,True,OK
qian,22635,Box,1,0.88,0.0,False,ERR
qian,22636,Box,1,0.9,0.0,False,ERR
qian,23792,Box,1,1.59,0.8388,True,OK
qian,23792,Box,2,1.59,0.8377,True,OK
qian,23792,Box,3,1.59,0.8343,True,OK
qian,23792,Octagon,1,1.59,0.0,True,OK
qian,23792,Octagon,2,1.6,0.0,True,OK
qian,23792,Octagon,3,1.59,0.0,True,OK
qian,23792,Polka,1,1.58,0.0,True,OK
qian,23792,Polka,2,1.59,0.0,True,OK
qian,23792,Polka,3,1.6,0.0,True,OK
qian,23793,Box,1,1.59,0.8392,True,OK
qian,23793,Box,2,1.59,0.8301,True,OK
qian,23793,Box,3,1.6,0.8407,True,OK
qian,23793,Octagon,1,1.61,0.0,True,OK
qian,23793,Octagon,2,1.6,0.0,True,OK
qian,23793,Octagon,3,1.6,0.0,True,OK
qian,23793,Polka,1,1.59,0.0,True,OK
qian,23793,Polka,2,1.6,0.0,True,OK
qian,23793,Polka,3,1.61,0.0,True,OK
qian,24196,Box,1,10.52,10.1334,True,OK
qian,24196,Box,2,10.49,10.1329,True,OK
qian,24196,Box,3,10.49,10.1419,True,OK
qian,24196,Octagon,1,10.69,10.2946,True,OK
qian,24196,Octagon,2,10.66,10.2959,True,OK
qian,24196,Octagon,3,10.67,10.2837,True,OK
qian,24196,Polka,1,10.59,10.2278,True,OK
qian,24196,Polka,2,10.57,10.1928,True,OK
qian,24196,Polka,3,10.58,10.1954,True,OK
qian,24369,Box,1,0.35,0.0,False,OK
qian,24648,Box,1,10.91,10.1406,True,OK
qian,24648,Box,2,10.93,10.1381,True,OK
qian,24648,Box,3,10.89,10.1268,True,OK
qian,24648,Octagon,1,11.05,10.2769,True,OK
qian,24648,Octagon,2,11.09,10.275,True,OK
qian,24648,Octagon,3,11.09,10.3057,True,OK
qian,24648,Polka,1,11.03,10.2161,True,OK
qian,24648,Polka,2,11.01,10.194,True,OK
qian,24648,Polka,3,11.02,10.1847,True,OK
qian,24649,Box,1,10.97,10.1678,True,OK
qian,24649,Box,2,10.93,10.159,True,OK
qian,24649,Box,3,10.92,10.1554,True,OK
qian,24649,Octagon,1,11.21,10.3647,True,OK
qian,24649,Octagon,2,11.23,10.3757,True,OK
qian,24649,Octagon,3,11.23,10.3911,True,OK
qian,24649,Polka,1,11.07,10.2643,True,OK
qian,24649,Polka,2,11.11,10.282,True,OK
qian,24649,Polka,3,11.12,10.333,True,OK
qian,25808,Box,1,1.8,0.8318,True,OK
qian,25808,Box,2,1.8,0.8423,True,OK
qian,25808,Box,3,1.81,0.841,True,OK
qian,25808,Octagon,1,1.82,0.853,True,OK
qian,25808,Octagon,2,1.84,0.856,True,OK
qian,25808,Octagon,3,1.84,0.8552,True,OK
qian,25808,Polka,1,1.82,0.8414,True,OK
qian,25808,Polka,2,1.81,0.8462,True,OK
qian,25808,Polka,3,1.83,0.8494,True,OK
qian,26188,Box,1,1.61,0.8222,True,OK
qian,26188,Box,2,1.6,0.8334,True,OK
qian,26188,Box,3,1.61,0.8233,True,OK
qian,26188,Octagon,1,1.58,0.0,True,OK
qian,26188,Octagon,2,1.59,0.0,True,OK
qian,26188,Octagon,3,1.59,0.0,True,OK
qian,26188,Polka,1,1.59,0.0,True,OK
qian,26188,Polka,2,1.6,0.0,True,OK
qian,26188,Polka,3,1.63,0.0,True,OK
