dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
rsd,00_BasicConst_safe1,Box,1,0.84,0.0,False,OK
rsd,00_BasicEmit_safe1,Box,1,2.27,1.4363000000000001,True,OK
rsd,00_BasicEmit_safe1,Box,2,2.26,1.4452,True,OK
rsd,00_BasicEmit_safe1,Box,3,2.27,1.4407,True,OK
rsd,00_BasicEmit_safe1,Octagon,1,2.35,1.49,True,OK
rsd,00_BasicEmit_safe1,Octagon,2,2.35,1.5021,True,OK
rsd,00_BasicEmit_safe1,Octagon,3,2.32,1.4968,True,OK
rsd,00_BasicEmit_safe1,Polka,1,2.28,1.455,True,OK
rsd,00_BasicEmit_safe1,Polka,2,2.27,1.4553,True,OK
rsd,00_BasicEmit_safe1,Polka,3,2.27,1.45,True,OK
rsd,00_BasicError_safe1,Box,1,1.44,0.6396,True,OK
rsd,00_BasicError_safe1,Box,2,1.43,0.628,True,OK
rsd,00_BasicError_safe1,Box,3,1.44,0.6358,True,OK
rsd,00_BasicError_safe1,Octagon,1,1.45,0.6528,True,OK
rsd,00_BasicError_safe1,Octagon,2,1.44,0.6545,True,OK
rsd,00_BasicError_safe1,Octagon,3,1.43,0.6556,True,OK
rsd,00_BasicError_safe1,Polka,1,1.43,0.6429,True,OK
rsd,00_BasicError_safe1,Polka,2,1.45,0.6355,True,OK
rsd,00_BasicError_safe1,Polka,3,1.44,0.6455,True,OK
rsd,00_BasicFold_safe1,Box,1,1.45,0.6288,True,OK
rsd,00_BasicFold_safe1,Box,2,1.43,0.634,True,OK
rsd,00_BasicFold_safe1,Box,3,1.45,0.6428,True,OK
rsd,00_BasicFold_safe1,Octagon,1,1.46,0.6551,True,OK
rsd,00_BasicFold_safe1,Octagon,2,1.46,0.6455,True,OK
rsd,00_BasicFold_safe1,Octagon,3,1.46,0.6522,True,OK
rsd,00_BasicFold_safe1,Polka,1,1.44,0.6317,True,OK
rsd,00_BasicFold_safe1,Polka,2,1.46,0.6483,True,OK
rsd,00_BasicFold_safe1,Polka,3,1.45,0.6428,True,OK
rsd,00_BasicFold_safe2,Box,1,1.43,0.6414,True,OK
rsd,00_BasicFold_safe2,Box,2,1.44,0.6411,True,OK
rsd,00_BasicFold_safe2,Box,3,1.43,0.6365,True,OK
rsd,00_BasicFold_safe2,Octagon,1,1.45,0.6496,True,OK
rsd,00_BasicFold_safe2,Octagon,2,1.49,0.6723,True,OK
rsd,00_BasicFold_safe2,Octagon,3,1.46,0.6557,True,OK
rsd,00_BasicFold_safe2,Polka,1,1.46,0.6479,True,OK
rsd,00_BasicFold_safe2,Polka,2,1.46,0.655,True,OK
rsd,00_BasicFold_safe2,Polka,3,1.44,0.6448,True,OK
rsd,00_BasicInline_safe1,Box,1,0.8,0.0,False,OK
rsd,00_BasicNoCall_safe1,Box,1,0.82,0.0,False,OK
rsd,00_BasicNoChecks_safe1,Box,1,10.95,10.1494,True,OK
rsd,00_BasicNoChecks_safe1,Box,2,10.95,10.1606,True,OK
rsd,00_BasicNoChecks_safe1,Box,3,10.94,10.1449,True,OK
rsd,00_BasicNoChecks_safe1,Octagon,1,11.46,10.6225,True,OK
rsd,00_BasicNoChecks_safe1,Octagon,2,11.44,10.6284,True,OK
