dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
sbc,FibonacciBalance,Box,1,1.49,0.6154,True,OK
sbc,FibonacciBalance,Box,2,1.51,0.6135,True,OK
sbc,FibonacciBalance,Box,3,1.49,0.6163,True,OK
sbc,FibonacciBalance,Octagon,1,1.53,0.6357,True,OK
sbc,FibonacciBalance,Octagon,2,1.5,0.6343,True,OK
sbc,FibonacciBalance,Octagon,3,1.52,0.6317,True,OK
sbc,FibonacciBalance,Polka,1,1.52,0.6263,True,OK
sbc,FibonacciBalance,Polka,2,1.57,0.6634,True,OK
sbc,FibonacciBalance,Polka,3,1.53,0.6272,True,OK
sbc,arbitrary_location_write_simple,Box,1,0.82,0.0,False,OK
sbc,incorrect_constructor_name1,Box,1,0.81,0.0,False,OK
sbc,incorrect_constructor_name2,Box,1,0.79,0.0,False,OK
sbc,incorrect_constructor_name3,Box,1,0.78,0.0,False,OK
sbc,mapping_write,Box,1,0.79,0.0,False,OK
sbc,multiowned_vulnerable,Box,1,0.69,0.0,False,ERR
sbc,mycontract,Box,1,0.77,0.0,False,OK
sbc,parity_wallet_bug_1,Box,1,0.08,0.0,False,ERR
sbc,parity_wallet_bug_2,Box,1,0.13,0.0,False,ERR
sbc,phishable,Box,1,0.77,0.0,False,OK
sbc,proxy,Box,1,0.76,0.0,False,OK
sbc,rubixi,Box,1,1.02,0.0,False,ERR
sbc,simple_suicide,Box,1,0.34,0.0,False,OK
sbc,unprotected0,Box,1,0.77,0.0,False,OK
sbc,wallet_02_refund_nosub,Box,1,1.46,0.6086,True,OK
sbc,wallet_02_refund_nosub,Box,2,1.46,0.6102,True,OK
sbc,wallet_02_refund_nosub,Box,3,1.45,0.6094,True,OK
sbc,wallet_02_refund_nosub,Octagon,1,1.47,0.629,True,OK
sbc,wallet_02_refund_nosub,Octagon,2,1.46,0.6323,True,OK
sbc,wallet_02_refund_nosub,Octagon,3,1.46,0.6285,True,OK
sbc,wallet_02_refund_nosub,Polka,1,1.46,0.6177,True,OK
sbc,wallet_02_refund_nosub,Polka,2,1.46,0.619,True,OK
sbc,wallet_02_refund_nosub,Polka,3,1.46,0.6189,True,OK
sbc,wallet_03_wrong_constructor,Box,1,1.45,0.6106,True,OK
sbc,wallet_03_wrong_constructor,Box,2,1.46,0.6095,True,OK
sbc,wallet_03_wrong_constructor,Box,3,1.43,0.6177,True,OK
sbc,wallet_03_wrong_constructor,Octagon,1,1.46,0.6226,True,OK
sbc,wallet_03_wrong_constructor,Octagon,2,1.46,0.6321,True,OK
sbc,wallet_03_wrong_constructor,Octagon,3,1.45,0.6259,True,OK
sbc,wallet_03_wrong_constructor,Polka,1,1.46,0.619,True,OK
sbc,wallet_03_wrong_constructor,Polka,2,1.44,0.6156,True,OK
sbc,wallet_03_wrong_constructor,Polka,3,1.45,0.6186,True,OK
sbc,wallet_04_confused_sign,Box,1,1.45,0.6114,True,OK
sbc,wallet_04_confused_sign,Box,2,1.45,0.6176,True,OK
sbc,wallet_04_confused_sign,Box,3,1.44,0.6113,True,OK
sbc,wallet_04_confused_sign,Octagon,1,1.45,0.6268,True,OK
sbc,wallet_04_confused_sign,Octagon,2,1.46,0.6268,True,OK
sbc,wallet_04_confused_sign,Octagon,3,1.47,0.6232,True,OK
sbc,wallet_04_confused_sign,Polka,1,1.45,0.6225,True,OK
sbc,wallet_04_confused_sign,Polka,2,1.45,0.6189,True,OK
sbc,wallet_04_confused_sign,Polka,3,1.44,0.6275,True,OK
sbc,BECToken,Box,1,0.79,0.0297,True,OK
sbc,BECToken,Box,2,0.78,0.0183,True,OK
sbc,BECToken,Box,3,0.76,0.019,True,OK
sbc,BECToken,Octagon,1,0.99,0.2376,True,OK
sbc,BECToken,Octagon,2,0.99,0.2287,True,OK
sbc,BECToken,Octagon,3,1.0,0.2379,True,OK
sbc,BECToken,Polka,1,0.9,0.1283,True,OK
sbc,BECToken,Polka,2,0.92,0.1182,True,OK
sbc,BECToken,Polka,3,0.89,0.1317,True,OK
sbc,insecure_transfer,Box,1,0.78,0.0,False,OK
sbc,integer_overflow_1,Box,1,0.78,0.0,False,OK
sbc,integer_overflow_add,Box,1,0.76,0.0,False,OK
sbc,integer_overflow_benign_1,Box,1,0.97,0.0,False,OK
sbc,integer_overflow_mapping_sym_1,Box,1,0.77,0.0,False,OK
sbc,integer_overflow_minimal,Box,1,0.77,0.0,False,OK
sbc,integer_overflow_mul,Box,1,0.76,0.0,False,OK
sbc,integer_overflow_multitx_multifunc_feasible,Box,1,0.78,0.0,False,OK
sbc,integer_overflow_multitx_onefunc_feasible,Box,1,0.77,0.0,False,OK
sbc,overflow_simple_add,Box,1,0.76,0.0,False,OK
sbc,overflow_single_tx,Box,1,0.8,0.0,False,OK
sbc,timelock,Box,1,1.43,0.6116,True,OK
sbc,timelock,Box,2,1.44,0.6104,True,OK
sbc,timelock,Box,3,1.45,0.6179,True,OK
sbc,timelock,Octagon,1,1.56,0.6906,True,OK
sbc,timelock,Octagon,2,1.53,0.7007,True,OK
sbc,timelock,Octagon,3,1.48,0.6436,True,OK
sbc,timelock,Polka,1,1.46,0.6234,True,OK
sbc,timelock,Polka,2,1.46,0.6328,True,OK
sbc,timelock,Polka,3,1.46,0.623,True,OK
sbc,token,Box,1,0.79,0.0,False,OK
sbc,tokensalechallenge,Box,1,1.01,0.0,False,OK
sbc,blackjack,Box,1,1.55,0.0,False,ERR
sbc,etheraffle,Box,1,0.11,0.0,False,ERR
sbc,guess_the_random_number,Box,1,1.43,0.6075,True,OK
sbc,guess_the_random_number,Box,2,1.41,0.6064,True,OK
sbc,guess_the_random_number,Box,3,1.43,0.607,True,OK
sbc,guess_the_random_number,Octagon,1,1.43,0.6082,True,OK
sbc,guess_the_random_number,Octagon,2,1.42,0.6072,True,OK
sbc,guess_the_random_number,Octagon,3,1.43,0.6078,True,OK
sbc,guess_the_random_number,Polka,1,1.43,0.609,True,OK
sbc,guess_the_random_number,Polka,2,1.43,0.6231,True,OK
sbc,guess_the_random_number,Polka,3,1.43,0.6102,True,OK
sbc,lottery,Box,1,0.84,0.0,False,OK
sbc,lucky_doubler,Box,1,0.81,0.0,False,ERR
sbc,old_blockhash,Box,1,0.69,0.0,False,ERR
sbc,random_number_generator,Box,1,1.82,0.8089,True,OK
sbc,random_number_generator,Box,2,1.8,0.8081,True,OK
sbc,random_number_generator,Box,3,1.8,0.8089,True,OK
sbc,random_number_generator,Octagon,1,1.83,0.8235,True,OK
sbc,random_number_generator,Octagon,2,1.85,0.8192,True,OK
sbc,random_number_generator,Octagon,3,1.82,0.8183,True,OK
sbc,random_number_generator,Polka,1,1.83,0.817,True,OK
sbc,random_number_generator,Polka,2,1.83,0.8196,True,OK
sbc,random_number_generator,Polka,3,1.82,0.818,True,OK
sbc,smart_billions,Box,1,0.24,0.0,False,ERR
sbc,auction,Box,1,0.79,0.0,False,OK
sbc,dos_address,Box,1,1.01,0.0,False,OK
sbc,dos_number,Box,1,1.87,0.8163,True,OK
sbc,dos_number,Box,2,1.88,0.8137,True,OK
sbc,dos_number,Box,3,1.85,0.8156,True,OK
sbc,dos_number,Octagon,1,2.01,0.9149,True,OK
sbc,dos_number,Octagon,2,1.97,0.9229,True,OK
sbc,dos_number,Octagon,3,1.99,0.9072,True,OK
sbc,dos_number,Polka,1,1.93,0.8471,True,OK
sbc,dos_number,Polka,2,1.92,0.8271,True,OK
sbc,dos_number,Polka,3,1.9,0.8356,True,OK
sbc,dos_simple,Box,1,0.99,0.0,False,OK
sbc,list_dos,Box,1,4.03,2.1523000000000003,True,OK
sbc,list_dos,Box,2,4.09,2.1734999999999998,True,OK
sbc,list_dos,Box,3,3.99,2.1432,True,OK
sbc,list_dos,Octagon,1,7.03,5.039,True,OK
sbc,list_dos,Octagon,2,7.02,5.1686,True,OK
sbc,list_dos,Octagon,3,7.21,5.2672,True,OK
sbc,list_dos,Polka,1,4.81,2.9032999999999998,True,OK
sbc,list_dos,Polka,2,4.83,2.9516,True,OK
sbc,list_dos,Polka,3,4.93,3.0479000000000003,True,OK
sbc,send_loop,Box,1,1.0,0.0,False,OK
sbc,ERC20,Box,1,0.94,0.0,False,OK
sbc,FindThisHash,Box,1,1.4,0.6037,True,OK
sbc,FindThisHash,Box,2,1.39,0.6047,True,OK
sbc,FindThisHash,Box,3,1.42,0.6047,True,OK
sbc,FindThisHash,Octagon,1,1.4,0.6064,True,OK
sbc,FindThisHash,Octagon,2,1.4,0.6054,True,OK
sbc,FindThisHash,Octagon,3,1.4,0.6082,True,OK
sbc,FindThisHash,Polka,1,1.39,0.6063,True,OK
sbc,FindThisHash,Polka,2,1.41,0.6107,True,OK
sbc,FindThisHash,Polka,3,1.4,0.6071,True,OK
sbc,eth_tx_order_dependence_minimal,Box,1,1.44,0.6133,True,OK
sbc,eth_tx_order_dependence_minimal,Box,2,1.44,0.6241,True,OK
sbc,eth_tx_order_dependence_minimal,Box,3,1.44,0.6097,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,1,1.47,0.6169,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,2,1.46,0.6172,True,OK
sbc,eth_tx_order_dependence_minimal,Octagon,3,1.45,0.6151,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,1,1.46,0.6288,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,2,1.45,0.6163,True,OK
sbc,eth_tx_order_dependence_minimal,Polka,3,1.47,0.6153,True,OK
sbc,odds_and_evens,Box,1,0.09,0.0,False,ERR
sbc,crypto_roulette,Box,1,1.53,0.6157,True,OK
sbc,crypto_roulette,Box,2,1.53,0.6331,True,OK
sbc,crypto_roulette,Box,3,1.52,0.6154,True,OK
