dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
solidifi,1,Box,1,0.38,0.005,True,OK
solidifi,1,Box,2,0.32,0.0165,True,OK
solidifi,1,Box,3,0.31,0.0052,True,OK
solidifi,1,Octagon,1,0.33,0.005,True,OK
solidifi,1,Octagon,2,0.33,0.0167,True,OK
solidifi,1,Octagon,3,0.32,0.0056,True,OK
solidifi,1,Polka,1,0.36,0.0112,True,OK
solidifi,1,Polka,2,0.36,0.0124,True,OK
solidifi,1,Polka,3,0.35,0.0209,True,OK
solidifi,10,Box,1,1.17,0.0,False,ERR
solidifi,11,Box,1,1.75,0.6574,True,OK
solidifi,11,Box,2,1.75,0.6489,True,OK
solidifi,11,Box,3,1.74,0.6583,True,OK
solidifi,11,Octagon,1,4.62,3.5342,True,OK
solidifi,11,Octagon,2,4.33,3.23,True,OK
solidifi,11,Octagon,3,4.59,3.5068,True,OK
solidifi,11,Polka,1,2.05,0.9615,True,OK
solidifi,11,Polka,2,2.09,1.002,True,OK
solidifi,11,Polka,3,2.04,0.9623,True,OK
solidifi,12,Box,1,0.73,0.016,True,OK
solidifi,12,Box,2,0.72,0.0151,True,OK
solidifi,12,Box,3,0.73,0.015,True,OK
solidifi,12,Octagon,1,0.86,0.1406,True,OK
solidifi,12,Octagon,2,0.86,0.1407,True,OK
solidifi,12,Octagon,3,0.87,0.1482,True,OK
solidifi,12,Polka,1,0.78,0.0494,True,OK
solidifi,12,Polka,2,0.76,0.0422,True,OK
solidifi,12,Polka,3,0.78,0.0698,True,OK
solidifi,13,Box,1,1.17,0.0,False,OK
solidifi,14,Box,1,0.45,0.0,False,OK
solidifi,15,Box,1,1.17,0.0,False,OK
solidifi,16,Box,1,0.63,0.0,False,OK
solidifi,17,Box,1,1.07,0.0,False,ERR
solidifi,18,Box,1,0.07,0.0,False,ERR
solidifi,19,Box,1,1.11,0.0,False,OK
solidifi,2,Box,1,0.43,0.0063,True,OK
solidifi,2,Box,2,0.42,0.0066,True,OK
solidifi,2,Box,3,0.43,0.0068,True,OK
solidifi,2,Octagon,1,0.46,0.0145,True,OK
solidifi,2,Octagon,2,0.44,0.0169,True,OK
solidifi,2,Octagon,3,0.45,0.0177,True,OK
solidifi,2,Polka,1,0.46,0.0176,True,OK
solidifi,2,Polka,2,0.45,0.0189,True,OK
solidifi,2,Polka,3,0.45,0.0185,True,OK
solidifi,20,Box,1,1.36,0.0,False,OK
solidifi,21,Box,1,13.81,0.0,False,ERR
solidifi,22,Box,1,0.06,0.0,False,ERR
solidifi,23,Box,1,1.19,0.0,False,OK
solidifi,24,Box,1,7.37,0.0,False,ERR
solidifi,25,Box,1,0.16,0.0,False,ERR
solidifi,26,Box,1,1.05,0.0,False,OK
solidifi,27,Box,1,2.35,0.0,False,OK
solidifi,28,Box,1,0.68,0.0,False,OK
solidifi,29,Box,1,0.07,0.0,False,ERR
solidifi,3,Box,1,0.44,0.0066,True,OK
solidifi,3,Box,2,0.43,0.0074,True,OK
solidifi,3,Box,3,0.43,0.0068,True,OK
solidifi,3,Octagon,1,0.46,0.0152,True,OK
solidifi,3,Octagon,2,0.45,0.0167,True,OK
solidifi,3,Octagon,3,0.47,0.021,True,OK
solidifi,3,Polka,1,0.45,0.0174,True,OK
solidifi,3,Polka,2,0.46,0.0169,True,OK
solidifi,3,Polka,3,0.47,0.0184,True,OK
solidifi,30,Box,1,0.29,0.0,False,ERR
solidifi,31,Box,1,0.06,0.0,False,ERR
solidifi,32,Box,1,1.15,0.0,False,OK
solidifi,33,Box,1,0.06,0.0,False,ERR
solidifi,34,Box,1,0.06,0.0,False,ERR
solidifi,35,Box,1,0.08,0.0,False,ERR
solidifi,37,Box,1,1.05,0.0,False,OK
solidifi,38,Box,1,1.64,0.0,False,OK
solidifi,39,Box,1,0.23,0.0,False,OK
solidifi,4,Box,1,3.18,1.7093,True,OK
solidifi,4,Box,2,3.22,1.7313,True,OK
solidifi,4,Box,3,3.18,1.7045,True,OK
solidifi,4,Octagon,1,5.9,4.2977,True,OK
solidifi,4,Octagon,2,5.89,4.2436,True,OK
solidifi,4,Octagon,3,6.02,4.4771,True,OK
solidifi,4,Polka,1,3.82,2.3083,True,OK
solidifi,4,Polka,2,3.8,2.2659000000000002,True,OK
solidifi,4,Polka,3,3.75,2.2038,True,OK
solidifi,40,Box,1,1.13,0.0,False,OK
solidifi,41,Box,1,1.19,0.0,False,OK
solidifi,42,Box,1,0.99,0.0,False,ERR
solidifi,43,Box,1,1.43,0.0,False,OK
solidifi,44,Box,1,1.46,0.0,False,OK
solidifi,45,Box,1,0.98,0.0,False,ERR
solidifi,46,Box,1,0.94,0.0,False,ERR
solidifi,47,Box,1,0.91,0.0595,True,OK
solidifi,47,Box,2,0.89,0.0329,True,OK
solidifi,47,Box,3,0.91,0.0346,True,OK
solidifi,47,Octagon,1,1.11,0.2589,True,OK
solidifi,47,Octagon,2,1.2,0.3211,True,OK
solidifi,47,Octagon,3,1.17,0.3102,True,OK
solidifi,47,Polka,1,1.1,0.2037,True,OK
solidifi,47,Polka,2,1.09,0.22,True,OK
solidifi,47,Polka,3,1.06,0.2043,True,OK
solidifi,48,Box,1,0.53,0.0199,True,OK
solidifi,48,Box,2,0.54,0.0138,True,OK
solidifi,48,Box,3,0.55,0.0133,True,OK
solidifi,48,Octagon,1,0.65,0.1362,True,OK
solidifi,48,Octagon,2,0.62,0.1331,True,OK
solidifi,48,Octagon,3,0.63,0.1251,True,OK
solidifi,48,Polka,1,0.57,0.0541,True,OK
solidifi,48,Polka,2,0.57,0.0611,True,OK
solidifi,48,Polka,3,0.57,0.0602,True,OK
solidifi,49,Box,1,0.23,0.0,False,OK
solidifi,5,Box,1,1.38,0.0,False,OK
solidifi,50,Box,1,0.11,0.0,False,ERR
solidifi,6,Box,1,0.73,0.0,False,ERR
solidifi,7,Box,1,0.75,0.0,False,ERR
solidifi,8,Box,1,1.4,0.0,False,OK
solidifi,9,Box,1,1.37,0.0,False,OK
solidifi,buggy_1,Box,1,0.24,0.0,False,ERR
solidifi,buggy_10,Box,1,1.0,0.0,False,ERR
solidifi,buggy_11,Box,1,1.73,0.0,False,ERR
solidifi,buggy_12,Box,1,0.56,0.0,False,ERR
solidifi,buggy_13,Box,1,4.4,1.3101,True,OK
solidifi,buggy_13,Box,2,4.37,1.3256,True,OK
solidifi,buggy_13,Box,3,4.32,1.2623,True,OK
solidifi,buggy_13,Octagon,1,79.9,76.8592,True,OK
solidifi,buggy_13,Octagon,2,78.89,75.7032,True,OK
solidifi,buggy_13,Octagon,3,81.12,77.9884,True,OK
solidifi,buggy_13,Polka,1,15.83,12.6947,True,OK
solidifi,buggy_13,Polka,2,14.62,11.447,True,OK
solidifi,buggy_13,Polka,3,15.32,12.1484,True,OK
solidifi,buggy_14,Box,1,0.41,0.0,False,ERR
solidifi,buggy_15,Box,1,4.46,1.3037,True,OK
solidifi,buggy_15,Box,2,4.47,1.3429,True,OK
solidifi,buggy_15,Box,3,4.36,1.2711,True,OK
solidifi,buggy_15,Octagon,1,75.39,72.2772,True,OK
