dataset,relpath,pragma,want_version,solc_used,fallback,exit_code,coverage_pct,reentrancy,timestamp,tod,int_overflow,int_underflow,callstack,global_timeout_hit,duration_s
rsd,"rsd/reentrancy/safe/00_BasicError_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,69.6,True,False,False,True,True,False,no,1.19
rsd,"rsd/reentrancy/safe/00_BasicInline_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,64.8,False,False,False,True,True,False,no,38.77
rsd,"rsd/reentrancy/safe/00_Basic_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,82.3,True,False,False,True,True,False,no,1.35
rsd,"rsd/reentrancy/safe/01_SingleMutex_safe2.sol",^0.8.20,0.8.20,0.8.20,floor,1,83.5,True,False,False,True,True,True,no,102.17
rsd,"rsd/reentrancy/safe/02_CrossMutexUnchecked_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,84.7,True,False,False,True,True,True,no,178.54
rsd,"rsd/reentrancy/safe/03_SingleModFoldUnderflow_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,81.2,True,False,False,True,True,True,no,119.13
rsd,"rsd/reentrancy/safe/03_SingleModUnderflow_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,72.0,True,False,False,True,True,True,no,84.32
rsd,"rsd/reentrancy/safe/04_CrossMod_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,74.8,True,False,False,True,True,True,no,131.98
rsd,"rsd/reentrancy/safe/05_SendEmit_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,80.9,False,False,False,True,True,True,no,1.38
rsd,"rsd/reentrancy/safe/05_Send_safe2.sol",^0.8.20,0.8.20,0.8.20,floor,1,89.9,False,False,False,True,True,True,no,1.21
rsd,"rsd/reentrancy/safe/06_Transfer_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,89.2,False,False,False,True,True,False,no,1.22
rsd,"rsd/reentrancy/safe/06_TransferUnchecked_safe2.sol",^0.8.20,0.8.20,0.8.20,floor,0,89.2,False,False,False,True,True,False,no,1.19
rsd,"rsd/reentrancy/safe/07_MixedSend_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,75.7,False,False,True,True,True,True,no,1.46
rsd,"rsd/reentrancy/safe/09_ERC20InheritMod_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,62.4,False,False,False,True,True,False,no,282.65
rsd,"rsd/reentrancy/safe/09_ERC20OnlyOnce_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,33.8,False,False,False,False,False,False,no,41.83
rsd,"rsd/reentrancy/safe/09_ERC20_safe2.sol",^0.8.20,0.8.20,0.8.20,floor,0,5.5,False,False,False,True,False,False,no,93.87
rsd,"rsd/reentrancy/safe/09_ERC20StakingPullMod_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,75.7,False,False,False,True,True,False,no,25.09
rsd,"rsd/reentrancy/safe/09_ERC20Staking_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,0,89.6,False,False,False,True,True,False,no,7.17
rsd,"rsd/reentrancy/safe/10_OnlyOnce_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,74.1,False,False,False,True,True,True,no,78.71
rsd,"rsd/reentrancy/safe/11_Proxy_safe2.sol",^0.8.20,0.8.20,0.8.20,floor,1,77.7,True,False,True,True,True,False,no,2.45
rsd,"rsd/reentrancy/safe/13_Loop_safe1.sol",^0.8.20,0.8.20,0.8.20,floor,1,62.9,False,False,True,True,True,True,no,306.90
rsd,"rsd/reentrancy/vulnerable/00_BasicEmit_ree1.sol",^0.8.20,0.8.20,0.8.20,floor,1,83.1,True,False,False,True,True,True,no,1.62
rsd,"rsd/reentrancy/vulnerable/00_BasicFold_ree2.sol",^0.8.20,0.8.20,0.8.20,floor,1,82.6,True,False,False,True,True,True,no,1.40
rsd,"rsd/reentrancy/vulnerable/00_Basic_ree1.sol",^0.8.20,0.8.20,0.8.20,floor,1,82.3,True,False,False,True,True,True,no,1.46
rsd,"rsd/reentrancy/vulnerable/01_SingleMutex_ree1.sol",^0.8.20,0.8.20,0.8.20,floor,1,80.6,True,False,False,True,True,True,no,21.57
rsd,"rsd/reentrancy/vulnerable/02_CrossMutex_ree2.sol",^0.8.20,0.8.20,0.8.20,floor,1,78.2,True,False,False,True,True,True,no,74.17
