filename,relpath,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_json_path
00_BasicError_safe1.sol,rsd/reentrancy/safe/00_BasicError_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicError_safe1.txt
00_BasicInline_safe1.sol,rsd/reentrancy/safe/00_BasicInline_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicInline_safe1.txt
00_Basic_safe1.sol,rsd/reentrancy/safe/00_Basic_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_Basic_safe1.txt
01_SingleMutex_safe2.sol,rsd/reentrancy/safe/01_SingleMutex_safe2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/01_SingleMutex_safe2.txt
02_CrossMutexUnchecked_safe1.sol,rsd/reentrancy/safe/02_CrossMutexUnchecked_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/02_CrossMutexUnchecked_safe1.txt
03_SingleModFoldUnderflow_safe1.sol,rsd/reentrancy/safe/03_SingleModFoldUnderflow_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/03_SingleModFoldUnderflow_safe1.txt
03_SingleModUnderflow_safe1.sol,rsd/reentrancy/safe/03_SingleModUnderflow_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/03_SingleModUnderflow_safe1.txt
04_CrossMod_safe1.sol,rsd/reentrancy/safe/04_CrossMod_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/04_CrossMod_safe1.txt
05_SendEmit_safe1.sol,rsd/reentrancy/safe/05_SendEmit_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/05_SendEmit_safe1.txt
05_Send_safe2.sol,rsd/reentrancy/safe/05_Send_safe2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/05_Send_safe2.txt
06_Transfer_safe1.sol,rsd/reentrancy/safe/06_Transfer_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/06_Transfer_safe1.txt
06_TransferUnchecked_safe2.sol,rsd/reentrancy/safe/06_TransferUnchecked_safe2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/06_TransferUnchecked_safe2.txt
07_MixedSend_safe1.sol,rsd/reentrancy/safe/07_MixedSend_safe1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/07_MixedSend_safe1.txt
09_ERC20InheritMod_safe1.sol,rsd/reentrancy/safe/09_ERC20InheritMod_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/09_ERC20InheritMod_safe1.txt
09_ERC20OnlyOnce_safe1.sol,rsd/reentrancy/safe/09_ERC20OnlyOnce_safe1.sol,0,0,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/09_ERC20OnlyOnce_safe1.txt
09_ERC20_safe2.sol,rsd/reentrancy/safe/09_ERC20_safe2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/09_ERC20_safe2.txt
09_ERC20StakingPullMod_safe1.sol,rsd/reentrancy/safe/09_ERC20StakingPullMod_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/09_ERC20StakingPullMod_safe1.txt
09_ERC20Staking_safe1.sol,rsd/reentrancy/safe/09_ERC20Staking_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/09_ERC20Staking_safe1.txt
10_OnlyOnce_safe1.sol,rsd/reentrancy/safe/10_OnlyOnce_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/10_OnlyOnce_safe1.txt
11_Proxy_safe2.sol,rsd/reentrancy/safe/11_Proxy_safe2.sol,1,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/11_Proxy_safe2.txt
13_Loop_safe1.sol,rsd/reentrancy/safe/13_Loop_safe1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/13_Loop_safe1.txt
00_BasicEmit_ree1.sol,rsd/reentrancy/vulnerable/00_BasicEmit_ree1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/00_BasicEmit_ree1.txt
00_BasicFold_ree2.sol,rsd/reentrancy/vulnerable/00_BasicFold_ree2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/00_BasicFold_ree2.txt
00_Basic_ree1.sol,rsd/reentrancy/vulnerable/00_Basic_ree1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/00_Basic_ree1.txt
01_SingleMutex_ree1.sol,rsd/reentrancy/vulnerable/01_SingleMutex_ree1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/01_SingleMutex_ree1.txt
02_CrossMutex_ree2.sol,rsd/reentrancy/vulnerable/02_CrossMutex_ree2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/02_CrossMutex_ree2.txt
03_SingleModFold_ree1.sol,rsd/reentrancy/vulnerable/03_SingleModFold_ree1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/03_SingleModFold_ree1.txt
03_SingleModFoldUnderflow_ree1.sol,rsd/reentrancy/vulnerable/03_SingleModFoldUnderflow_ree1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/03_SingleModFoldUnderflow_ree1.txt
03_SingleMod_ree3.sol,rsd/reentrancy/vulnerable/03_SingleMod_ree3.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/03_SingleMod_ree3.txt
04_CrossModFold_ree2.sol,rsd/reentrancy/vulnerable/04_CrossModFold_ree2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/04_CrossModFold_ree2.txt
04_CrossMod_ree2.sol,rsd/reentrancy/vulnerable/04_CrossMod_ree2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/04_CrossMod_ree2.txt
04_CrossMod_ree5.sol,rsd/reentrancy/vulnerable/04_CrossMod_ree5.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/04_CrossMod_ree5.txt
07_MixedSend_ree1.sol,rsd/reentrancy/vulnerable/07_MixedSend_ree1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/07_MixedSend_ree1.txt
09_ERC20InheritMod_ree1.sol,rsd/reentrancy/vulnerable/09_ERC20InheritMod_ree1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20InheritMod_ree1.txt
09_ERC20Inherit_ree1.sol,rsd/reentrancy/vulnerable/09_ERC20Inherit_ree1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20Inherit_ree1.txt
09_ERC20Mod_ree3.sol,rsd/reentrancy/vulnerable/09_ERC20Mod_ree3.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20Mod_ree3.txt
09_ERC20_ree2.sol,rsd/reentrancy/vulnerable/09_ERC20_ree2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20_ree2.txt
09_ERC20StakingPull_ree1.sol,rsd/reentrancy/vulnerable/09_ERC20StakingPull_ree1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20StakingPull_ree1.txt
09_ERC20Staking_ree3.sol,rsd/reentrancy/vulnerable/09_ERC20Staking_ree3.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/09_ERC20Staking_ree3.txt
13_LoopCrossMod_ree1.sol,rsd/reentrancy/vulnerable/13_LoopCrossMod_ree1.sol,1,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/13_LoopCrossMod_ree1.txt
14_DelegateCall_ree2.sol,rsd/reentrancy/vulnerable/14_DelegateCall_ree2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/14_DelegateCall_ree2.txt
15_ReadOnly_ree1.sol,rsd/reentrancy/vulnerable/15_ReadOnly_ree1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/vulnerable/15_ReadOnly_ree1.txt
00_BasicConst_safe1.sol,rsd/reentrancy/safe/00_BasicConst_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicConst_safe1.txt
00_BasicFold_safe1.sol,rsd/reentrancy/safe/00_BasicFold_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicFold_safe1.txt
00_BasicNoCall_safe1.sol,rsd/reentrancy/safe/00_BasicNoCall_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicNoCall_safe1.txt
00_BasicStaticcall_safe1.sol,rsd/reentrancy/safe/00_BasicStaticcall_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/00_BasicStaticcall_safe1.txt
01_SingleMutexFoldUnderflow_safe1.sol,rsd/reentrancy/safe/01_SingleMutexFoldUnderflow_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/01_SingleMutexFoldUnderflow_safe1.txt
02_CrossMutex_safe1.sol,rsd/reentrancy/safe/02_CrossMutex_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/02_CrossMutex_safe1.txt
02_CrossMutexUnderflow_safe1.sol,rsd/reentrancy/safe/02_CrossMutexUnderflow_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/02_CrossMutexUnderflow_safe1.txt
03_SingleMod_safe1.sol,rsd/reentrancy/safe/03_SingleMod_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/03_SingleMod_safe1.txt
04_CrossModFold_safe1.sol,rsd/reentrancy/safe/04_CrossModFold_safe1.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/04_CrossModFold_safe1.txt
04_CrossMod_safe2.sol,rsd/reentrancy/safe/04_CrossMod_safe2.sol,1,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/04_CrossMod_safe2.txt
05_SendEmitUnchecked_safe1.sol,rsd/reentrancy/safe/05_SendEmitUnchecked_safe1.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/05_SendEmitUnchecked_safe1.txt
05_Send_safe3.sol,rsd/reentrancy/safe/05_Send_safe3.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/05_Send_safe3.txt
06_Transfer_safe2.sol,rsd/reentrancy/safe/06_Transfer_safe2.sol,0,1,0,0,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/06_Transfer_safe2.txt
07_MixedSendFoldEmit_safe1.sol,rsd/reentrancy/safe/07_MixedSendFoldEmit_safe1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/07_MixedSendFoldEmit_safe1.txt
08_MixedTransferEmit_safe1.sol,rsd/reentrancy/safe/08_MixedTransferEmit_safe1.sol,0,1,0,1,0,OK,0.8.20,results/oyente_plus/rsd/raw/reentrancy/safe/08_MixedTransferEmit_safe1.txt
