dataset,relpath,pragma,want_version,solc_used,fallback,exit_code,coverage_pct,reentrancy,timestamp,tod,int_overflow,int_underflow,callstack,global_timeout_hit,duration_s
sbc,"sbc/access_control/incorrect_constructor_name2.sol",^0.4.24,0.4.24,0.4.24,floor,0,75.5,False,False,False,False,False,False,no,0.91
sbc,"sbc/access_control/mycontract.sol",^0.4.24,0.4.24,0.4.24,floor,0,72.6,False,False,False,False,False,False,no,0.79
sbc,"sbc/access_control/proxy.sol",^0.4.24,0.4.24,0.4.24,floor,0,82.9,False,False,False,False,True,False,no,55.28
sbc,"sbc/access_control/wallet_02_refund_nosub.sol",^0.4.24,0.4.24,0.4.24,floor,1,87.0,False,False,True,True,False,False,no,1.35
sbc,"sbc/arithmetic/insecure_transfer.sol",^0.4.10,0.4.10,0.4.26,bumped,0,84.8,False,False,False,True,False,False,no,1.09
sbc,"sbc/arithmetic/integer_overflow_mapping_sym_1.sol",^0.4.11,0.4.11,0.4.26,bumped,0,69.4,False,False,False,False,True,False,no,0.85
sbc,"sbc/arithmetic/integer_overflow_multitx_onefunc_feasible.sol",^0.4.23,0.4.23,0.4.23,floor,0,75.7,False,False,False,False,True,False,no,0.84
sbc,"sbc/arithmetic/tokensalechallenge.sol",^0.4.21,0.4.21,0.4.21,floor,0,81.3,False,False,False,False,False,False,no,2.34
sbc,"sbc/bad_randomness/guess_the_random_number.sol",^0.4.21,0.4.21,0.4.21,floor,0,77.7,False,False,False,False,False,False,no,0.82
sbc,"sbc/bad_randomness/random_number_generator.sol",^0.4.25,0.4.25,0.4.25,floor,0,100.0,False,False,False,False,False,False,no,0.80
sbc,"sbc/denial_of_service/dos_number.sol",^0.4.25,0.4.25,0.4.25,floor,0,59.6,False,False,False,True,False,False,no,233.01
sbc,"sbc/front_running/ERC20.sol",^0.4.24,0.4.24,0.4.24,floor,0,95.9,False,False,False,False,False,False,no,2.70
sbc,"sbc/other/crypto_roulette.sol",^0.4.19,0.4.19,0.4.19,floor,0,93.4,False,False,False,True,True,False,no,26.48
sbc,"sbc/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol",^0.4.19,0.4.19,0.4.19,floor,1,57.6,True,False,False,True,True,False,no,12722.79
sbc,"sbc/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol",^0.4.19,0.4.19,0.4.19,floor,1,79.4,True,False,False,True,True,False,no,2.65
sbc,"sbc/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol",^0.4.19,0.4.19,0.4.19,floor,1,90.6,True,False,False,True,True,False,no,602.62
sbc,"sbc/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol",^0.4.19,0.4.19,0.4.19,floor,1,93.2,True,False,False,True,True,False,no,603.01
sbc,"sbc/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol",^0.4.19,0.4.19,0.4.19,floor,1,53.4,True,True,False,True,True,False,no,603.00
sbc,"sbc/reentrancy/etherstore.sol",^0.4.10,0.4.10,0.4.26,bumped,1,90.7,True,True,False,True,False,False,no,2.13
sbc,"sbc/reentrancy/reentrancy_cross_function.sol",^0.4.24,0.4.24,0.4.24,floor,1,85.1,True,False,False,True,False,True,no,1.96
sbc,"sbc/reentrancy/simple_dao.sol",^0.4.2,0.4.2,0.4.26,bumped,1,89.5,True,False,False,True,False,True,no,1.94
sbc,"sbc/time_manipulation/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,414.32
sbc,"sbc/time_manipulation/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,419.57
sbc,"sbc/time_manipulation/list_dos.sol",^0.4.0,0.4.0,0.4.26,bumped,1,20.0,False,True,True,True,True,True,no,433.83
sbc,"sbc/time_manipulation/timelock.sol",^0.4.10,0.4.10,0.4.26,bumped,1,90.4,False,True,False,True,False,False,no,2.71
sbc,"sbc/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol",^0.4.25,0.4.25,0.4.25,floor,0,88.0,False,False,False,True,True,False,no,72.89
sbc,"sbc/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol",^0.4.19,0.4.19,0.4.19,floor,1,73.4,False,False,True,True,True,False,no,329.19
sbc,"sbc/unchecked_low_level_calls/0x524960d55174d912768678d8c606b4d50b79d7b1.sol",^0.4.13,0.4.13,0.4.13,floor,0,80.1,False,False,False,False,True,False,no,0.93
sbc,"sbc/unchecked_low_level_calls/0x663e4229142a27f00bafb5d087e1e730648314c3.sol",^0.4.24,0.4.24,0.4.24,floor,1,39.1,True,True,True,True,True,True,no,148.13
sbc,"sbc/unchecked_low_level_calls/0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol",^0.4.24,0.4.24,0.4.24,floor,1,82.1,False,False,False,True,True,True,no,7.05
sbc,"sbc/unchecked_low_level_calls/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol",^0.4.18,0.4.18,0.4.18,floor,0,79.4,False,False,False,True,True,False,no,2.10
sbc,"sbc/unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol",^0.4.18,0.4.18,0.4.18,floor,0,87.6,False,False,False,True,True,False,no,48.73
sbc,"sbc/unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol",^0.4.23,0.4.23,0.4.23,floor,1,95.8,True,False,True,True,True,False,no,36.06
sbc,"sbc/unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol",^0.4.19,0.4.19,0.4.19,floor,1,89.9,False,False,True,True,True,False,no,311.20
sbc,"sbc/unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol",^0.4.19,0.4.19,0.4.19,floor,1,89.9,False,False,True,True,True,False,no,318.88
sbc,"sbc/unchecked_low_level_calls/0xf2570186500a46986f3139f65afedc2afe4f445d.sol",^0.4.16,0.4.16,0.4.16,floor,0,72.6,False,False,False,False,True,False,no,10.86
sbc,"sbc/unchecked_low_level_calls/king_of_the_ether_throne.sol",^0.4.0,0.4.0,0.4.26,bumped,1,35.0,False,False,False,True,True,True,no,601.58
sbc,"sbc/access_control/arbitrary_location_write_simple.sol",^0.4.25,0.4.25,0.4.25,floor,0,87.6,False,False,False,True,True,False,no,1.38
sbc,"sbc/access_control/incorrect_constructor_name3.sol",^0.4.24,0.4.24,0.4.24,floor,0,75.5,False,False,False,False,False,False,no,0.73
sbc,"sbc/access_control/parity_wallet_bug_1.sol",0.4.9,0.4.9,0.4.9,floor,1,,,,,,,,no,0.91
sbc,"sbc/access_control/rubixi.sol",^0.4.15,0.4.15,0.4.15,floor,1,56.0,False,False,True,True,True,True,no,4.43
sbc,"sbc/access_control/wallet_03_wrong_constructor.sol",^0.4.24,0.4.24,0.4.24,floor,1,87.4,False,False,True,True,False,False,no,1.24
sbc,"sbc/arithmetic/integer_overflow_1.sol",^0.4.15,0.4.15,0.4.15,floor,0,66.4,False,False,False,True,False,False,no,0.79
sbc,"sbc/arithmetic/integer_overflow_minimal.sol",^0.4.19,0.4.19,0.4.19,floor,0,71.1,False,False,False,False,True,False,no,0.77
sbc,"sbc/arithmetic/overflow_simple_add.sol",0.4.25,0.4.25,0.4.25,floor,0,73.2,False,False,False,True,False,False,no,0.80
sbc,"sbc/arithmetic/token.sol",^0.4.18,0.4.18,0.4.18,floor,0,86.5,False,False,False,True,True,False,no,1.02
sbc,"sbc/bad_randomness/lottery.sol",^0.4.0,0.4.0,0.4.26,bumped,0,88.5,False,False,False,True,True,False,no,13.87
sbc,"sbc/bad_randomness/smart_billions.sol",^0.4.13,0.4.13,0.4.13,floor,1,100.0,False,False,True,True,True,False,no,602.16
sbc,"sbc/denial_of_service/dos_simple.sol",^0.4.25,0.4.25,0.4.25,floor,0,50.0,False,False,False,True,False,False,no,12546.84
sbc,"sbc/front_running/eth_tx_order_dependence_minimal.sol",^0.4.16,0.4.16,0.4.16,floor,1,88.7,False,False,True,False,False,False,no,1.47
sbc,"sbc/other/name_registrar.sol",^0.4.15,0.4.15,0.4.15,floor,0,91.3,False,False,False,True,False,False,no,1.76
sbc,"sbc/reentrancy/0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol",^0.4.19,0.4.19,0.4.19,floor,1,93.2,True,False,False,True,True,False,no,602.85
sbc,"sbc/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,416.40
sbc,"sbc/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,419.53
sbc,"sbc/reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol",^0.4.19,0.4.19,0.4.19,floor,1,53.4,True,False,False,True,True,False,no,604.99
sbc,"sbc/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,421.99
sbc,"sbc/reentrancy/modifier_reentrancy.sol",^0.4.24,0.4.24,0.4.24,floor,0,70.7,False,False,False,True,True,False,no,2.00
sbc,"sbc/reentrancy/reentrancy_dao.sol",^0.4.19,0.4.19,0.4.19,floor,1,80.8,True,False,False,True,False,True,no,1.75
sbc,"sbc/reentrancy/spank_chain_payment.sol",^0.4.23,0.4.23,0.4.23,floor,124,16.7,False,False,False,True,True,False,no,660.08
sbc,"sbc/time_manipulation/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol",^0.4.25,0.4.25,0.4.25,floor,1,54.7,True,True,False,True,True,False,no,602.56
sbc,"sbc/time_manipulation/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol",^0.4.25,0.4.25,0.4.25,floor,1,53.2,True,True,False,True,True,False,no,410.10
sbc,"sbc/time_manipulation/lottopollo.sol",^0.4.0,0.4.0,0.4.26,bumped,1,49.5,False,False,False,False,False,True,no,1.07
sbc,"sbc/unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol",^0.4.24,0.4.24,0.4.24,floor,1,82.3,False,False,False,True,True,True,no,7.22
sbc,"sbc/unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa.sol",^0.4.18,0.4.18,0.4.18,floor,0,79.4,False,False,False,True,True,False,no,2.17
sbc,"sbc/unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3.sol",^0.4.24,0.4.24,0.4.24,floor,0,86.1,False,False,False,True,True,False,no,51.36
sbc,"sbc/unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol",^0.4.19,0.4.19,0.4.19,floor,0,24.8,False,False,False,False,True,False,no,12.80
sbc,"sbc/unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol",^0.4.19,0.4.19,0.4.19,floor,1,71.6,False,False,True,True,True,False,no,320.78
sbc,"sbc/unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol",^0.4.19,0.4.19,0.4.19,floor,1,71.6,False,False,True,True,True,False,no,303.55
sbc,"sbc/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol",^0.4.16,0.4.16,0.4.16,floor,1,5.5,True,False,False,True,True,True,no,231.19
sbc,"sbc/unchecked_low_level_calls/0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol",^0.4.23,0.4.23,0.4.23,floor,1,88.5,False,False,True,True,False,True,no,2.08
sbc,"sbc/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol",^0.4.23,0.4.23,0.4.23,floor,1,82.8,True,False,False,True,False,True,no,1.33
sbc,"sbc/unchecked_low_level_calls/0xd5967fed03e85d1cce44cab284695b41bc675b5c.sol",^0.4.24,0.4.24,0.4.24,floor,0,86.1,False,False,False,True,True,False,no,43.67
sbc,"sbc/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol",^0.4.19,0.4.19,0.4.19,floor,1,89.9,False,False,True,True,True,False,no,284.47
sbc,"sbc/unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707.sol",^0.4.24,0.4.24,0.4.24,floor,0,75.9,False,False,False,False,False,False,no,1.01
sbc,"sbc/unchecked_low_level_calls/lotto.sol",^0.4.18,0.4.18,0.4.18,floor,1,88.6,False,False,True,False,False,True,no,0.94
sbc,"sbc/access_control/FibonacciBalance.sol",^0.4.22,0.4.22,0.4.22,floor,139,86.0,False,False,False,False,False,False,no,5.38
sbc,"sbc/access_control/mapping_write.sol",^0.4.24,0.4.24,0.4.24,floor,0,39.1,False,False,False,True,False,False,no,485.41
sbc,"sbc/access_control/parity_wallet_bug_2.sol",^0.4.9,0.4.9,0.4.26,bumped,0,100.0,False,False,False,True,True,False,no,60.66
sbc,"sbc/access_control/simple_suicide.sol",^0.4.0,0.4.0,0.4.26,bumped,0,97.8,False,False,False,False,False,False,no,0.70
sbc,"sbc/access_control/wallet_04_confused_sign.sol",^0.4.24,0.4.24,0.4.24,floor,1,86.1,False,False,True,True,True,False,no,1.23
sbc,"sbc/arithmetic/integer_overflow_add.sol",^0.4.19,0.4.19,0.4.19,floor,0,71.1,False,False,False,True,False,False,no,0.80
sbc,"sbc/arithmetic/integer_overflow_mul.sol",^0.4.19,0.4.19,0.4.19,floor,0,71.1,False,False,False,False,False,False,no,1.20
sbc,"sbc/arithmetic/overflow_single_tx.sol",^0.4.23,0.4.23,0.4.23,floor,0,89.9,False,False,False,True,True,False,no,1.40
sbc,"sbc/bad_randomness/blackjack.sol",^0.4.9,0.4.9,0.4.26,bumped,0,12.0,False,False,False,True,True,False,no,28.75
sbc,"sbc/bad_randomness/lucky_doubler.sol",^0.4.0,0.4.0,0.4.26,bumped,1,28.8,False,False,False,False,True,True,no,12271.12
