filename,relpath,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_json_path
incorrect_constructor_name2.sol,sbc/access_control/incorrect_constructor_name2.sol,0,0,0,0,0,OK,0.4.24,results/oyente_plus/sbc/raw/access_control/incorrect_constructor_name2.txt
mycontract.sol,sbc/access_control/mycontract.sol,0,0,0,0,0,OK,0.4.24,results/oyente_plus/sbc/raw/access_control/mycontract.txt
proxy.sol,sbc/access_control/proxy.sol,0,1,0,0,0,OK,0.4.24,results/oyente_plus/sbc/raw/access_control/proxy.txt
wallet_02_refund_nosub.sol,sbc/access_control/wallet_02_refund_nosub.sol,0,1,0,1,0,OK,0.4.24,results/oyente_plus/sbc/raw/access_control/wallet_02_refund_nosub.txt
insecure_transfer.sol,sbc/arithmetic/insecure_transfer.sol,0,1,0,0,0,OK,0.4.26,results/oyente_plus/sbc/raw/arithmetic/insecure_transfer.txt
integer_overflow_mapping_sym_1.sol,sbc/arithmetic/integer_overflow_mapping_sym_1.sol,0,1,0,0,0,OK,0.4.26,results/oyente_plus/sbc/raw/arithmetic/integer_overflow_mapping_sym_1.txt
integer_overflow_multitx_onefunc_feasible.sol,sbc/arithmetic/integer_overflow_multitx_onefunc_feasible.sol,0,1,0,0,0,OK,0.4.23,results/oyente_plus/sbc/raw/arithmetic/integer_overflow_multitx_onefunc_feasible.txt
tokensalechallenge.sol,sbc/arithmetic/tokensalechallenge.sol,0,0,0,0,0,OK,0.4.21,results/oyente_plus/sbc/raw/arithmetic/tokensalechallenge.txt
guess_the_random_number.sol,sbc/bad_randomness/guess_the_random_number.sol,0,0,0,0,0,OK,0.4.21,results/oyente_plus/sbc/raw/bad_randomness/guess_the_random_number.txt
random_number_generator.sol,sbc/bad_randomness/random_number_generator.sol,0,0,0,0,0,OK,0.4.25,results/oyente_plus/sbc/raw/bad_randomness/random_number_generator.txt
dos_number.sol,sbc/denial_of_service/dos_number.sol,0,1,0,0,0,OK,0.4.25,results/oyente_plus/sbc/raw/denial_of_service/dos_number.txt
ERC20.sol,sbc/front_running/ERC20.sol,0,0,0,0,0,OK,0.4.24,results/oyente_plus/sbc/raw/front_running/ERC20.txt
crypto_roulette.sol,sbc/other/crypto_roulette.sol,0,1,0,0,0,OK,0.4.19,results/oyente_plus/sbc/raw/other/crypto_roulette.txt
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,sbc/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,1,1,0,0,0,OK,0.4.19,results/oyente_plus/sbc/raw/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.txt
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,sbc/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,1,1,0,0,0,OK,0.4.19,results/oyente_plus/sbc/raw/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.txt
0x8c7777c45481dba411450c228cb692ac3d550344.sol,sbc/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.sol,1,1,0,0,0,OK,0.4.19,results/oyente_plus/sbc/raw/reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344.txt
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,sbc/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,1,1,0,0,0,OK,0.4.19,results/oyente_plus/sbc/raw/reentrancy/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.txt
