filename,relpath,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_json_path
13.sol,solidifi/tod/safe/13.sol,0,1,0,0,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/safe/13.txt
17.sol,solidifi/tod/safe/17.sol,0,1,0,0,0,OK,0.5.6,results/oyente_plus/solidifi/raw/tod/safe/17.txt
20.sol,solidifi/tod/safe/20.sol,0,0,0,1,0,OK,0.5.10,results/oyente_plus/solidifi/raw/tod/safe/20.txt
24.sol,solidifi/tod/safe/24.sol,0,1,0,0,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/safe/24.txt
28.sol,solidifi/tod/safe/28.sol,0,1,0,0,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/safe/28.txt
31.sol,solidifi/tod/safe/31.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/31.txt
35.sol,solidifi/tod/safe/35.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/35.txt
39.sol,solidifi/tod/safe/39.sol,0,1,0,0,0,OK,0.5.10,results/oyente_plus/solidifi/raw/tod/safe/39.txt
42.sol,solidifi/tod/safe/42.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/42.txt
46.sol,solidifi/tod/safe/46.sol,0,1,0,0,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/safe/46.txt
4.sol,solidifi/tod/safe/4.sol,0,1,0,0,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/safe/4.txt
7.sol,solidifi/tod/safe/7.sol,0,1,0,0,0,OK,0.5.8,results/oyente_plus/solidifi/raw/tod/safe/7.txt
buggy_11.sol,solidifi/tod/vulnerable/buggy_11.sol,0,1,0,1,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_11.txt
buggy_15.sol,solidifi/tod/vulnerable/buggy_15.sol,0,1,0,0,0,OK,0.5.7,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_15.txt
buggy_19.sol,solidifi/tod/vulnerable/buggy_19.sol,0,0,0,1,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_19.txt
buggy_22.sol,solidifi/tod/vulnerable/buggy_22.sol,0,1,0,1,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_22.txt
buggy_26.sol,solidifi/tod/vulnerable/buggy_26.sol,0,1,0,0,0,OK,0.5.2,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_26.txt
buggy_2.sol,solidifi/tod/vulnerable/buggy_2.sol,0,1,0,0,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_2.txt
buggy_33.sol,solidifi/tod/vulnerable/buggy_33.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_33.txt
buggy_37.sol,solidifi/tod/vulnerable/buggy_37.sol,0,1,0,1,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_37.txt
buggy_40.sol,solidifi/tod/vulnerable/buggy_40.sol,0,1,0,1,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_40.txt
buggy_44.sol,solidifi/tod/vulnerable/buggy_44.sol,0,1,0,1,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_44.txt
buggy_48.sol,solidifi/tod/vulnerable/buggy_48.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_48.txt
buggy_5.sol,solidifi/tod/vulnerable/buggy_5.sol,0,1,0,1,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_5.txt
buggy_9.sol,solidifi/tod/vulnerable/buggy_9.sol,0,1,0,1,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_9.txt
10.sol,solidifi/tod/safe/10.sol,0,1,0,0,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/safe/10.txt
14.sol,solidifi/tod/safe/14.sol,0,1,0,0,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/safe/14.txt
18.sol,solidifi/tod/safe/18.sol,0,1,0,0,0,OK,0.5.9,results/oyente_plus/solidifi/raw/tod/safe/18.txt
21.sol,solidifi/tod/safe/21.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/21.txt
25.sol,solidifi/tod/safe/25.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/25.txt
29.sol,solidifi/tod/safe/29.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/29.txt
32.sol,solidifi/tod/safe/32.sol,0,1,0,0,0,OK,0.5.7,results/oyente_plus/solidifi/raw/tod/safe/32.txt
36.sol,solidifi/tod/safe/36.sol,0,1,0,0,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/safe/36.txt
3.sol,solidifi/tod/safe/3.sol,0,1,0,0,0,OK,0.5.1,results/oyente_plus/solidifi/raw/tod/safe/3.txt
43.sol,solidifi/tod/safe/43.sol,0,1,0,0,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/safe/43.txt
47.sol,solidifi/tod/safe/47.sol,0,1,1,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/47.txt
50.sol,solidifi/tod/safe/50.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/safe/50.txt
8.sol,solidifi/tod/safe/8.sol,0,1,0,0,0,OK,0.4.22,results/oyente_plus/solidifi/raw/tod/safe/8.txt
buggy_12.sol,solidifi/tod/vulnerable/buggy_12.sol,0,1,0,1,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_12.txt
buggy_16.sol,solidifi/tod/vulnerable/buggy_16.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_16.txt
buggy_1.sol,solidifi/tod/vulnerable/buggy_1.sol,0,1,0,0,0,OK,0.5.17,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_1.txt
buggy_23.sol,solidifi/tod/vulnerable/buggy_23.sol,0,1,0,1,0,OK,0.5.2,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_23.txt
buggy_27.sol,solidifi/tod/vulnerable/buggy_27.sol,0,1,0,1,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_27.txt
buggy_30.sol,solidifi/tod/vulnerable/buggy_30.sol,0,1,0,0,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_30.txt
buggy_34.sol,solidifi/tod/vulnerable/buggy_34.sol,0,1,0,1,0,OK,0.5.11,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_34.txt
buggy_38.sol,solidifi/tod/vulnerable/buggy_38.sol,0,1,0,0,0,OK,0.5.0,results/oyente_plus/solidifi/raw/tod/vulnerable/buggy_38.txt
