filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
18430.sol,0.4.26,OK,2.23,0,-1,-1,1
18438.sol,0.4.26,OK,1.05,0,-1,-1,0
18509.sol,0.4.26,OK,0.91,0,-1,-1,0
18510.sol,0.4.26,OK,0.83,0,-1,-1,0
18771.sol,0.4.26,OK,1.17,0,-1,-1,0
19128.sol,0.4.26,OK,1.03,0,-1,-1,0
19129.sol,0.4.26,OK,1.08,0,-1,-1,0
19925.sol,0.4.26,OK,2.17,0,-1,-1,1
21241.sol,0.4.26,OK,0.98,0,-1,-1,0
21697.sol,0.4.26,OK,1.14,0,-1,-1,0
21886.sol,0.4.26,OK,0.83,0,-1,-1,0
22074.sol,0.4.26,OK,0.77,0,-1,-1,0
22075.sol,0.4.26,OK,1.18,0,-1,-1,0
22247.sol,0.4.26,OK,2.23,1,-1,-1,1
22416.sol,0.4.26,OK,2.28,1,-1,-1,1
22635.sol,0.4.26,OK,2.38,1,-1,-1,1
22636.sol,0.4.26,OK,0.96,0,-1,-1,0
23792.sol,0.4.26,OK,0.9,0,-1,-1,0
23793.sol,0.4.26,OK,1.04,0,-1,-1,0
24161.sol,0.4.26,OK,2.2,1,-1,-1,1
24196.sol,0.4.26,OK,1.12,0,-1,-1,0
24369.sol,0.4.26,OK,1.04,0,-1,-1,0
24648.sol,0.4.26,OK,1.19,0,-1,-1,0
24649.sol,0.4.26,OK,0.97,0,-1,-1,0
25808.sol,0.4.26,OK,1.07,0,-1,-1,0
26188.sol,0.4.26,OK,1.21,0,-1,-1,0
26742.sol,0.4.26,OK,2.47,1,-1,-1,1
26743.sol,0.4.26,OK,0.87,0,-1,-1,0
27121.sol,0.4.26,OK,0.89,0,-1,-1,0
27159.sol,0.4.26,OK,0.85,0,-1,-1,0
27164.sol,0.4.26,OK,1.16,0,-1,-1,0
27263.sol,0.4.26,OK,1.11,0,-1,-1,0
27327.sol,0.4.26,OK,1.06,0,-1,-1,0
27334.sol,0.4.26,OK,2.14,0,-1,-1,1
27603.sol,0.4.26,OK,1.19,0,-1,-1,0
28974.sol,0.4.26,OK,1.04,0,-1,-1,0
29089.sol,0.4.26,OK,2.3,1,-1,-1,1
29090.sol,0.4.26,OK,1.17,0,-1,-1,0
29130.sol,0.4.26,OK,1.01,0,-1,-1,0
29154.sol,0.4.26,OK,1.2,0,-1,-1,0
29590.sol,0.4.26,OK,0.84,0,-1,-1,0
29948.sol,0.4.26,OK,0.94,0,-1,-1,0
29983.sol,0.4.26,OK,1.11,0,-1,-1,0
3.sol,0.4.26,OK,1.17,0,-1,-1,0
30046.sol,0.4.26,OK,0.96,0,-1,-1,0
30101.sol,0.4.26,OK,1.8,0,-1,-1,1
30102.sol,0.4.26,OK,1.12,0,-1,-1,0
30254.sol,0.4.26,OK,1.05,0,-1,-1,0
30255.sol,0.4.26,OK,1.12,0,-1,-1,0
30337.sol,0.4.26,OK,1.39,0,-1,-1,1
30338.sol,0.4.26,OK,1.02,0,-1,-1,0
30460.sol,0.4.26,OK,1.02,0,-1,-1,0
31237.sol,0.4.26,OK,1.13,0,-1,-1,0
31238.sol,0.4.26,OK,1.24,0,-1,-1,0
31497.sol,0.4.26,OK,1.09,0,-1,-1,0
31565.sol,0.4.26,OK,2.36,0,-1,-1,1
31759.sol,0.4.26,OK,1.23,0,-1,-1,0
32522.sol,0.4.26,OK,1.12,0,-1,-1,0
33450.sol,0.4.26,OK,1.25,0,-1,-1,0
33512.sol,0.4.26,OK,1.03,0,-1,-1,0
34432.sol,0.4.26,OK,1.27,0,-1,-1,0
34526.sol,0.4.26,OK,1.05,0,-1,-1,0
34668.sol,0.4.26,OK,1.09,0,-1,-1,0
34904.sol,0.4.26,OK,0.83,0,-1,-1,0
35208.sol,0.4.26,OK,1.04,0,-1,-1,0
35661.sol,0.4.26,OK,2.33,0,-1,-1,1
35662.sol,0.4.26,OK,0.99,0,-1,-1,0
35713.sol,0.4.26,OK,0.96,0,-1,-1,0
35714.sol,0.4.26,OK,1.04,0,-1,-1,0
35806.sol,0.4.26,OK,2.14,0,-1,-1,1
35807.sol,0.4.26,OK,1.15,0,-1,-1,0
35878.sol,0.4.26,OK,1.03,0,-1,-1,0
35951.sol,0.4.26,OK,1.12,0,-1,-1,0
36456.sol,0.4.26,OK,0.96,0,-1,-1,0
36481.sol,0.4.26,OK,1.1,0,-1,-1,0
36563.sol,0.4.26,OK,1.04,0,-1,-1,0
36668.sol,0.4.26,OK,1.06,0,-1,-1,0
36836.sol,0.4.26,OK,2.54,1,-1,-1,1
37474.sol,0.4.26,OK,1.01,0,-1,-1,0
37499.sol,0.4.26,OK,1.2,0,-1,-1,0
37645.sol,0.4.26,OK,1.16,0,-1,-1,0
37646.sol,0.4.26,OK,1.18,0,-1,-1,0
37676.sol,0.4.26,OK,1.01,0,-1,-1,0
37707.sol,0.4.26,OK,1.88,1,-1,-1,1
37708.sol,0.4.26,OK,1.18,0,-1,-1,0
37836.sol,0.4.26,OK,1.22,0,-1,-1,0
37891.sol,0.4.26,OK,2.37,0,-1,-1,1
38057.sol,0.4.26,OK,2.18,0,-1,-1,1
38250.sol,0.4.26,OK,1.21,0,-1,-1,0
38420.sol,0.4.26,OK,1.09,0,-1,-1,0
38543.sol,0.4.26,OK,0.9,0,-1,-1,0
38651.sol,0.4.26,OK,1.76,0,-1,-1,1
38828.sol,0.4.26,OK,1.98,0,-1,-1,1
38876.sol,0.4.26,OK,1.1,0,-1,-1,0
38888.sol,0.4.26,OK,0.94,0,-1,-1,0
39019.sol,0.4.26,OK,0.91,0,-1,-1,0
39032.sol,0.4.26,OK,1.05,0,-1,-1,0
39151.sol,0.4.26,OK,1.0,0,-1,-1,0
39199.sol,0.4.26,OK,1.1,0,-1,-1,0
39248.sol,0.4.26,OK,0.95,0,-1,-1,0
39268.sol,0.4.26,OK,1.22,0,-1,-1,0
39269.sol,0.4.26,OK,0.89,0,-1,-1,0
39327.sol,0.4.26,OK,1.12,0,-1,-1,0
39341.sol,0.4.26,OK,1.16,0,-1,-1,0
39644.sol,0.4.26,OK,1.75,0,-1,-1,1
39664.sol,0.4.26,OK,1.02,0,-1,-1,0
39684.sol,0.4.26,OK,1.08,0,-1,-1,0
39705.sol,0.4.26,OK,0.88,0,-1,-1,0
39749.sol,0.4.26,OK,0.83,0,-1,-1,0
39750.sol,0.4.26,OK,1.04,0,-1,-1,0
39777.sol,0.4.26,OK,2.04,0,-1,-1,1
39778.sol,0.4.26,OK,1.77,0,-1,-1,1
39817.sol,0.4.26,OK,1.14,0,-1,-1,0
39866.sol,0.4.26,OK,0.84,0,-1,-1,0
39867.sol,0.4.26,OK,1.07,0,-1,-1,0
39912.sol,0.4.26,OK,0.96,0,-1,-1,0
39934.sol,0.4.26,OK,0.94,0,-1,-1,0
4.sol,0.4.26,OK,2.03,0,-1,-1,1
40089.sol,0.4.26,OK,1.53,0,-1,-1,1
40090.sol,0.4.26,OK,0.99,0,-1,-1,0
40092.sol,0.4.26,OK,2.03,0,-1,-1,1
40203.sol,0.4.26,OK,1.03,0,-1,-1,0
40242.sol,0.4.26,OK,0.89,0,-1,-1,0
40249.sol,0.4.26,OK,1.08,0,-1,-1,0
40299.sol,0.4.26,OK,1.13,0,-1,-1,0
40336.sol,0.4.26,OK,2.1,0,-1,-1,1
40340.sol,0.4.26,OK,1.08,0,-1,-1,0
40342.sol,0.4.26,OK,0.81,0,-1,-1,0
40353.sol,0.4.26,OK,0.78,0,-1,-1,0
40357.sol,0.4.26,OK,0.84,0,-1,-1,0
40366.sol,0.4.26,OK,0.92,0,-1,-1,0
40413.sol,0.4.26,OK,0.76,0,-1,-1,0
40415.sol,0.4.26,OK,2.05,1,-1,-1,1
40425.sol,0.4.26,OK,1.7,0,-1,-1,1
40499.sol,0.4.26,OK,1.98,1,-1,-1,1
40500.sol,0.4.26,OK,0.85,0,-1,-1,0
40720.sol,0.4.26,OK,0.83,0,-1,-1,0
40732.sol,0.4.26,OK,1.66,1,-1,-1,1
40733.sol,0.4.26,OK,1.34,0,-1,-1,1
40734.sol,0.4.26,OK,1.31,0,-1,-1,1
40735.sol,0.4.26,OK,1.84,1,-1,-1,1
40736.sol,0.4.26,OK,2.11,1,-1,-1,1
40737.sol,0.4.26,OK,1.31,0,-1,-1,1
