filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,0.4.26,OK,0.72,0,-1,-1,0
10.sol,0.4.26,OK,0.79,0,-1,-1,0
11.sol,0.5.15,OK,0.79,0,-1,-1,0
12.sol,0.4.26,OK,0.95,0,-1,-1,0
13.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
14.sol,0.5.15,OK,0.86,0,-1,-1,0
15.sol,0.5.15,OK,0.81,0,-1,-1,0
16.sol,0.5.15,OK,0.89,0,-1,-1,0
17.sol,0.5.15,OK,0.9,0,-1,-1,0
18.sol,0.5.15,OK,1.03,0,-1,-1,0
19.sol,0.5.15,OK,0.88,0,-1,-1,0
2.sol,0.5.15,OK,0.77,0,-1,-1,0
20.sol,0.5.15,OK,0.94,0,-1,-1,0
21.sol,0.5.15,OK,9.65,1,-1,-1,1
22.sol,0.5.15,OK,0.95,0,-1,-1,0
23.sol,0.5.15,OK,1.04,0,-1,-1,0
24.sol,0.5.15,OK,2.39,0,-1,-1,0
25.sol,0.5.15,OK,0.89,0,-1,-1,0
26.sol,0.5.15,OK,0.77,0,-1,-1,0
27.sol,0.5.15,OK,1.07,0,-1,-1,0
28.sol,0.5.15,OK,0.97,0,-1,-1,0
29.sol,0.5.15,OK,0.84,0,-1,-1,0
3.sol,0.5.15,OK,0.78,0,-1,-1,0
30.sol,0.5.15,OK,1.59,0,-1,-1,0
31.sol,0.5.15,OK,1.36,1,-1,-1,0
32.sol,0.5.15,OK,0.83,0,-1,-1,0
33.sol,0.5.15,OK,0.84,0,-1,-1,0
34.sol,0.5.15,OK,0.93,0,-1,-1,0
35.sol,0.5.15,OK,4.17,1,-1,-1,1
36.sol,0.5.15,OK,0.93,0,-1,-1,0
37.sol,0.5.15,OK,0.87,0,-1,-1,0
38.sol,0.5.15,OK,0.88,0,-1,-1,0
39.sol,0.5.15,OK,0.74,0,-1,-1,0
4.sol,0.5.15,OK,0.75,0,-1,-1,0
40.sol,0.5.15,OK,1.0,0,-1,-1,0
41.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
42.sol,0.5.15,OK,0.82,0,-1,-1,0
43.sol,0.5.15,OK,1.51,1,-1,-1,0
44.sol,0.5.15,OK,1.56,1,-1,-1,0
45.sol,0.5.15,OK,0.79,0,-1,-1,0
46.sol,0.4.26,OK,0.8,0,-1,-1,0
47.sol,0.5.15,OK,3.92,0,-1,-1,1
48.sol,0.5.15,OK,0.89,0,-1,-1,0
49.sol,0.5.15,OK,0.73,0,-1,-1,0
5.sol,0.4.26,OK,4.25,0,-1,-1,1
50.sol,0.5.15,OK,0.84,0,-1,-1,0
6.sol,0.5.15,OK,0.83,0,-1,-1,0
7.sol,0.5.15,OK,0.85,0,-1,-1,0
8.sol,0.4.26,OK,4.28,0,-1,-1,1
9.sol,0.4.26,OK,0.94,0,-1,-1,0
buggy_1.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_10.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_11.sol,0.5.15,OK,9.66,0,-1,-1,1
buggy_12.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_13.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_14.sol,0.5.15,OK,7.49,0,-1,-1,1
buggy_15.sol,0.5.15,OK,5.91,0,-1,-1,1
buggy_16.sol,0.5.15,OK,16.26,0,-1,-1,1
buggy_17.sol,0.5.15,OK,11.06,0,-1,-1,1
buggy_18.sol,0.5.15,OK,15.27,0,-1,-1,1
buggy_19.sol,0.5.15,OK,8.59,0,-1,-1,1
buggy_2.sol,0.5.15,OK,7.3,0,-1,-1,1
buggy_20.sol,0.5.15,OK,11.04,0,-1,-1,1
buggy_21.sol,0.5.15,OK,18.72,1,-1,-1,1
buggy_22.sol,0.5.15,OK,11.36,0,-1,-1,1
buggy_23.sol,0.5.15,OK,9.24,0,-1,-1,1
buggy_24.sol,0.5.15,OK,9.38,0,-1,-1,0
buggy_25.sol,0.5.15,OK,8.88,0,-1,-1,1
buggy_26.sol,0.5.15,OK,7.34,0,-1,-1,1
buggy_27.sol,0.5.15,OK,20.1,0,-1,-1,1
buggy_28.sol,0.5.15,OK,11.27,0,-1,-1,1
buggy_29.sol,0.5.15,OK,6.36,0,-1,-1,1
buggy_3.sol,0.5.15,OK,7.19,0,-1,-1,1
buggy_30.sol,0.5.15,OK,19.83,0,-1,-1,1
buggy_31.sol,0.5.15,OK,6.07,1,-1,-1,1
buggy_32.sol,0.5.15,OK,7.33,0,-1,-1,1
buggy_33.sol,0.5.15,OK,8.66,0,-1,-1,1
buggy_34.sol,0.5.15,OK,13.63,0,-1,-1,1
buggy_35.sol,0.5.15,OK,16.23,1,-1,-1,1
buggy_36.sol,0.5.15,OK,11.38,0,-1,-1,1
buggy_37.sol,0.5.15,OK,12.99,0,-1,-1,1
buggy_38.sol,0.5.15,OK,11.04,0,-1,-1,1
buggy_39.sol,0.5.15,OK,3.96,0,-1,-1,1
buggy_4.sol,0.5.15,OK,6.39,0,-1,-1,1
buggy_40.sol,0.5.15,OK,8.07,0,-1,-1,1
buggy_41.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_42.sol,0.5.15,OK,7.56,0,-1,-1,1
buggy_43.sol,0.5.15,OK,10.6,1,-1,-1,1
buggy_44.sol,0.5.15,OK,12.65,1,-1,-1,1
buggy_45.sol,0.5.15,OK,10.93,0,-1,-1,1
buggy_46.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_47.sol,0.5.15,OK,19.44,0,-1,-1,1
buggy_48.sol,0.5.15,OK,10.49,0,-1,-1,1
buggy_49.sol,0.5.15,OK,3.53,0,-1,-1,1
buggy_5.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_50.sol,0.5.15,OK,8.13,0,-1,-1,1
buggy_6.sol,0.5.15,OK,10.61,0,-1,-1,1
buggy_7.sol,0.5.15,OK,12.64,0,-1,-1,1
buggy_8.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
buggy_9.sol,none,COMPILE_ERROR,0.0,0,-1,-1,0
