filename,reentrancy,overflow,timestamp,tod,duration_s,exit_status,solc_version,raw_json_path
1.sol,0,-1,-1,0,0.72,OK,0.4.26,
10.sol,0,-1,-1,0,0.79,OK,0.4.26,
11.sol,0,-1,-1,0,0.79,OK,0.5.15,
12.sol,0,-1,-1,0,0.95,OK,0.4.26,
13.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
14.sol,0,-1,-1,0,0.86,OK,0.5.15,
15.sol,0,-1,-1,0,0.81,OK,0.5.15,
16.sol,0,-1,-1,0,0.89,OK,0.5.15,
17.sol,0,-1,-1,0,0.9,OK,0.5.15,
18.sol,0,-1,-1,0,1.03,OK,0.5.15,
19.sol,0,-1,-1,0,0.88,OK,0.5.15,
2.sol,0,-1,-1,0,0.77,OK,0.5.15,
20.sol,0,-1,-1,0,0.94,OK,0.5.15,
21.sol,1,-1,-1,1,9.65,OK,0.5.15,
22.sol,0,-1,-1,0,0.95,OK,0.5.15,
23.sol,0,-1,-1,0,1.04,OK,0.5.15,
24.sol,0,-1,-1,0,2.39,OK,0.5.15,
25.sol,0,-1,-1,0,0.89,OK,0.5.15,
26.sol,0,-1,-1,0,0.77,OK,0.5.15,
27.sol,0,-1,-1,0,1.07,OK,0.5.15,
28.sol,0,-1,-1,0,0.97,OK,0.5.15,
29.sol,0,-1,-1,0,0.84,OK,0.5.15,
3.sol,0,-1,-1,0,0.78,OK,0.5.15,
30.sol,0,-1,-1,0,1.59,OK,0.5.15,
31.sol,1,-1,-1,0,1.36,OK,0.5.15,
32.sol,0,-1,-1,0,0.83,OK,0.5.15,
33.sol,0,-1,-1,0,0.84,OK,0.5.15,
34.sol,0,-1,-1,0,0.93,OK,0.5.15,
35.sol,1,-1,-1,1,4.17,OK,0.5.15,
36.sol,0,-1,-1,0,0.93,OK,0.5.15,
37.sol,0,-1,-1,0,0.87,OK,0.5.15,
38.sol,0,-1,-1,0,0.88,OK,0.5.15,
39.sol,0,-1,-1,0,0.74,OK,0.5.15,
4.sol,0,-1,-1,0,0.75,OK,0.5.15,
40.sol,0,-1,-1,0,1.0,OK,0.5.15,
41.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
42.sol,0,-1,-1,0,0.82,OK,0.5.15,
43.sol,1,-1,-1,0,1.51,OK,0.5.15,
44.sol,1,-1,-1,0,1.56,OK,0.5.15,
45.sol,0,-1,-1,0,0.79,OK,0.5.15,
46.sol,0,-1,-1,0,0.8,OK,0.4.26,
47.sol,0,-1,-1,1,3.92,OK,0.5.15,
48.sol,0,-1,-1,0,0.89,OK,0.5.15,
49.sol,0,-1,-1,0,0.73,OK,0.5.15,
5.sol,0,-1,-1,1,4.25,OK,0.4.26,
50.sol,0,-1,-1,0,0.84,OK,0.5.15,
6.sol,0,-1,-1,0,0.83,OK,0.5.15,
7.sol,0,-1,-1,0,0.85,OK,0.5.15,
8.sol,0,-1,-1,1,4.28,OK,0.4.26,
9.sol,0,-1,-1,0,0.94,OK,0.4.26,
buggy_1.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_10.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_11.sol,0,-1,-1,1,9.66,OK,0.5.15,
buggy_12.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_13.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_14.sol,0,-1,-1,1,7.49,OK,0.5.15,
buggy_15.sol,0,-1,-1,1,5.91,OK,0.5.15,
buggy_16.sol,0,-1,-1,1,16.26,OK,0.5.15,
buggy_17.sol,0,-1,-1,1,11.06,OK,0.5.15,
buggy_18.sol,0,-1,-1,1,15.27,OK,0.5.15,
buggy_19.sol,0,-1,-1,1,8.59,OK,0.5.15,
buggy_2.sol,0,-1,-1,1,7.3,OK,0.5.15,
buggy_20.sol,0,-1,-1,1,11.04,OK,0.5.15,
buggy_21.sol,1,-1,-1,1,18.72,OK,0.5.15,
buggy_22.sol,0,-1,-1,1,11.36,OK,0.5.15,
buggy_23.sol,0,-1,-1,1,9.24,OK,0.5.15,
buggy_24.sol,0,-1,-1,0,9.38,OK,0.5.15,
buggy_25.sol,0,-1,-1,1,8.88,OK,0.5.15,
buggy_26.sol,0,-1,-1,1,7.34,OK,0.5.15,
buggy_27.sol,0,-1,-1,1,20.1,OK,0.5.15,
buggy_28.sol,0,-1,-1,1,11.27,OK,0.5.15,
buggy_29.sol,0,-1,-1,1,6.36,OK,0.5.15,
buggy_3.sol,0,-1,-1,1,7.19,OK,0.5.15,
buggy_30.sol,0,-1,-1,1,19.83,OK,0.5.15,
buggy_31.sol,1,-1,-1,1,6.07,OK,0.5.15,
buggy_32.sol,0,-1,-1,1,7.33,OK,0.5.15,
buggy_33.sol,0,-1,-1,1,8.66,OK,0.5.15,
buggy_34.sol,0,-1,-1,1,13.63,OK,0.5.15,
buggy_35.sol,1,-1,-1,1,16.23,OK,0.5.15,
buggy_36.sol,0,-1,-1,1,11.38,OK,0.5.15,
buggy_37.sol,0,-1,-1,1,12.99,OK,0.5.15,
buggy_38.sol,0,-1,-1,1,11.04,OK,0.5.15,
buggy_39.sol,0,-1,-1,1,3.96,OK,0.5.15,
buggy_4.sol,0,-1,-1,1,6.39,OK,0.5.15,
buggy_40.sol,0,-1,-1,1,8.07,OK,0.5.15,
buggy_41.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_42.sol,0,-1,-1,1,7.56,OK,0.5.15,
buggy_43.sol,1,-1,-1,1,10.6,OK,0.5.15,
buggy_44.sol,1,-1,-1,1,12.65,OK,0.5.15,
buggy_45.sol,0,-1,-1,1,10.93,OK,0.5.15,
buggy_46.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
buggy_47.sol,0,-1,-1,1,19.44,OK,0.5.15,
buggy_48.sol,0,-1,-1,1,10.49,OK,0.5.15,
buggy_49.sol,0,-1,-1,1,3.53,OK,0.5.15,
buggy_5.sol,0,-1,-1,0,0.0,COMPILE_ERROR,none,
