"filename","vulnerability","ground_truth","slither_flagged","detectors_hit","solc_version","exit_code","status","duration_s"
"18430.sol","reentrancy",0,1,"reentrancy-eth","0.4.26",255,"FP",1.6
"18438.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.46
"18771.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.44
"19128.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.47
"19129.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.6
"19925.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.21
"21241.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.93
"21697.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.15
"21886.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.73
"22075.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.75
"22635.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.68
"22636.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.11
"23792.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.91
"23793.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.77
"24196.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.86
"24369.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.82
"24648.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.92
"24649.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.77
"25808.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.93
"26188.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.85
"27121.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.48
"27159.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.07
"27164.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.74
"27263.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.87
"27327.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.82
"27334.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.94
"27603.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.65
"28974.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.7
"29090.sol","reentrancy",0,1,"reentrancy-eth","0.4.26",255,"FP",0.71
"29130.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.01
"29154.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.77
"29590.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.96
"29948.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.85
"29983.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.12
"3.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.9
"30046.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.13
"30101.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.06
"30102.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.97
"30254.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.81
"30255.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.94
"30337.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.95
"30338.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.06
"30460.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.11
"31237.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.84
"31238.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.8
"31497.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.67
"31565.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.7
"31759.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.77
"32522.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.03
"33450.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.14
"33512.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.82
"34432.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.72
"34526.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.06
"34668.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.93
"34904.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.78
"35208.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.97
"35661.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.28
"35662.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.96
"35713.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.8
"35714.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.68
"35806.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.83
"35807.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.27
"35878.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.01
"35951.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.96
"36456.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.82
"36481.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.3
"36563.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.09
"36668.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.73
"36836.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.8
"37474.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.03
"37499.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.81
"37645.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.68
"37646.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.32
"37676.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.88
"37708.sol","reentrancy",0,1,"reentrancy-benign|reentrancy-eth","0.4.26",255,"FP",0.79
"37836.sol","reentrancy",0,0,"none","0.4.26",255,"TN",1.0
"37891.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.76
"38057.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.94
"38250.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.7
"38420.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.7
"38543.sol","reentrancy",0,0,"none","0.4.26",255,"TN",0.95
