filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
00_BasicConst_ree1.sol,0.8.28,TP,1.38,1,-1,-1,-1
00_BasicConst_safe1.sol,0.8.28,TN,0.57,0,-1,-1,-1
00_BasicCross_ree1.sol,0.8.28,TP,1.65,1,-1,-1,-1
00_BasicEmit_ree1.sol,0.8.28,TP,1.21,1,-1,-1,-1
00_BasicEmit_safe1.sol,0.8.28,FP,0.55,1,-1,-1,-1
00_BasicError_ree1.sol,0.8.28,TP,1.04,1,-1,-1,-1
00_BasicError_safe1.sol,0.8.28,TN,0.58,0,-1,-1,-1
00_BasicFold_ree1.sol,0.8.28,TP,0.96,1,-1,-1,-1
00_BasicFold_ree2.sol,0.8.28,TP,0.65,1,-1,-1,-1
00_BasicFold_safe1.sol,0.8.28,TN,0.87,0,-1,-1,-1
00_BasicFold_safe2.sol,0.8.28,TN,0.98,0,-1,-1,-1
00_BasicInline_safe1.sol,0.8.28,TN,0.89,0,-1,-1,-1
00_BasicNoCall_safe1.sol,0.8.28,TN,1.05,0,-1,-1,-1
00_BasicNoChecks_ree1.sol,0.8.28,TP,0.59,1,-1,-1,-1
00_BasicNoChecks_safe1.sol,0.8.28,TN,1.03,0,-1,-1,-1
00_BasicStaticcall_safe1.sol,0.8.28,TN,0.92,0,-1,-1,-1
00_BasicUnchecked_ree1.sol,0.8.28,TP,0.58,1,-1,-1,-1
00_BasicUnchecked_safe1.sol,0.8.28,TN,0.74,0,-1,-1,-1
00_Basic_ree1.sol,0.8.28,TP,0.56,1,-1,-1,-1
00_Basic_safe1.sol,0.8.28,TN,0.67,0,-1,-1,-1
01_SingleMutexFoldUnderflow_ree1.sol,0.8.28,TP,0.59,1,-1,-1,-1
01_SingleMutexFoldUnderflow_safe1.sol,0.8.28,FP,0.67,1,-1,-1,-1
01_SingleMutexFold_ree1.sol,0.8.28,TP,0.57,1,-1,-1,-1
01_SingleMutexFold_ree2.sol,0.8.28,TP,0.57,1,-1,-1,-1
01_SingleMutexFold_ree3.sol,0.8.28,TP,0.58,1,-1,-1,-1
01_SingleMutexFold_safe1.sol,0.8.28,FP,0.85,1,-1,-1,-1
01_SingleMutex_ree1.sol,0.8.28,TP,0.58,1,-1,-1,-1
01_SingleMutex_ree2.sol,0.8.28,TP,0.53,1,-1,-1,-1
01_SingleMutex_safe1.sol,0.8.28,FP,0.65,1,-1,-1,-1
01_SingleMutex_safe2.sol,0.8.28,FP,0.79,1,-1,-1,-1
02_CrossMutexUnchecked_ree1.sol,0.8.28,TP,0.53,1,-1,-1,-1
02_CrossMutexUnchecked_safe1.sol,0.8.28,FP,0.85,1,-1,-1,-1
02_CrossMutexUnderflow_ree1.sol,0.8.28,TP,0.57,1,-1,-1,-1
02_CrossMutexUnderflow_safe1.sol,0.8.28,FP,1.08,1,-1,-1,-1
02_CrossMutex_ree1.sol,0.8.28,TP,0.54,1,-1,-1,-1
02_CrossMutex_ree2.sol,0.8.28,TP,0.51,1,-1,-1,-1
02_CrossMutex_safe1.sol,0.8.28,FP,0.71,1,-1,-1,-1
02_CrossMutex_safe2.sol,0.8.28,FP,0.82,1,-1,-1,-1
03_SingleModFoldUnderflow_ree1.sol,0.8.28,TP,0.45,1,-1,-1,-1
03_SingleModFoldUnderflow_safe1.sol,0.8.28,FP,0.84,1,-1,-1,-1
03_SingleModFold_ree1.sol,0.8.28,TP,0.59,1,-1,-1,-1
03_SingleModFold_ree2.sol,0.8.28,TP,0.57,1,-1,-1,-1
03_SingleModFold_ree3.sol,0.8.28,TP,0.53,1,-1,-1,-1
03_SingleModFold_safe1.sol,0.8.28,FP,0.82,1,-1,-1,-1
03_SingleModUnderflow_ree1.sol,0.8.28,TP,0.58,1,-1,-1,-1
03_SingleModUnderflow_safe1.sol,0.8.28,FP,0.7,1,-1,-1,-1
03_SingleMod_ree1.sol,0.8.28,TP,0.61,1,-1,-1,-1
03_SingleMod_ree2.sol,0.8.28,TP,0.55,1,-1,-1,-1
03_SingleMod_ree3.sol,0.8.28,TP,0.53,1,-1,-1,-1
03_SingleMod_safe1.sol,0.8.28,FP,0.69,1,-1,-1,-1
03_SingleMod_safe2.sol,0.8.28,TN,0.67,0,-1,-1,-1
04_CrossModFoldUnderflow_safe1.sol,0.8.28,FP,0.91,1,-1,-1,-1
04_CrossModFold_ree1.sol,0.8.28,TP,0.62,1,-1,-1,-1
04_CrossModFold_ree2.sol,0.8.28,TP,0.55,1,-1,-1,-1
04_CrossModFold_ree3.sol,0.8.28,TP,0.54,1,-1,-1,-1
04_CrossModFold_safe1.sol,0.8.28,FP,0.73,1,-1,-1,-1
04_CrossMod_ree1.sol,0.8.28,TP,0.58,1,-1,-1,-1
04_CrossMod_ree2.sol,0.8.28,TP,0.62,1,-1,-1,-1
04_CrossMod_ree3.sol,0.8.28,TP,0.56,1,-1,-1,-1
04_CrossMod_ree4.sol,0.8.28,TP,0.55,1,-1,-1,-1
04_CrossMod_ree5.sol,0.8.28,TP,0.58,1,-1,-1,-1
04_CrossMod_safe1.sol,0.8.28,TN,0.74,0,-1,-1,-1
04_CrossMod_safe2.sol,0.8.28,FP,1.16,1,-1,-1,-1
04_CrossMod_safe3.sol,0.8.28,FP,1.16,1,-1,-1,-1
05_SendEmitUnchecked_safe1.sol,0.8.28,FP,0.62,1,-1,-1,-1
05_SendEmit_safe1.sol,0.8.28,FP,0.61,1,-1,-1,-1
05_SendUnchecked_safe1.sol,0.8.28,TN,0.69,0,-1,-1,-1
05_Send_safe1.sol,0.8.28,FP,0.56,1,-1,-1,-1
05_Send_safe2.sol,0.8.28,FP,0.65,1,-1,-1,-1
05_Send_safe3.sol,0.8.28,TN,0.58,0,-1,-1,-1
06_TransferUnchecked_safe1.sol,0.8.28,FP,0.85,1,-1,-1,-1
06_TransferUnchecked_safe2.sol,0.8.28,TN,0.76,0,-1,-1,-1
06_Transfer_safe1.sol,0.8.28,FP,0.65,1,-1,-1,-1
06_Transfer_safe2.sol,0.8.28,TN,0.61,0,-1,-1,-1
07_MixedSendFoldEmit_ree1.sol,0.8.28,TP,0.76,1,-1,-1,-1
07_MixedSendFoldEmit_safe1.sol,0.8.28,FP,0.98,1,-1,-1,-1
07_MixedSendFold_ree1.sol,0.8.28,TP,0.64,1,-1,-1,-1
07_MixedSendFold_safe1.sol,0.8.28,FP,0.91,1,-1,-1,-1
07_MixedSend_ree1.sol,0.8.28,TP,0.65,1,-1,-1,-1
07_MixedSend_safe1.sol,0.8.28,FP,0.67,1,-1,-1,-1
08_MixedTransferEmit_ree1.sol,0.8.28,TP,0.67,1,-1,-1,-1
08_MixedTransferEmit_safe1.sol,0.8.28,FP,0.63,1,-1,-1,-1
