"filename","ground_truth","slither_flagged","reentrancy_detectors","exit_code","status","duration_s"
"00_BasicConst_safe1.sol",0,0,"none",255,"TN",0.57
"00_BasicEmit_safe1.sol",0,1,"reentrancy-events",255,"FP",0.55
"00_BasicError_safe1.sol",0,0,"none",255,"TN",0.58
"00_BasicFold_safe1.sol",0,0,"none",255,"TN",0.87
"00_BasicFold_safe2.sol",0,0,"none",255,"TN",0.98
"00_BasicInline_safe1.sol",0,0,"none",255,"TN",0.89
"00_BasicNoCall_safe1.sol",0,0,"none",255,"TN",1.05
"00_BasicNoChecks_safe1.sol",0,0,"none",255,"TN",1.03
"00_BasicStaticcall_safe1.sol",0,0,"none",255,"TN",0.92
"00_BasicUnchecked_safe1.sol",0,0,"none",255,"TN",0.74
"00_Basic_safe1.sol",0,0,"none",255,"TN",0.67
"01_SingleMutexFoldUnderflow_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.67
"01_SingleMutexFold_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.85
"01_SingleMutex_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.65
"01_SingleMutex_safe2.sol",0,1,"reentrancy-eth",255,"FP",0.79
"02_CrossMutexUnchecked_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.85
"02_CrossMutexUnderflow_safe1.sol",0,1,"reentrancy-eth",255,"FP",1.08
"02_CrossMutex_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.71
"02_CrossMutex_safe2.sol",0,1,"reentrancy-eth",255,"FP",0.82
"03_SingleModFoldUnderflow_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.84
"03_SingleModFold_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.82
"03_SingleModUnderflow_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.7
"03_SingleMod_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.69
"03_SingleMod_safe2.sol",0,0,"none",255,"TN",0.67
"04_CrossModFoldUnderflow_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.91
"04_CrossModFold_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.73
"04_CrossMod_safe1.sol",0,0,"none",255,"TN",0.74
"04_CrossMod_safe2.sol",0,1,"reentrancy-eth",255,"FP",1.16
"04_CrossMod_safe3.sol",0,1,"reentrancy-eth",255,"FP",1.16
"05_SendEmitUnchecked_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.62
"05_SendEmit_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.61
"05_SendUnchecked_safe1.sol",0,0,"none",255,"TN",0.69
"05_Send_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.56
"05_Send_safe2.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.65
"05_Send_safe3.sol",0,0,"none",255,"TN",0.58
"06_TransferUnchecked_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.85
"06_TransferUnchecked_safe2.sol",0,0,"none",255,"TN",0.76
"06_Transfer_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.65
"06_Transfer_safe2.sol",0,0,"none",255,"TN",0.61
"07_MixedSendFoldEmit_safe1.sol",0,1,"reentrancy-events|reentrancy-unlimited-gas",255,"FP",0.98
"07_MixedSendFold_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.91
"07_MixedSend_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.67
"08_MixedTransferEmit_safe1.sol",0,1,"reentrancy-events|reentrancy-unlimited-gas",255,"FP",0.63
"08_MixedTransfer_safe1.sol",0,1,"reentrancy-unlimited-gas",255,"FP",0.65
"09_ERC20InheritMod_safe1.sol",0,0,"none",255,"TN",0.67
"09_ERC20Inherit_safe1.sol",0,0,"none",255,"TN",0.61
"09_ERC20Mod_safe1.sol",0,0,"none",255,"TN",0.67
"09_ERC20OnlyOnce_safe1.sol",0,1,"reentrancy-no-eth",255,"FP",0.61
"09_ERC20OnlyOnce_safe2.sol",0,0,"none",255,"TN",0.62
"09_ERC20StakingPullMod_safe1.sol",0,1,"reentrancy-no-eth",255,"FP",0.61
"09_ERC20StakingPull_safe1.sol",0,1,"reentrancy-events",255,"FP",0.68
"09_ERC20StakingPull_safe2.sol",0,0,"none",255,"TN",0.82
"09_ERC20Staking_safe1.sol",0,0,"none",255,"TN",0.64
"09_ERC20Staking_safe2.sol",0,0,"none",255,"TN",0.6
"09_ERC20Staking_safe3.sol",0,0,"none",255,"TN",0.64
"09_ERC20_safe1.sol",0,0,"none",255,"TN",0.76
"09_ERC20_safe2.sol",0,0,"none",255,"TN",0.6
"09_ERC20_safe3.sol",0,0,"none",255,"TN",0.6
"09_ERC20_safe4.sol",0,0,"none",255,"TN",0.63
"10_OnlyOnce_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.56
"10_OnlyOnce_safe2.sol",0,1,"reentrancy-eth",255,"FP",0.59
"11_ProxyStaticcall_safe1.sol",0,0,"none",255,"TN",0.62
"11_Proxy_safe1.sol",0,0,"none",255,"TN",0.69
"11_Proxy_safe2.sol",0,0,"none",255,"TN",0.55
"12_OnlyOwner_safe1.sol",0,0,"none",255,"TN",0.58
"13_LoopCrossMod_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.62
"13_LoopCrossMutex_safe1.sol",0,1,"reentrancy-eth",255,"FP",0.68
"13_LoopCrossMutex_safe2.sol",0,1,"reentrancy-eth",255,"FP",0.63
"13_Loop_safe1.sol",0,1,"reentrancy-eth",255,"FP",1.09
"14_ReadOnly_safe1.sol",0,0,"none",255,"TN",1.42
"15_ReadOnlyStaticcall_safe1.sol",0,0,"none",255,"TN",1.36
