"filename","folder","reentrancy_gt","overflow_gt","timestamp_gt","tod_gt","reentrancy_flag","overflow_flag","timestamp_flag","tod_flag","reentrancy_detectors","timestamp_detectors","solc_version","exit_code","status","duration_s"
"FibonacciBalance.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.23
"arbitrary_location_write_simple.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.95
"incorrect_constructor_name1.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.06
"incorrect_constructor_name2.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.99
"incorrect_constructor_name3.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.24
"mapping_write.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.87
"multiowned_vulnerable.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.77
"mycontract.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.89
"parity_wallet_bug_1.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",1.33
"parity_wallet_bug_2.sol","access_control",0,0,0,0,1,-1,1,-1,"reentrancy-eth|reentrancy-events","timestamp","?",255,"OK",2.27
"phishable.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.65
"proxy.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.74
"rubixi.sol","access_control",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.19
"simple_suicide.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.84
"unprotected0.sol","access_control",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.05
"wallet_02_refund_nosub.sol","access_control",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.91
"wallet_03_wrong_constructor.sol","access_control",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.12
"wallet_04_confused_sign.sol","access_control",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.8
"BECToken.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.31
"insecure_transfer.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.72
"integer_overflow_1.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.18
"integer_overflow_add.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.06
"integer_overflow_benign_1.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.74
"integer_overflow_mapping_sym_1.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.61
"integer_overflow_minimal.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.72
"integer_overflow_mul.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.87
"integer_overflow_multitx_multifunc_feasible.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.94
"integer_overflow_multitx_onefunc_feasible.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.69
"overflow_simple_add.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",0.96
"overflow_single_tx.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.04
"timelock.sol","arithmetic",0,1,1,0,0,-1,1,-1,"none","timestamp","?",255,"OK",0.93
"token.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.02
"tokensalechallenge.sol","arithmetic",0,1,0,0,0,-1,0,-1,"none","none","?",255,"OK",1.02
"blackjack.sol","bad_randomness",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.4
"etheraffle.sol","bad_randomness",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.89
"guess_the_random_number.sol","bad_randomness",0,0,0,0,0,-1,1,-1,"none","timestamp","?",255,"OK",1.16
"lottery.sol","bad_randomness",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.98
"lucky_doubler.sol","bad_randomness",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",1.3
"old_blockhash.sol","bad_randomness",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.73
"random_number_generator.sol","bad_randomness",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.79
"smart_billions.sol","bad_randomness",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",4.2
"auction.sol","denial_of_service",0,0,0,0,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.73
"dos_address.sol","denial_of_service",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.69
"dos_number.sol","denial_of_service",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.8
"dos_simple.sol","denial_of_service",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.83
"list_dos.sol","denial_of_service",0,0,1,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",1.4
"send_loop.sol","denial_of_service",0,0,0,0,0,-1,0,-1,"none","none","?",1,"COMPILE_ERROR",1.03
"ERC20.sol","front_running",0,0,0,1,0,-1,0,-1,"none","none","?",255,"OK",0.96
"FindThisHash.sol","front_running",0,0,0,1,0,-1,0,-1,"none","none","?",255,"OK",0.7
"eth_tx_order_dependence_minimal.sol","front_running",0,0,0,1,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.88
"odds_and_evens.sol","front_running",0,0,0,1,1,-1,0,-1,"reentrancy-unlimited-gas","none","?",255,"OK",0.75
"crypto_roulette.sol","other",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.75
"name_registrar.sol","other",0,0,0,0,0,-1,0,-1,"none","none","?",255,"OK",0.63
"open_address_lottery.sol","other",0,0,0,0,1,-1,1,-1,"reentrancy-unlimited-gas","timestamp","?",255,"OK",0.97
"0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.83
"0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.78
"0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.02
"0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.79
"0x561eac93c92360949ab1f1403323e6db345cbf31.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.87
"0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",1.25
"0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",0.99
"0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol","reentrancy",1,0,0,0,1,-1,0,-1,"reentrancy-eth","none","?",255,"OK",0.77
"0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol","reentrancy",1,0,1,0,1,-1,1,-1,"reentrancy-eth","timestamp","?",255,"OK",1.11
