filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,N/A,N/A,1.26,-1,-1,-1,-1
1014.sol,N/A,FN,1.43,-1,-1,0,-1
10146.sol,N/A,FN,1.45,-1,-1,0,-1
1015.sol,N/A,TN,1.29,-1,-1,0,-1
10233.sol,N/A,TN,1.22,-1,-1,0,-1
10295.sol,N/A,FN,1.5,-1,-1,0,-1
10342.sol,N/A,TN,1.26,-1,-1,0,-1
10369.sol,N/A,FN,1.58,-1,-1,0,-1
10547.sol,N/A,TN,1.23,-1,-1,0,-1
1057.sol,N/A,FN,1.57,-1,-1,0,-1
10736.sol,N/A,FN,1.54,-1,-1,0,-1
10855.sol,N/A,TN,1.24,-1,-1,0,-1
10971.sol,N/A,N/A,1.21,-1,-1,-1,-1
11064.sol,N/A,FN,1.39,-1,-1,0,-1
1115.sol,N/A,FN,1.39,-1,-1,0,-1
11159.sol,N/A,TN,1.21,-1,-1,0,-1
11243.sol,N/A,FN,1.53,-1,-1,0,-1
11323.sol,N/A,TN,1.21,-1,-1,0,-1
11330.sol,N/A,TN,1.26,-1,-1,0,-1
11346.sol,N/A,TN,1.46,-1,-1,0,-1
11457.sol,N/A,FN,1.36,-1,-1,0,-1
11798.sol,N/A,TN,1.7,-1,-1,0,-1
1181.sol,N/A,TN,1.66,-1,-1,0,-1
1182.sol,N/A,FN,1.42,-1,-1,0,-1
1183.sol,N/A,FN,1.52,-1,-1,0,-1
11931.sol,N/A,FN,1.5,-1,-1,0,-1
11964.sol,N/A,TN,1.65,-1,-1,0,-1
12044.sol,N/A,TN,1.59,-1,-1,0,-1
12115.sol,N/A,TN,1.65,-1,-1,0,-1
1226.sol,N/A,FN,1.48,-1,-1,0,-1
12292.sol,N/A,FN,1.44,-1,-1,0,-1
12321.sol,N/A,FN,1.5,-1,-1,0,-1
12393.sol,N/A,FN,1.48,-1,-1,0,-1
124.sol,N/A,TN,1.49,-1,-1,0,-1
1246.sol,N/A,TN,1.64,-1,-1,0,-1
12460.sol,N/A,TN,1.45,-1,-1,0,-1
12465.sol,N/A,FN,1.41,-1,-1,0,-1
12466.sol,N/A,FN,1.55,-1,-1,0,-1
1256.sol,N/A,TN,1.56,-1,-1,0,-1
12688.sol,N/A,TN,1.61,-1,-1,0,-1
12689.sol,N/A,TN,1.5,-1,-1,0,-1
12715.sol,N/A,TN,1.53,-1,-1,0,-1
1284.sol,N/A,FN,1.45,-1,-1,0,-1
12841.sol,N/A,FN,1.51,-1,-1,0,-1
12856.sol,N/A,TN,1.5,-1,-1,0,-1
1288.sol,N/A,FN,1.5,-1,-1,0,-1
12894.sol,N/A,FN,1.4,-1,-1,0,-1
12898.sol,N/A,FN,1.47,-1,-1,0,-1
12919.sol,N/A,FN,1.65,-1,-1,0,-1
12998.sol,N/A,FN,1.45,-1,-1,0,-1
13069.sol,N/A,TN,1.57,-1,-1,0,-1
1313.sol,N/A,TN,1.59,-1,-1,0,-1
1318.sol,N/A,FN,1.46,-1,-1,0,-1
1319.sol,N/A,FN,1.44,-1,-1,0,-1
13283.sol,N/A,TN,1.61,-1,-1,0,-1
13293.sol,N/A,FN,1.41,-1,-1,0,-1
13371.sol,N/A,FN,1.48,-1,-1,0,-1
134.sol,N/A,TN,1.54,-1,-1,0,-1
13413.sol,N/A,FN,1.52,-1,-1,0,-1
135.sol,N/A,TN,1.55,-1,-1,0,-1
136.sol,N/A,TN,1.55,-1,-1,0,-1
13657.sol,N/A,TN,1.5,-1,-1,0,-1
137.sol,N/A,TN,1.49,-1,-1,0,-1
13723.sol,N/A,FN,1.46,-1,-1,0,-1
13780.sol,N/A,FN,1.44,-1,-1,0,-1
13993.sol,N/A,FN,1.47,-1,-1,0,-1
1404.sol,N/A,FN,1.55,-1,-1,0,-1
14284.sol,N/A,N/A,1.71,-1,-1,-1,-1
1430.sol,N/A,N/A,1.35,-1,-1,-1,-1
14351.sol,N/A,TN,1.51,-1,-1,0,-1
14353.sol,N/A,N/A,1.43,-1,-1,-1,-1
14381.sol,N/A,TN,1.47,-1,-1,0,-1
14439.sol,N/A,TN,1.5,-1,-1,0,-1
1445.sol,N/A,FN,1.82,-1,-1,0,-1
14620.sol,N/A,N/A,2.21,-1,-1,-1,-1
14634.sol,N/A,TN,1.55,-1,-1,0,-1
14711.sol,N/A,FN,1.69,-1,-1,0,-1
14872.sol,N/A,FN,1.49,-1,-1,0,-1
14928.sol,N/A,FN,1.52,-1,-1,0,-1
14994.sol,N/A,N/A,2.36,-1,-1,-1,-1
14997.sol,N/A,TN,1.5,-1,-1,0,-1
15.sol,N/A,TN,1.49,-1,-1,0,-1
15038.sol,N/A,FN,1.53,-1,-1,0,-1
1532.sol,N/A,FN,1.52,-1,-1,0,-1
1533.sol,N/A,FN,1.53,-1,-1,0,-1
15566.sol,N/A,TN,1.5,-1,-1,0,-1
15641.sol,N/A,TP,1.69,-1,-1,1,-1
15671.sol,N/A,TN,1.47,-1,-1,0,-1
15822.sol,N/A,TN,1.58,-1,-1,0,-1
15930.sol,N/A,FN,1.72,-1,-1,0,-1
16018.sol,N/A,TN,1.57,-1,-1,0,-1
1631.sol,N/A,TN,1.46,-1,-1,0,-1
16407.sol,N/A,FN,1.63,-1,-1,0,-1
16521.sol,N/A,TN,1.42,-1,-1,0,-1
16643.sol,N/A,N/A,1.6,-1,-1,-1,-1
1667.sol,N/A,TN,1.49,-1,-1,0,-1
1668.sol,N/A,TN,1.48,-1,-1,0,-1
169.sol,N/A,FN,1.65,-1,-1,0,-1
16925.sol,N/A,N/A,1.47,-1,-1,-1,-1
16957.sol,N/A,TN,1.47,-1,-1,0,-1
16979.sol,N/A,FN,1.61,-1,-1,0,-1
170.sol,N/A,FN,1.67,-1,-1,0,-1
17043.sol,N/A,N/A,1.38,-1,-1,-1,-1
17401.sol,N/A,FN,1.57,-1,-1,0,-1
176.sol,N/A,TN,1.59,-1,-1,0,-1
177.sol,N/A,TN,1.61,-1,-1,0,-1
17806.sol,N/A,TN,1.59,-1,-1,0,-1
17816.sol,N/A,TN,1.41,-1,-1,0,-1
17829.sol,N/A,N/A,1.39,-1,-1,-1,-1
