filename,vulnerability,ground_truth,smartcheck_flagged,status,duration_s,exit_status
18430.sol,reentrancy,0,1,FP,2.29,OK
18438.sol,reentrancy,0,1,FP,2.16,OK
18771.sol,reentrancy,0,1,FP,1.9,OK
19128.sol,reentrancy,0,1,FP,2.03,OK
19129.sol,reentrancy,0,1,FP,1.79,OK
19925.sol,reentrancy,0,1,FP,2.08,OK
21241.sol,reentrancy,0,1,FP,2.13,OK
21697.sol,reentrancy,0,0,TN,1.86,OK
21886.sol,reentrancy,0,1,FP,1.92,OK
22075.sol,reentrancy,0,0,TN,1.92,OK
22635.sol,reentrancy,0,1,FP,1.83,OK
22636.sol,reentrancy,0,1,FP,1.99,OK
23792.sol,reentrancy,0,0,TN,1.91,OK
23793.sol,reentrancy,0,0,TN,1.89,OK
24196.sol,reentrancy,0,1,FP,1.69,OK
24369.sol,reentrancy,0,0,TN,1.62,OK
24648.sol,reentrancy,0,1,FP,1.69,OK
24649.sol,reentrancy,0,1,FP,1.42,OK
25808.sol,reentrancy,0,1,FP,1.46,OK
26188.sol,reentrancy,0,0,TN,1.49,OK
27121.sol,reentrancy,0,0,TN,1.47,OK
27159.sol,reentrancy,0,0,TN,1.6,OK
27164.sol,reentrancy,0,1,FP,1.67,OK
27263.sol,reentrancy,0,1,FP,1.46,OK
27327.sol,reentrancy,0,1,FP,1.41,OK
27334.sol,reentrancy,0,1,FP,1.58,OK
27603.sol,reentrancy,0,1,FP,1.7,OK
28974.sol,reentrancy,0,1,FP,1.51,OK
29090.sol,reentrancy,0,1,FP,1.73,OK
29130.sol,reentrancy,0,1,FP,1.52,OK
29154.sol,reentrancy,0,0,TN,1.53,OK
29590.sol,reentrancy,0,0,TN,1.59,OK
29948.sol,reentrancy,0,0,TN,1.55,OK
29983.sol,reentrancy,0,0,TN,1.64,OK
3.sol,reentrancy,0,0,TN,1.65,OK
30046.sol,reentrancy,0,1,FP,1.56,OK
30101.sol,reentrancy,0,1,FP,1.56,OK
30102.sol,reentrancy,0,1,FP,1.71,OK
30254.sol,reentrancy,0,0,TN,1.73,OK
30255.sol,reentrancy,0,0,TN,1.69,OK
30337.sol,reentrancy,0,1,FP,1.62,OK
30338.sol,reentrancy,0,1,FP,1.66,OK
30460.sol,reentrancy,0,1,FP,1.66,OK
31237.sol,reentrancy,0,0,TN,1.35,OK
31238.sol,reentrancy,0,0,TN,1.61,OK
31497.sol,reentrancy,0,1,FP,1.64,OK
31565.sol,reentrancy,0,1,FP,1.51,OK
31759.sol,reentrancy,0,0,TN,1.69,OK
32522.sol,reentrancy,0,1,FP,1.49,OK
33450.sol,reentrancy,0,0,TN,1.63,OK
33512.sol,reentrancy,0,1,FP,1.61,OK
34432.sol,reentrancy,0,1,FP,1.62,OK
34526.sol,reentrancy,0,1,FP,1.58,OK
34668.sol,reentrancy,0,1,FP,1.44,OK
34904.sol,reentrancy,0,0,TN,1.7,OK
35208.sol,reentrancy,0,0,TN,1.5,OK
35661.sol,reentrancy,0,1,FP,1.45,OK
35662.sol,reentrancy,0,1,FP,1.59,OK
35713.sol,reentrancy,0,1,FP,1.47,OK
35714.sol,reentrancy,0,1,FP,1.56,OK
35806.sol,reentrancy,0,1,FP,1.7,OK
35807.sol,reentrancy,0,1,FP,1.56,OK
35878.sol,reentrancy,0,0,TN,1.57,OK
35951.sol,reentrancy,0,1,FP,1.6,OK
36456.sol,reentrancy,0,0,TN,1.61,OK
36481.sol,reentrancy,0,1,FP,1.62,OK
36563.sol,reentrancy,0,0,TN,1.5,OK
36668.sol,reentrancy,0,0,TN,1.65,OK
36836.sol,reentrancy,0,1,FP,1.68,OK
37474.sol,reentrancy,0,0,TN,1.55,OK
37499.sol,reentrancy,0,0,TN,1.59,OK
37645.sol,reentrancy,0,1,FP,1.47,OK
37646.sol,reentrancy,0,1,FP,1.62,OK
37676.sol,reentrancy,0,0,TN,1.37,OK
37708.sol,reentrancy,0,1,FP,1.64,OK
37836.sol,reentrancy,0,0,TN,1.47,OK
37891.sol,reentrancy,0,1,FP,1.52,OK
38057.sol,reentrancy,0,1,FP,1.57,OK
38250.sol,reentrancy,0,1,FP,1.43,OK
38420.sol,reentrancy,0,1,FP,1.53,OK
38543.sol,reentrancy,0,0,TN,1.52,OK
38651.sol,reentrancy,0,1,FP,1.59,OK
38828.sol,reentrancy,0,1,FP,1.6,OK
38876.sol,reentrancy,0,1,FP,1.55,OK
38888.sol,reentrancy,0,1,FP,1.53,OK
39032.sol,reentrancy,0,1,FP,1.5,OK
39151.sol,reentrancy,0,1,FP,1.5,OK
39199.sol,reentrancy,0,0,TN,1.52,OK
39248.sol,reentrancy,0,0,TN,1.69,OK
39268.sol,reentrancy,0,1,FP,1.52,OK
39327.sol,reentrancy,0,0,TN,1.59,OK
39341.sol,reentrancy,0,1,FP,1.36,OK
39644.sol,reentrancy,0,1,FP,1.57,OK
39664.sol,reentrancy,0,1,FP,1.5,OK
39684.sol,reentrancy,0,1,FP,1.45,OK
39705.sol,reentrancy,0,1,FP,1.54,OK
39749.sol,reentrancy,0,1,FP,1.52,OK
39750.sol,reentrancy,0,1,FP,1.6,OK
39777.sol,reentrancy,0,1,FP,1.71,OK
