filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
00_BasicConst_ree1.sol,N/A,OK,1.87,0,-1,0,-1
00_BasicConst_safe1.sol,N/A,OK,3.47,0,-1,0,-1
00_BasicCross_ree1.sol,N/A,OK,2.05,0,-1,0,-1
00_BasicEmit_ree1.sol,N/A,OK,2.23,0,-1,0,-1
00_BasicEmit_safe1.sol,N/A,OK,3.62,0,-1,0,-1
00_BasicError_ree1.sol,N/A,OK,2.21,0,-1,0,-1
00_BasicError_safe1.sol,N/A,OK,3.4,0,-1,0,-1
00_BasicFold_ree1.sol,N/A,OK,1.98,0,-1,0,-1
00_BasicFold_ree2.sol,N/A,OK,1.78,0,-1,0,-1
00_BasicFold_safe1.sol,N/A,OK,3.77,0,-1,0,-1
00_BasicFold_safe2.sol,N/A,OK,3.98,0,-1,0,-1
00_BasicInline_safe1.sol,N/A,OK,3.19,0,-1,0,-1
00_BasicNoCall_safe1.sol,N/A,OK,3.11,0,-1,0,-1
00_BasicNoChecks_ree1.sol,N/A,OK,1.86,0,-1,0,-1
00_BasicNoChecks_safe1.sol,N/A,OK,3.16,0,-1,0,-1
00_BasicStaticcall_safe1.sol,N/A,OK,3.93,1,-1,0,-1
00_BasicUnchecked_ree1.sol,N/A,OK,2.03,0,-1,0,-1
00_BasicUnchecked_safe1.sol,N/A,OK,5.6,0,-1,0,-1
00_Basic_ree1.sol,N/A,OK,1.89,0,-1,0,-1
00_Basic_safe1.sol,N/A,OK,4.63,0,-1,0,-1
01_SingleMutexFoldUnderflow_ree1.sol,N/A,OK,2.65,0,-1,0,-1
01_SingleMutexFoldUnderflow_safe1.sol,N/A,OK,3.33,0,-1,0,-1
01_SingleMutexFold_ree1.sol,N/A,OK,2.03,0,-1,0,-1
01_SingleMutexFold_ree2.sol,N/A,OK,2.1,0,-1,0,-1
01_SingleMutexFold_ree3.sol,N/A,OK,2.36,0,-1,0,-1
01_SingleMutexFold_safe1.sol,N/A,OK,2.81,0,-1,0,-1
01_SingleMutex_ree1.sol,N/A,OK,2.04,0,-1,0,-1
01_SingleMutex_ree2.sol,N/A,OK,2.05,0,-1,0,-1
01_SingleMutex_safe1.sol,N/A,OK,2.82,0,-1,0,-1
01_SingleMutex_safe2.sol,N/A,OK,2.69,0,-1,0,-1
02_CrossMutexUnchecked_ree1.sol,N/A,OK,1.99,0,-1,0,-1
02_CrossMutexUnchecked_safe1.sol,N/A,OK,3.51,0,-1,0,-1
