filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,N/A,OK,3.98,1,-1,0,-1
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,N/A,OK,4.03,1,-1,0,-1
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,N/A,OK,2.97,1,-1,0,-1
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,N/A,OK,4.03,1,-1,0,-1
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,N/A,OK,4.05,1,-1,0,-1
0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,N/A,OK,3.61,1,-1,0,-1
0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,N/A,OK,4.39,1,-1,0,-1
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,N/A,OK,3.83,1,-1,0,-1
0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,N/A,OK,3.68,1,-1,0,-1
0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,N/A,OK,3.87,1,-1,0,-1
0x4051334adc52057aca763453820cb0e045076ef3.sol,N/A,OK,3.39,1,-1,0,-1
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,N/A,OK,6.36,1,-1,0,-1
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,N/A,OK,4.06,1,-1,0,-1
0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,N/A,OK,3.99,1,-1,0,-1
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,N/A,OK,5.96,1,-1,0,-1
0x524960d55174d912768678d8c606b4d50b79d7b1.sol,N/A,OK,3.93,1,-1,0,-1
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,N/A,OK,3.74,1,-1,0,-1
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,N/A,OK,6.33,1,-1,0,-1
0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,N/A,OK,4.15,1,-1,0,-1
0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,N/A,OK,3.42,1,-1,0,-1
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,N/A,OK,6.41,1,-1,0,-1
0x663e4229142a27f00bafb5d087e1e730648314c3.sol,N/A,OK,6.14,1,-1,0,-1
0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,N/A,OK,3.71,1,-1,0,-1
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,N/A,OK,3.62,1,-1,0,-1
0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,N/A,OK,3.6,1,-1,0,-1
0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,N/A,OK,4.24,1,-1,0,-1
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,N/A,OK,6.34,1,-1,0,-1
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,N/A,OK,3.26,1,-1,0,-1
0x7d09edb07d23acb532a82be3da5c17d9d85806b4.sol,N/A,OK,4.5,1,-1,0,-1
0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,N/A,OK,4.31,1,-1,0,-1
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,N/A,OK,4.15,1,-1,0,-1
0x89c1b3807d4c67df034fffb62f3509561218d30b.sol,N/A,OK,4.87,1,-1,0,-1
0x8c7777c45481dba411450c228cb692ac3d550344.sol,N/A,OK,6.04,1,-1,0,-1
0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,N/A,OK,3.46,1,-1,0,-1
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,N/A,OK,3.2,1,-1,0,-1
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,N/A,OK,4.81,1,-1,0,-1
