tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
osiris,qian,reentrancy/18430.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/18438.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/18509.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/18510.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/18771.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/19128.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/19129.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/19925.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/21241.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/21697.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/21886.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22074.sol,reentrancy,vulnerable,1,0,FN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22075.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22247.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22416.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22635.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/22636.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/23792.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/23793.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/24161.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/24196.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/24369.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/24648.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/24649.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/25808.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/26188.sol,reentrancy,safe,0,0,TN,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/26742.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/26743.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27121.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27159.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27164.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27263.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27327.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27334.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/27603.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/28974.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29089.sol,reentrancy,vulnerable,1,1,TP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29090.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29130.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29154.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29590.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29948.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/29983.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/3.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/30046.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/30101.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
osiris,qian,reentrancy/30102.sol,reentrancy,safe,0,1,FP,osiris/qian/summary/osiris_qian_results.csv
