tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
osiris,sbc,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,reentrancy,safe,0,1,FP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,reentrancy,safe,0,1,FP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x4051334adc52057aca763453820cb0e045076ef3.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x524960d55174d912768678d8c606b4d50b79d7b1.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,reentrancy,safe,0,0,TN,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,reentrancy,safe,0,1,FP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,reentrancy,safe,0,1,FP,osiris/sbc/summary/osiris_sbc_classification.json
osiris,sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,vulnerable,1,1,TP,osiris/sbc/summary/osiris_sbc_classification.json
