tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
ours,solidifi,1.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,10.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,11.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,12.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,13.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,14.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,15.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,16.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,17.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,18.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,19.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,2.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,20.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,21.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,22.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,23.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,24.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,25.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,26.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,27.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,28.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,29.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,3.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,30.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,31.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,32.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,33.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,34.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,35.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,36.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,37.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,38.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,39.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,4.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,40.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,41.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,42.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,43.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,44.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,45.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,46.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,47.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,48.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,49.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,5.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,50.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,6.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,7.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,8.sol,tod,safe,0,1,FP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,9.sol,tod,safe,0,0,TN,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_1.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_10.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_11.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_12.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_13.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_14.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_15.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_16.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_17.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_18.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_19.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_2.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_20.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_21.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_22.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_23.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_24.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_25.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_26.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_27.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_28.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_29.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_3.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_30.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_31.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_32.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_33.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_34.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_35.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_36.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_37.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_38.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_39.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_4.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_40.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_41.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_42.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_43.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_44.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_45.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_46.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_47.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_48.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_49.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_5.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_50.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
ours,solidifi,buggy_6.sol,tod,vulnerable,1,1,TP,ours/solidifi/ours_solidifi_summary_details.json
