tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
oyente_plus,solidifi,1.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,10.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,11.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,12.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,13.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,14.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,15.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,16.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,17.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,18.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,19.sol,tod,safe,0,1,FP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,2.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,20.sol,tod,safe,0,1,FP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,21.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,22.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,23.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,24.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,25.sol,tod,safe,0,1,FP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,26.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,27.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,28.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,29.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,3.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,30.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,31.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,32.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,33.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,34.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,35.sol,tod,safe,0,1,FP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,36.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,37.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,38.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,39.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,4.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,40.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,41.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,42.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,43.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,44.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,45.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,46.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,47.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,48.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,49.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,5.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,50.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,6.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,7.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,8.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,9.sol,tod,safe,0,0,TN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_1.sol,tod,vulnerable,1,0,FN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_10.sol,tod,vulnerable,1,1,TP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_11.sol,tod,vulnerable,1,1,TP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_12.sol,tod,vulnerable,1,1,TP,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_13.sol,tod,vulnerable,1,0,FN,oyente_plus/solidifi/oyente_results_solidifi.csv
oyente_plus,solidifi,buggy_14.sol,tod,vulnerable,1,1,TP,oyente_plus/solidifi/oyente_results_solidifi.csv
