tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
sailfish,qian,reentrancy/18430.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/18438.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/18509.sol,reentrancy,vulnerable,1,0,FN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/18510.sol,reentrancy,vulnerable,1,0,FN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/18771.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/19128.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/19129.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/19925.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/21241.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/21697.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/21886.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22074.sol,reentrancy,vulnerable,1,0,FN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22075.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22247.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22416.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22635.sol,reentrancy,safe,0,1,FP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/22636.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/23792.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/23793.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/24161.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/24196.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/24369.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/24648.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/24649.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/25808.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/26188.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/26742.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/26743.sol,reentrancy,vulnerable,1,0,FN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27121.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27159.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27164.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27263.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27327.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27334.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/27603.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/28974.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29089.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29090.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29130.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29154.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29590.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29948.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/29983.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/3.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30046.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30101.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30102.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30254.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30255.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30337.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30338.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/30460.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/31237.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/31238.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/31497.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/31565.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/31759.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/32522.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/33450.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/33512.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/34432.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/34526.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/34668.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/34904.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35208.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35661.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35662.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35713.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35714.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35806.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35807.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35878.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/35951.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/36456.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/36481.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/36563.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/36668.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/36836.sol,reentrancy,safe,0,1,FP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37474.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37499.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37645.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37646.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37676.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37707.sol,reentrancy,vulnerable,1,1,TP,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37708.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37836.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/37891.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38057.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38250.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38420.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38543.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38651.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38828.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38876.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/38888.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/39019.sol,reentrancy,vulnerable,1,0,FN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/39032.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/39151.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
sailfish,qian,reentrancy/39199.sol,reentrancy,safe,0,0,TN,sailfish/qian/sailfish_metrics_qian.json
