tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
sailfish,solidifi,1.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,10.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,11.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,12.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,14.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,15.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,16.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,17.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,18.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,19.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,2.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,20.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,21.sol,tod,safe,0,1,FP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,22.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,23.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,24.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,25.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,26.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,27.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,28.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,29.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,3.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,30.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,31.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,32.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,33.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,34.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,35.sol,tod,safe,0,1,FP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,36.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,37.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,38.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,39.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,4.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,40.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,42.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,43.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,44.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,45.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,46.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,47.sol,tod,safe,0,1,FP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,48.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,49.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,5.sol,tod,safe,0,1,FP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,50.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,6.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,7.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,8.sol,tod,safe,0,1,FP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,9.sol,tod,safe,0,0,TN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_11.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_14.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_15.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_16.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_17.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_18.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_19.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_2.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_20.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_21.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_22.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_23.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_24.sol,tod,vulnerable,1,0,FN,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_25.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_26.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_27.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_28.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_29.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_3.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_30.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_31.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_32.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_33.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_34.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_35.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_36.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_37.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_38.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_39.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_4.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_40.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_42.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_43.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_44.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_45.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_47.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_48.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_49.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_50.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
sailfish,solidifi,buggy_6.sol,tod,vulnerable,1,1,TP,sailfish/solidifi/sailfish_metrics_solidifi.json
