tool,dataset,contract,vulnerability,label,ground_truth,predicted,outcome,source
vandal,rsd,00_BasicConst_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicConst_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicCross_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicEmit_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicEmit_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicError_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicError_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicFold_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicFold_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicFold_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicFold_safe2.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicInline_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicNoCall_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicNoChecks_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicNoChecks_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicStaticcall_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicUnchecked_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_BasicUnchecked_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,00_Basic_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFoldUnderflow_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFoldUnderflow_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFold_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFold_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFold_ree3.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutexFold_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutex_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutex_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutex_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,01_SingleMutex_safe2.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutexUnchecked_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutexUnchecked_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutexUnderflow_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutexUnderflow_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutex_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutex_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutex_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,02_CrossMutex_safe2.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFoldUnderflow_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFoldUnderflow_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFold_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFold_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFold_ree3.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModFold_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModUnderflow_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleModUnderflow_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleMod_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleMod_ree3.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleMod_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,03_SingleMod_safe2.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossModFoldUnderflow_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossModFold_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossModFold_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossModFold_ree3.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossModFold_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_ree1.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_ree2.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_ree3.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_ree4.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_ree5.sol,reentrancy,vulnerable,1,1,TP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_safe1.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_safe2.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,04_CrossMod_safe3.sol,reentrancy,safe,0,1,FP,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,05_SendEmitUnchecked_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,05_SendEmit_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,05_SendUnchecked_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
vandal,rsd,05_Send_safe1.sol,reentrancy,safe,0,0,TN,vandal/rsd/vandal_results_rsd.csv
