filename,reentrancy,status,duration_s,solc_version
18438.sol,0,OK,0.84,?
18430.sol,0,OK,1.20,?
18510.sol,1,OK,0.79,?
18771.sol,1,OK,0.84,?
19128.sol,0,OK,0.84,?
19129.sol,0,OK,0.93,?
21241.sol,1,OK,0.81,?
19925.sol,1,OK,1.46,?
21697.sol,0,OK,0.96,?
21886.sol,1,OK,0.91,?
22075.sol,0,OK,1.38,?
22635.sol,1,OK,1.20,?
22636.sol,1,OK,0.79,?
23792.sol,0,OK,0.77,?
23793.sol,0,OK,0.73,?
24196.sol,1,OK,1.06,?
24369.sol,1,OK,0.96,?
24648.sol,1,OK,0.84,?
24649.sol,1,OK,1.09,?
25808.sol,1,OK,0.91,?
26188.sol,0,OK,0.99,?
26743.sol,1,OK,1.15,?
27159.sol,1,OK,1.19,?
27121.sol,1,OK,1.75,?
27164.sol,1,OK,0.66,?
27263.sol,1,OK,0.63,?
27327.sol,1,OK,0.75,?
27334.sol,1,OK,0.74,?
28974.sol,1,OK,0.58,?
27603.sol,1,OK,0.95,?
29090.sol,1,OK,0.80,?
29130.sol,1,OK,0.69,?
29154.sol,1,OK,0.55,?
29590.sol,1,OK,0.81,?
29948.sol,1,OK,0.76,?
29983.sol,1,OK,0.46,?
3.sol,1,OK,0.55,?
30046.sol,1,OK,0.59,?
30101.sol,1,OK,0.37,?
30102.sol,1,OK,0.39,?
30254.sol,1,OK,0.39,?
30255.sol,1,OK,0.47,?
30337.sol,1,OK,0.40,?
30338.sol,1,OK,0.38,?
30460.sol,1,OK,0.36,?
31237.sol,1,OK,0.46,?
31238.sol,1,OK,0.46,?
31497.sol,1,OK,0.40,?
31565.sol,1,OK,0.31,?
31759.sol,1,OK,0.27,?
32522.sol,1,OK,0.27,?
33512.sol,1,OK,0.46,?
33450.sol,1,OK,0.68,?
34432.sol,1,OK,0.41,?
34526.sol,1,OK,0.44,?
34668.sol,0,OK,0.28,?
34904.sol,1,OK,0.60,?
35208.sol,1,OK,0.38,?
35661.sol,1,OK,0.36,?
35662.sol,1,OK,0.39,?
35713.sol,1,OK,0.31,?
35714.sol,1,OK,0.35,?
35806.sol,1,OK,0.31,?
35807.sol,1,OK,0.37,?
35878.sol,1,OK,0.35,?
35951.sol,1,OK,0.42,?
36456.sol,1,OK,0.31,?
36481.sol,1,OK,0.34,?
36563.sol,1,OK,0.39,?
36668.sol,1,OK,0.38,?
