filename,reentrancy,status,duration_s,solc_version
00_BasicConst_safe1.sol,1,OK,0.37,?
00_BasicEmit_safe1.sol,1,OK,0.39,?
00_BasicError_safe1.sol,1,OK,0.50,?
00_BasicFold_safe1.sol,1,OK,0.45,?
00_BasicFold_safe2.sol,1,OK,0.58,?
00_BasicInline_safe1.sol,1,OK,0.44,?
00_BasicNoCall_safe1.sol,0,OK,0.31,?
00_BasicNoChecks_safe1.sol,1,OK,0.45,?
00_BasicStaticcall_safe1.sol,0,OK,0.51,?
00_BasicUnchecked_safe1.sol,1,OK,0.53,?
01_SingleMutexFoldUnderflow_safe1.sol,1,OK,0.47,?
01_SingleMutexFold_safe1.sol,1,OK,0.48,?
01_SingleMutex_safe1.sol,1,OK,0.52,?
01_SingleMutex_safe2.sol,1,OK,0.40,?
02_CrossMutexUnchecked_safe1.sol,1,OK,0.59,?
02_CrossMutexUnderflow_safe1.sol,1,OK,0.63,?
02_CrossMutex_safe1.sol,1,OK,0.55,?
02_CrossMutex_safe2.sol,1,OK,2.39,?
03_SingleModFoldUnderflow_safe1.sol,1,OK,0.92,?
03_SingleModFold_safe1.sol,1,OK,0.79,?
03_SingleModUnderflow_safe1.sol,1,OK,0.45,?
03_SingleMod_safe1.sol,1,OK,0.42,?
03_SingleMod_safe2.sol,1,OK,0.47,?
04_CrossModFoldUnderflow_safe1.sol,1,OK,0.53,?
04_CrossModFold_safe1.sol,1,OK,0.51,?
04_CrossMod_safe1.sol,1,OK,0.56,?
04_CrossMod_safe2.sol,1,OK,0.85,?
04_CrossMod_safe3.sol,1,OK,0.69,?
05_SendEmitUnchecked_safe1.sol,0,OK,0.47,?
05_SendEmit_safe1.sol,0,OK,0.44,?
05_SendUnchecked_safe1.sol,0,OK,0.56,?
05_Send_safe1.sol,0,OK,0.36,?
05_Send_safe2.sol,0,OK,0.47,?
05_Send_safe3.sol,0,OK,0.32,?
06_TransferUnchecked_safe1.sol,0,OK,0.38,?
06_TransferUnchecked_safe2.sol,0,OK,0.45,?
06_Transfer_safe1.sol,0,OK,1.58,?
06_Transfer_safe2.sol,0,OK,0.54,?
07_MixedSendFoldEmit_safe1.sol,1,OK,0.51,?
07_MixedSendFold_safe1.sol,1,OK,0.51,?
07_MixedSend_safe1.sol,1,OK,0.61,?
08_MixedTransferEmit_safe1.sol,1,OK,0.59,?
08_MixedTransfer_safe1.sol,1,OK,0.44,?
09_ERC20InheritMod_safe1.sol,0,OK,0.94,?
09_ERC20Inherit_safe1.sol,0,OK,0.93,?
09_ERC20Mod_safe1.sol,1,OK,0.45,?
09_ERC20OnlyOnce_safe1.sol,1,OK,0.47,?
09_ERC20OnlyOnce_safe2.sol,1,OK,0.42,?
09_ERC20StakingPullMod_safe1.sol,1,OK,0.59,?
09_ERC20StakingPull_safe1.sol,1,OK,0.57,?
09_ERC20StakingPull_safe2.sol,1,OK,1.90,?
09_ERC20Staking_safe1.sol,0,OK,1.15,?
09_ERC20Staking_safe2.sol,0,OK,0.94,?
09_ERC20Staking_safe3.sol,1,OK,0.69,?
09_ERC20_safe1.sol,0,OK,1.22,?
09_ERC20_safe2.sol,0,OK,1.53,?
09_ERC20_safe3.sol,1,OK,1.25,?
09_ERC20_safe4.sol,1,OK,9.27,?
10_OnlyOnce_safe1.sol,1,OK,0.46,?
10_OnlyOnce_safe2.sol,1,OK,0.37,?
11_ProxyStaticcall_safe1.sol,0,OK,0.31,?
11_Proxy_safe1.sol,1,OK,0.60,?
11_Proxy_safe2.sol,1,OK,0.39,?
12_OnlyOwner_safe1.sol,1,OK,0.59,?
13_LoopCrossMod_safe1.sol,1,OK,1.41,?
13_LoopCrossMutex_safe1.sol,1,OK,0.61,?
00_Basic_safe1.sol,-1,EXCL,120.01,?
13_Loop_safe1.sol,1,OK,0.76,?
14_ReadOnly_safe1.sol,1,OK,0.57,?
15_ReadOnlyStaticcall_safe1.sol,1,OK,0.48,?
15_ReadOnly_safe2.sol,1,OK,0.72,?
00_BasicConst_ree1.sol,1,OK,0.53,?
00_BasicCross_ree1.sol,1,OK,0.51,?
00_BasicEmit_ree1.sol,1,OK,0.40,?
00_BasicError_ree1.sol,1,OK,0.37,?
00_BasicFold_ree1.sol,1,OK,0.37,?
00_BasicFold_ree2.sol,1,OK,1.50,?
00_BasicNoChecks_ree1.sol,1,OK,3.12,?
00_BasicUnchecked_ree1.sol,1,OK,0.41,?
00_Basic_ree1.sol,1,OK,0.38,?
01_SingleMutexFoldUnderflow_ree1.sol,1,OK,0.41,?
01_SingleMutexFold_ree1.sol,1,OK,0.46,?
01_SingleMutexFold_ree2.sol,1,OK,0.47,?
01_SingleMutexFold_ree3.sol,1,OK,0.42,?
01_SingleMutex_ree1.sol,1,OK,0.46,?
01_SingleMutex_ree2.sol,1,OK,0.72,?
02_CrossMutexUnchecked_ree1.sol,1,OK,0.54,?
02_CrossMutexUnderflow_ree1.sol,1,OK,0.50,?
02_CrossMutex_ree1.sol,1,OK,0.50,?
02_CrossMutex_ree2.sol,1,OK,4.88,?
03_SingleModFoldUnderflow_ree1.sol,1,OK,3.91,?
03_SingleModFold_ree1.sol,1,OK,0.40,?
03_SingleModFold_ree2.sol,1,OK,0.48,?
03_SingleModFold_ree3.sol,1,OK,0.40,?
03_SingleModUnderflow_ree1.sol,1,OK,0.53,?
03_SingleMod_ree1.sol,1,OK,0.36,?
13_LoopCrossMutex_safe2.sol,-1,EXCL,120.02,?
03_SingleMod_ree3.sol,1,OK,0.50,?
04_CrossModFold_ree1.sol,1,OK,0.64,?
04_CrossModFold_ree2.sol,1,OK,0.61,?
04_CrossModFold_ree3.sol,1,OK,0.49,?
04_CrossMod_ree1.sol,1,OK,0.52,?
04_CrossMod_ree2.sol,1,OK,0.64,?
04_CrossMod_ree3.sol,1,OK,0.57,?
04_CrossMod_ree4.sol,1,OK,0.53,?
04_CrossMod_ree5.sol,1,OK,0.57,?
07_MixedSendFoldEmit_ree1.sol,1,OK,0.38,?
07_MixedSendFold_ree1.sol,1,OK,0.43,?
07_MixedSend_ree1.sol,1,OK,0.43,?
08_MixedTransferEmit_ree1.sol,1,OK,0.46,?
08_MixedTransfer_ree1.sol,1,OK,0.47,?
09_ERC20InheritMod_ree1.sol,0,OK,0.85,?
09_ERC20InheritMod_ree2.sol,0,OK,1.07,?
09_ERC20InheritMod_ree3.sol,0,OK,1.18,?
09_ERC20Inherit_ree1.sol,0,OK,0.81,?
09_ERC20Mod_ree1.sol,1,OK,0.40,?
09_ERC20Mod_ree2.sol,1,OK,7.38,?
09_ERC20Mod_ree3.sol,1,OK,0.38,?
09_ERC20OnlyOnce_ree1.sol,1,OK,0.39,?
09_ERC20StakingPullMod_ree1.sol,1,OK,0.56,?
09_ERC20StakingPullMod_ree2.sol,1,OK,14.42,?
09_ERC20StakingPull_ree1.sol,1,OK,0.47,?
09_ERC20Staking_ree1.sol,1,OK,0.53,?
09_ERC20Staking_ree2.sol,1,OK,0.43,?
09_ERC20Staking_ree3.sol,1,OK,0.41,?
09_ERC20Staticcall_ree1.sol,1,OK,0.65,?
09_ERC20_ree1.sol,1,OK,0.36,?
09_ERC20_ree2.sol,1,OK,0.38,?
12_OnlyOwner_ree1.sol,1,OK,0.50,?
13_LoopCrossMod_ree1.sol,1,OK,0.64,?
13_LoopCrossMod_ree2.sol,1,OK,0.54,?
13_LoopCrossMod_ree3.sol,1,OK,0.69,?
13_LoopCrossMutex_ree1.sol,1,OK,0.57,?
13_Loop_ree1.sol,1,OK,0.95,?
15_ReadOnlyStaticcall_ree1.sol,1,OK,0.42,?
15_ReadOnly_ree1.sol,1,OK,0.36,?
15_ReadOnly_ree2.sol,1,OK,0.46,?
03_SingleMod_ree2.sol,-1,EXCL,120.00,?
