dataset,vulnerability,tool,TP,FP,TN,FN,analyzed,total,excluded_na,precision,recall,f1,accuracy,fdr,fnr,tpr,fpr,auc
rsd,reentrancy,ours,66,23,49,0,138,138,0,0.7416,1.0,0.8516,0.8333,0.2584,0.0,1.0,0.3194,0.8403
rsd,reentrancy,slither,62,38,34,4,138,138,0,0.62,0.9394,0.747,0.6957,0.38,0.0606,0.9394,0.5278,0.7058
rsd,reentrancy,smartcheck,5,12,60,61,138,138,0,0.2941,0.0758,0.1205,0.471,0.7059,0.9242,0.0758,0.1667,0.4545
rsd,reentrancy,sailfish,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rsd,reentrancy,mythril,56,44,26,10,136,138,2,0.56,0.8485,0.6747,0.6029,0.44,0.1515,0.8485,0.6286,0.61
rsd,reentrancy,oyente_plus,41,30,41,24,136,138,2,0.5775,0.6308,0.6029,0.6029,0.4225,0.3692,0.6308,0.4225,0.6041
rsd,reentrancy,osiris,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rsd,reentrancy,vandal,61,51,19,4,135,138,3,0.5446,0.9385,0.6893,0.5926,0.4554,0.0615,0.9385,0.7286,0.6049
rsd,reentrancy,ethersolve,0,0,72,66,138,138,0,0.0,0.0,0.0,0.5217,0.0,1.0,0.0,0.0,0.5
sbc,reentrancy,ours,30,8,100,0,138,142,4,0.7895,1.0,0.8824,0.942,0.2105,0.0,1.0,0.0741,0.963
sbc,reentrancy,slither,29,28,78,0,135,142,7,0.5088,1.0,0.6744,0.7926,0.4912,0.0,1.0,0.2642,0.8679
sbc,reentrancy,smartcheck,29,56,55,2,142,142,0,0.3412,0.9355,0.5,0.5915,0.6588,0.0645,0.9355,0.5045,0.7155
sbc,reentrancy,sailfish,23,4,104,8,139,142,3,0.8519,0.7419,0.7931,0.9137,0.1481,0.2581,0.7419,0.037,0.8524
sbc,reentrancy,mythril,29,39,72,2,142,142,0,0.4265,0.9355,0.5859,0.7113,0.5735,0.0645,0.9355,0.3514,0.7921
sbc,reentrancy,oyente_plus,29,9,101,2,141,142,1,0.7632,0.9355,0.8406,0.922,0.2368,0.0645,0.9355,0.0818,0.9268
sbc,reentrancy,osiris,26,23,68,0,117,142,25,0.5306,1.0,0.6933,0.8034,0.4694,0.0,1.0,0.2527,0.8736
sbc,reentrancy,vandal,20,48,63,11,142,142,0,0.2941,0.6452,0.404,0.5845,0.7059,0.3548,0.6452,0.4324,0.6064
sbc,reentrancy,ethersolve,30,56,54,1,141,142,1,0.3488,0.9677,0.5128,0.5957,0.6512,0.0323,0.9677,0.5091,0.7293
sbc,overflow,ours,15,25,98,0,138,142,4,0.375,1.0,0.5455,0.8188,0.625,0.0,1.0,0.2033,0.8984
sbc,overflow,slither,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,overflow,smartcheck,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,overflow,sailfish,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,overflow,mythril,12,18,109,3,142,142,0,0.4,0.8,0.5333,0.8521,0.6,0.2,0.8,0.1417,0.8291
sbc,overflow,oyente_plus,13,101,25,2,141,142,1,0.114,0.8667,0.2016,0.2695,0.886,0.1333,0.8667,0.8016,0.5325
sbc,overflow,osiris,13,59,43,2,117,142,25,0.1806,0.8667,0.2989,0.4786,0.8194,0.1333,0.8667,0.5784,0.6441
sbc,overflow,vandal,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,overflow,ethersolve,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,timestamp,ours,14,9,115,0,138,142,4,0.6087,1.0,0.7568,0.9348,0.3913,0.0,1.0,0.0726,0.9637
sbc,timestamp,slither,14,9,112,0,135,142,7,0.6087,1.0,0.7568,0.9333,0.3913,0.0,1.0,0.0744,0.9628
sbc,timestamp,smartcheck,1,0,128,13,142,142,0,1.0,0.0714,0.1333,0.9085,0.0,0.9286,0.0714,0.0,0.5357
sbc,timestamp,sailfish,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,timestamp,mythril,12,2,126,2,142,142,0,0.8571,0.8571,0.8571,0.9718,0.1429,0.1429,0.8571,0.0156,0.9208
sbc,timestamp,oyente_plus,11,2,125,3,141,142,1,0.8462,0.7857,0.8148,0.9645,0.1538,0.2143,0.7857,0.0157,0.885
sbc,timestamp,osiris,4,1,103,9,117,142,25,0.8,0.3077,0.4444,0.9145,0.2,0.6923,0.3077,0.0096,0.649
sbc,timestamp,vandal,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,timestamp,ethersolve,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,tod,ours,4,15,119,0,138,142,4,0.2105,1.0,0.3478,0.8913,0.7895,0.0,1.0,0.1119,0.944
sbc,tod,slither,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,tod,smartcheck,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,tod,sailfish,2,62,73,2,139,142,3,0.0312,0.5,0.0588,0.5396,0.9688,0.5,0.5,0.4593,0.5204
sbc,tod,mythril,1,37,101,3,142,142,0,0.0263,0.25,0.0476,0.7183,0.9737,0.75,0.25,0.2681,0.4909
sbc,tod,oyente_plus,2,35,102,2,141,142,1,0.0541,0.5,0.0976,0.7376,0.9459,0.5,0.5,0.2555,0.6223
sbc,tod,osiris,2,29,86,0,117,142,25,0.0645,1.0,0.1212,0.7521,0.9355,0.0,1.0,0.2522,0.8739
sbc,tod,vandal,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sbc,tod,ethersolve,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,reentrancy,ours,69,11,142,0,222,222,0,0.8625,1.0,0.9262,0.9505,0.1375,0.0,1.0,0.0719,0.9641
qian,reentrancy,slither,68,12,140,1,221,222,1,0.85,0.9855,0.9128,0.9412,0.15,0.0145,0.9855,0.0789,0.9533
qian,reentrancy,smartcheck,62,110,43,7,222,222,0,0.3605,0.8986,0.5145,0.473,0.6395,0.1014,0.8986,0.719,0.5898
qian,reentrancy,sailfish,46,2,151,23,222,222,0,0.9583,0.6667,0.7863,0.8874,0.0417,0.3333,0.6667,0.0131,0.8268
qian,reentrancy,mythril,36,60,93,33,222,222,0,0.375,0.5217,0.4364,0.5811,0.625,0.4783,0.5217,0.3922,0.5648
qian,reentrancy,oyente_plus,61,73,80,8,222,222,0,0.4552,0.8841,0.601,0.6351,0.5448,0.1159,0.8841,0.4771,0.7035
qian,reentrancy,osiris,64,139,14,5,222,222,0,0.3153,0.9275,0.4706,0.3514,0.6847,0.0725,0.9275,0.9085,0.5095
qian,reentrancy,vandal,62,137,16,7,222,222,0,0.3116,0.8986,0.4627,0.3514,0.6884,0.1014,0.8986,0.8954,0.5016
qian,reentrancy,ethersolve,65,82,71,4,222,222,0,0.4422,0.942,0.6019,0.6126,0.5578,0.058,0.942,0.5359,0.703
qian,overflow,ours,86,9,180,0,275,275,0,0.9053,1.0,0.9503,0.9673,0.0947,0.0,1.0,0.0476,0.9762
qian,overflow,slither,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,overflow,smartcheck,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,overflow,sailfish,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,overflow,mythril,23,2,187,63,275,275,0,0.92,0.2674,0.4144,0.7636,0.08,0.7326,0.2674,0.0106,0.6284
qian,overflow,oyente_plus,63,46,143,23,275,275,0,0.578,0.7326,0.6462,0.7491,0.422,0.2674,0.7326,0.2434,0.7446
qian,overflow,osiris,52,19,168,34,273,275,2,0.7324,0.6047,0.6624,0.8059,0.2676,0.3953,0.6047,0.1016,0.7515
qian,overflow,vandal,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,overflow,ethersolve,NA,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,timestamp,ours,173,29,147,0,349,349,0,0.8564,1.0,0.9227,0.9169,0.1436,0.0,1.0,0.1648,0.9176
qian,timestamp,slither,110,117,59,63,349,349,0,0.4846,0.6358,0.55,0.4842,0.5154,0.3642,0.6358,0.6648,0.4855
qian,timestamp,smartcheck,2,1,175,171,349,349,0,0.6667,0.0116,0.0227,0.5072,0.3333,0.9884,0.0116,0.0057,0.5029
qian,timestamp,sailfish,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,timestamp,mythril,59,86,90,114,349,349,0,0.4069,0.341,0.3711,0.4269,0.5931,0.659,0.341,0.4886,0.4262
qian,timestamp,oyente_plus,1,15,160,172,348,349,1,0.0625,0.0058,0.0106,0.4626,0.9375,0.9942,0.0058,0.0857,0.46
qian,timestamp,osiris,2,16,157,164,339,349,10,0.1111,0.012,0.0217,0.469,0.8889,0.988,0.012,0.0925,0.4598
qian,timestamp,vandal,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
qian,timestamp,ethersolve,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidifi,tod,ours,50,23,27,0,100,100,0,0.6849,1.0,0.813,0.77,0.3151,0.0,1.0,0.46,0.77
solidifi,tod,slither,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidifi,tod,smartcheck,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidifi,tod,sailfish,40,5,43,1,89,100,11,0.8889,0.9756,0.9302,0.9326,0.1111,0.0244,0.9756,0.1042,0.9357
solidifi,tod,mythril,21,0,50,29,100,100,0,1.0,0.42,0.5915,0.71,0.0,0.58,0.42,0.0,0.71
solidifi,tod,oyente_plus,36,4,46,14,100,100,0,0.9,0.72,0.8,0.82,0.1,0.28,0.72,0.08,0.82
solidifi,tod,osiris,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidifi,tod,vandal,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
solidifi,tod,ethersolve,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
